name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,challengeLost,totalTackle,fouls,keyPass,aerialLost,shotOffTarget,outfielderBlock,interceptionWon,dispossessed,totalContest,onTargetScoringAttempt,goals,blockedScoringAttempt,captain,team,teamType,wonContest
José Muñoz,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000.0,"{'value': 140000, 'currency': 'EUR'}",,,,10,True,24.0,18.0,3.0,3.0,0.0,1.0,4.0,,2.0,,,,,35.0,35.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,,,,1.0,,3.0,,1.0,,,,,,,1.0,,Alianza Valledupar FC,home,
Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",Ruben Manjarres,,,21,True,15.0,11.0,1.0,,0.0,1.0,2.0,,,,,,,35.0,22.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",1.0,,4.0,,1.0,3.0,,,,,,,2.0,1.0,,,,Alianza Valledupar FC,home,
Jesús Figueroa,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,,,6,True,6.0,5.0,,,0.0,,,3.0,,,,,,28.0,12.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,,,,1.0,1.0,1.0,,,,,,Alianza Valledupar FC,home,
Sergio Aponzá,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,,,,11,True,6.0,5.0,,,0.0,,1.0,,1.0,,,,,9.0,9.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,,,,1.0,,,1.0,,Alianza Valledupar FC,home,
Cristian Andres Vergara Rivas,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200.0,"{'value': 160000, 'currency': 'EUR'}",Cristian Vergara,,,15,True,5.0,3.0,1.0,,0.0,,,,,,,,,9.0,8.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,1.0,,,1.0,,,1.0,,,,,,Alianza Valledupar FC,home,
Antonio Simancas,antonio-simancas,A. Simancas,G,13,,10,1984197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Antonio Simancas,,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,
Johan Parra,johan-parra,J. Parra,M,25,,5,1516746,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1095724800.0,,,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000.0,,Kevin Lopez,,,33,False,24.0,14.0,13.0,3.0,0.0,,,1.0,,,2.0,3.0,,90.0,34.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,Deportivo Pasto,away,
Juan Franco,juan-franco,J. Franco,D,15,178.0,27,1102277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1009929600.0,"{'value': 165000, 'currency': 'EUR'}",Juan Franco,,,15,False,26.0,21.0,4.0,2.0,0.0,,2.0,2.0,1.0,,,,,90.0,38.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,4.0,,1.0,2.0,,1.0,,,,1.0,,,,,,Deportivo Pasto,away,
Fabian Villa,fabian-villa,F. Villa,F,38,,5,1808388,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,,Fabian Villa,,,38,False,13.0,12.0,2.0,1.0,0.0,,,3.0,,,,,,45.0,19.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,1.0,,,,,,,Deportivo Pasto,away,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400.0,,Andrés Alarcón,,,24,False,35.0,32.0,4.0,2.0,0.0,,1.0,9.0,1.0,,,,,90.0,46.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,4.0,,,3.0,,1.0,,1.0,,,,,,,,Deportivo Pasto,away,
