name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,bigChanceCreated,outfielderBlock,interceptionWon,fouls,keyPass,aerialWon,totalTackle,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,onTargetScoringAttempt,goals,challengeLost,dispossessed,bigChanceMissed,totalOffside,captain,team,teamType
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000.0,"{'value': 605000, 'currency': 'EUR'}",,18,True,22.0,16.0,2.0,,0.0,2.0,1.0,,,,,45.0,33.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,5.0,,,1.0,,1.0,,2.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,,,Deportes Tolima,home
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800.0,"{'value': 535000, 'currency': 'EUR'}",,24,True,6.0,6.0,,,0.0,3.0,,2.0,,,,29.0,14.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,,,3.0,,1.0,,2.0,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,Deportes Tolima,home
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",,28,True,3.0,1.0,,,0.0,2.0,,1.0,,,,29.0,6.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,Deportes Tolima,home
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",,6,True,11.0,9.0,,,0.0,,1.0,,,,,21.0,13.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,,,Deportes Tolima,home
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home
Marlon Torres,,,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home
Cristian Arrieta,,,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200.0,"{'value': 605000, 'currency': 'EUR'}",,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home
Kevin Armesto,Kevin Armesto,,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,38.0,23.0,24.0,9.0,0.0,,1.0,,4.0,4.0,,90.0,43.0,7.1,15.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away
Geovan Montes,,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",,31,False,25.0,19.0,6.0,4.0,0.0,5.0,3.0,1.0,,,,90.0,44.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",,,2.0,3.0,,,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,1.0,,Llaneros FC,away
Jaison Mina,Jaison Mina,,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000.0,"{'value': 145000, 'currency': 'EUR'}",,23,False,40.0,35.0,6.0,3.0,0.0,2.0,9.0,1.0,,,,90.0,54.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,,3.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,Llaneros FC,away
