name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,hitWoodwork,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,interceptionWon,fouls,accurateCross,outfielderBlock,totalTackle,blockedScoringAttempt,wonContest,wasFouled,onTargetScoringAttempt,challengeLost,shotOffTarget,keyPass,dispossessed,totalOffside,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,True,9.0,4.0,,,0.0,,,,,,28.0,14.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,,2.0,3.0,2.0,3.0,,,,,,,,,,,,3.0,,,,Envigado FC,home,,,
John Araujo,Jhon Araujo,,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,70,True,2.0,2.0,,,0.0,,,,,,21.0,6.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,2.0,,4.0,1.0,2.0,,,,,1.0,,,,,,,,,,,Envigado FC,home,,,
Andrés Vargas,Andrés Vargas,,andres-vargas,A. Vargas,,17,,3,1948603,{},EUR,,,17,True,3.0,3.0,1.0,1.0,0.0,,,,,,10.0,4.0,6.8,,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,,,,Envigado FC,home,,,
Matías Villa Marín,,,matias-villa-marin,M. V. Marín,G,1,,4,1847750,{},EUR,1195689600.0,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Miguel Marulanda,Miguel Marulanda,,miguel-marulanda,M. Marulanda,M,17,,8,2072991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 655000, 'currency': 'EUR'}",1,False,34.0,32.0,5.0,4.0,0.0,,,1.0,1.0,3.0,90.0,44.0,7.5,2.0,"{'original': 7.5, 'alternative': None}",,,,,2.0,,,,,,,,,2.0,,,,,,,True,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1.0,1.0
Andrés Román,,,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200.0,"{'value': 1600000, 'currency': 'EUR'}",6,False,34.0,28.0,2.0,1.0,0.0,,4.0,,,,82.0,43.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",,
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000.0,,23,False,24.0,23.0,2.0,2.0,0.0,,,,,,36.0,26.0,5.5,1.0,"{'original': 5.5, 'alternative': None}",,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,Atlético Nacional,away,,,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800.0,"{'value': 520000, 'currency': 'EUR'}",16,False,65.0,61.0,10.0,9.0,0.0,,3.0,,,,90.0,78.0,8.1,6.0,"{'original': 8.1, 'alternative': None}",1.0,1.0,,1.0,2.0,,2.0,,,1.0,2.0,,,,2.0,,,,,,,Atlético Nacional,away,,,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200.0,"{'value': 1100000, 'currency': 'EUR'}",13,False,49.0,44.0,4.0,2.0,0.0,,,,,,90.0,69.0,7.7,12.0,"{'original': 7.7, 'alternative': None}",3.0,,1.0,,4.0,,1.0,,,,2.0,3.0,,1.0,,,,,,,,Atlético Nacional,away,,,
Matheus Uribe,,,mateus-uribe,M. Uribe,M,8,182.0,1809,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600.0,"{'value': 1500000, 'currency': 'EUR'}",8,False,50.0,44.0,7.0,4.0,0.0,,,,,,76.0,58.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",,,1.0,1.0,4.0,,2.0,1.0,,1.0,3.0,1.0,,,,1.0,,1.0,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",,
Juan Zapata,,,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400.0,"{'value': 1500000, 'currency': 'EUR'}",80,False,23.0,19.0,2.0,2.0,0.0,,,,,,45.0,27.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,,2.0,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,Atlético Nacional,away,,,
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400.0,"{'value': 4099999, 'currency': 'EUR'}",18,False,32.0,26.0,,,0.0,,,,,,90.0,40.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",3.0,,,4.0,,3.0,,,2.0,,,1.0,,,,1.0,,2.0,,1.0,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,
