name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,onTargetScoringAttempt,goals,aerialLost,outfielderBlock,totalContest,totalOffside,wonContest,blockedScoringAttempt,captain,team,teamType,punches,bigChanceCreated,hitWoodwork,bigChanceMissed
Juan Diaz,juan-diaz,J. Diaz,M,6,180.0,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,17.0,13.0,3.0,2.0,0.0,,,,56.0,20.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,Once Caldas,home,,,,
Hugo Dorrego,hugo-dorrego,H. Dorrego,M,30,174.0,56,311400,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,736905600,"{'value': 240000, 'currency': 'EUR'}",,,,30,True,4.0,4.0,,,0.0,,,,25.0,10.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,Once Caldas,home,,,,
Joel Contreras,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,,,16,True,7.0,6.0,,,0.0,,,,25.0,13.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",1.0,,2.0,4.0,,,,,,3.0,2.0,,,,,,,1.0,2.0,1.0,,,Once Caldas,home,,,,
Jaider Riquett,jaider-riquett,J. Riquett,D,18,184.0,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600,"{'value': 215000, 'currency': 'EUR'}",,,,18,True,3.0,3.0,,,0.0,,,,22.0,4.0,6.5,,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,,,,,,,,,1.0,,,,,,,Once Caldas,home,,,,
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,,,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,,,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,,,
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,21.0,16.0,10.0,5.0,0.0,1.0,2.0,4.0,90.0,27.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,True,Millonarios,away,1.0,,,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,False,34.0,25.0,3.0,2.0,0.0,5.0,,,90.0,62.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",2.0,,5.0,7.0,,3.0,1.0,1.0,3.0,,1.0,1.0,4.0,,,1.0,,,,,,,Millonarios,away,,,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,61.0,53.0,2.0,2.0,0.0,,,,90.0,71.0,7.8,9.0,"{'original': 7.8, 'alternative': None}",,,1.0,4.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,Millonarios,away,,,,
