name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,duelWon,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,duelLost,dispossessed,totalContest,wonContest,totalClearance,outfielderBlock,totalTackle,fouls,aerialLost,shotOffTarget,interceptionWon,aerialWon,challengeLost,hitWoodwork,totalOffside,accurateCross,keyPass,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,bigChanceMissed,captain,team,teamType
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,258,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,False,35.0,31.0,4.0,0.0,7.0,3.0,,,,85.0,51.0,7.7,10.0,"{'original': 7.7, 'alternative': None}",2.0,1.0,6.0,1.0,2.0,2.0,,,1.0,3.0,2.0,1.0,,1.0,1.0,1.0,,,5.0,,,1.0,,,Millonarios,home
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,True,9.0,9.0,,0.0,3.0,1.0,,,,45.0,16.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,1.0,,,,,,,2.0,,,2.0,,,,,,1.0,1.0,1.0,,,1.0,,Millonarios,home
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,,Luis Marimón,,43,True,,,,0.0,1.0,1.0,,,,15.0,2.0,6.3,,"{'original': 6.3, 'alternative': None}",,,2.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,Millonarios,home
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,250,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,True,1.0,,,0.0,,,,,,10.0,3.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,,,,,Millonarios,home
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178.0,316,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600,"{'value': 745000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,126,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,False,38.0,27.0,25.0,0.0,,,,1.0,2.0,90.0,45.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,Atlético Nacional,away
Joan Castro,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,,,20,False,23.0,18.0,2.0,0.0,3.0,1.0,,,,90.0,51.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",,4.0,3.0,1.0,2.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,,Atlético Nacional,away
