name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,shotOffTarget,totalTackle,wasFouled,fouls,interceptionWon,keyPass,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,accurateCross,bigChanceMissed,blockedScoringAttempt,bigChanceCreated,totalOffside,captain,team,teamType,outfielderBlock
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,,,22,False,16.0,13.0,1.0,1.0,1.0,2.0,5.0,2.0,,,,84.0,28.0,8.7,6.0,"{'original': 8.7, 'alternative': None}",,,4.0,1.0,2.0,1.0,,2.0,,3.0,1.0,3.0,2.0,1.0,1.0,,,,1.0,2.0,,América de Cali,home,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,True,1.0,,,,0.0,,5.0,,,,,16.0,6.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,,,,,2.0,3.0,,,,,,,,,,,,,,,América de Cali,home,
Kevin Angulo,kevin-angulo,K. Angulo,F,35,187,55,2039311,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1215129600,,,Kevin Angulo,,35,True,,,,,0.0,,,,,,,11.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,True,2.0,2.0,,,0.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Santiago Silva,silva-santiago,S. Silva,G,27,190,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Brayan Medina,medina-brayan,B. Medina,D,23,195,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Luis Ramos,luis-ramos,L. Ramos,F,9,175,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Alejandro Rodríguez,alejandro-rodriguez,A. Rodríguez,G,38,188,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",Alejandro Rodríguez,,38,False,23.0,13.0,13.0,3.0,0.0,,,1.0,,2.0,4.0,90.0,29.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",,,1.0,,,,,,,,1.0,,,,,,,,,,,Deportivo Cali,away,
Fabián Viáfara,fabian-viafara,F. Viáfara,D,27,167,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000,"{'value': 430000, 'currency': 'EUR'}",,,,27,False,30.0,26.0,1.0,,0.0,,1.0,1.0,,,,80.0,47.0,6.1,8.0,"{'original': 6.1, 'alternative': None}",,1.0,6.0,1.0,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,Deportivo Cali,away,
