name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,totalOffside,keyPass,aerialWon,blockedScoringAttempt,interceptionWon,totalTackle,fouls,wasFouled,penaltyWon,dispossessed,bigChanceCreated,shotOffTarget,bigChanceMissed,challengeLost,goals,penaltyMiss,captain,team,teamType,savedShotsFromInsideTheBox,penaltySave,outfielderBlock,penaltyConceded
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,False,6.0,4.0,,,0.0,1.0,,,43.0,10.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,Millonarios,home,,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,True,36.0,33.0,5.0,4.0,0.0,,,,47.0,51.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",3.0,1.0,1.0,2.0,,1.0,,2.0,,2.0,,2.0,,,,,,,,2.0,,,,,,Millonarios,home,,,,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,True,17.0,17.0,,,0.0,1.0,,,30.0,22.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,,,,,Millonarios,home,,,,
Felix Charrupí,felix-charrupi,F. Charrupí,M,7,182.0,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000,"{'value': 760000, 'currency': 'EUR'}",,,,7,True,8.0,8.0,,,0.0,,,,10.0,9.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,Millonarios,home,,,,
Sebastián Mosquera,sebastian-mosquera,S. Mosquera,M,35,,10,2078760,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1165190400,,,Sebastián Mosquera,,35,True,9.0,7.0,,,0.0,,,,9.0,12.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,
Juan Camilo Chaverra,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400,"{'value': 190000, 'currency': 'EUR'}",,,,12,False,13.0,7.0,9.0,3.0,0.0,,1.0,,45.0,14.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,True,Alianza Valledupar FC,away,1.0,1.0,,
Yilson Rosales,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000,"{'value': 260000, 'currency': 'EUR'}",,,,60,False,19.0,10.0,3.0,2.0,0.0,,,,90.0,48.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",,,,4.0,8.0,2.0,1.0,,,,,,3.0,3.0,1.0,4.0,,2.0,,,,,,,,Alianza Valledupar FC,away,,,2.0,
