name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,fouls,keyPass,aerialWon,dispossessed,outfielderBlock,wasFouled,accurateCross,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,hitWoodwork,totalOffside,goals,captain,team,teamType,savedShotsFromInsideTheBox
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,,32,False,14.0,8.0,3.0,,0.0,9.0,,90.0,39.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,,6.0,4.0,2.0,3.0,,2.0,2.0,1.0,,2.0,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,,27,False,30.0,25.0,,,0.0,2.0,,79.0,43.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,2.0,6.0,4.0,1.0,3.0,2.0,1.0,,2.0,,,,,2.0,,,,,,,,,Rionegro Águilas Doradas,away,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,,,28,False,45.0,39.0,4.0,2.0,0.0,3.0,,90.0,57.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,1.0,3.0,5.0,,1.0,,,2.0,2.0,1.0,,,1.0,3.0,,,,,,,,True,Rionegro Águilas Doradas,away,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,,,22,False,12.0,9.0,2.0,1.0,0.0,1.0,,45.0,19.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",1.0,,3.0,1.0,,2.0,1.0,,,,1.0,,2.0,,,,,,,,,,,Rionegro Águilas Doradas,away,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,,,20,False,31.0,23.0,3.0,,0.0,1.0,,85.0,44.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",4.0,1.0,5.0,,1.0,2.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,Rionegro Águilas Doradas,away,
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600,"{'value': 53000, 'currency': 'EUR'}",,,,19,False,14.0,11.0,,,0.0,,,90.0,22.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,2.0,5.0,5.0,,2.0,,,,1.0,1.0,3.0,,,2.0,,,,,,,,,Rionegro Águilas Doradas,away,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,,,11,False,11.0,9.0,,,0.0,,,45.0,26.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,,4.0,9.0,1.0,2.0,1.0,,3.0,,,,2.0,,5.0,,1.0,,1.0,,,,,Rionegro Águilas Doradas,away,
David Lemos,david-lemos,D. Lemos,F,47,175.0,20,830005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799632000,"{'value': 280000, 'currency': 'EUR'}",,,,47,True,5.0,3.0,1.0,1.0,0.0,1.0,,29.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,Rionegro Águilas Doradas,away,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,,23,True,17.0,14.0,1.0,,0.0,,,45.0,22.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",2.0,,,3.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,115,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,,17,True,9.0,8.0,,,0.0,,,16.0,9.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,,16,True,6.0,6.0,2.0,2.0,0.0,,,11.0,8.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,,,8,True,4.0,3.0,,,0.0,,,11.0,6.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,Nicolás Lara,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
