name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,totalClearance,penaltyConceded,fouls,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelWon,challengeLost,blockedScoringAttempt,interceptionWon,totalTackle,keyPass,aerialWon,dispossessed,totalContest,outfielderBlock,wonContest,wasFouled,accurateCross,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim,bigChanceCreated,penaltyWon,bigChanceMissed
Gonzalo Lencina,gonzalo-lencina,G. Lencina,F,11,178.0,504,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800.0,"{'value': 825000, 'currency': 'EUR'}",,,,11,False,5.0,4.0,,,0.0,5.0,2.0,,1.0,,,,,,76.0,16.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,3.0,4.0,,,,,,,,2.0,,1.0,3.0,,,,,2.0,,Deportes Tolima,home,,,,
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",,,,6,True,7.0,6.0,1.0,,0.0,2.0,,,,,,,,,23.0,12.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,3.0,1.0,,,1.0,,,1.0,,,,2.0,,,,,,,Deportes Tolima,home,,,,
Jersson González,jersson-gonzalez,J. González,M,7,172.0,87,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",,,,7,True,4.0,2.0,,,0.0,1.0,,,1.0,,,,,,22.0,9.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,,,,,,,1.0,,,,,,,Deportes Tolima,home,,,,
Jader Quinones,quinones-jader,J. Quiñónes,M,42,170.0,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200.0,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",Jader Quiñónes,,42,True,7.0,6.0,,,0.0,1.0,,,,,,,,,14.0,10.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,,Deportes Tolima,home,,,,
Adrián Parra,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800.0,"{'value': 535000, 'currency': 'EUR'}",,,,24,True,1.0,1.0,,,0.0,2.0,1.0,,1.0,,,,,,14.0,5.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,,,,,,1.0,,,,,1.0,,1.0,,,,,Deportes Tolima,home,,,,
John Azcarate,john-azcarate,J. Azcarate,G,12,,4,1618635,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,John Azcarate,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Samuel Velásquez,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",Samuel Velásquez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Julián Quiñones,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200.0,"{'value': 160000, 'currency': 'EUR'}",,,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,146,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,28.0,14.0,18.0,4.0,0.0,,1.0,,,,,,,,90.0,33.0,6.1,16.0,"{'original': 6.1, 'alternative': None}",,,1.0,,,,,,,,,,,1.0,,,,,,,América de Cali,away,1.0,,,
Esneyder Mena,esneyder-mena,E. Mena,M,26,177.0,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200.0,"{'value': 380000, 'currency': 'EUR'}",,,,26,False,31.0,24.0,1.0,1.0,0.0,6.0,,,,,,,,,89.0,57.0,7.3,16.0,"{'original': 7.3, 'alternative': None}",3.0,4.0,6.0,1.0,,,3.0,2.0,2.0,,2.0,,1.0,,1.0,,1.0,,,,América de Cali,away,,1.0,,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200.0,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,38.0,29.0,5.0,3.0,0.0,4.0,4.0,,2.0,,,,,,90.0,50.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,1.0,7.0,1.0,,2.0,1.0,,5.0,,,1.0,,1.0,,,,,,,América de Cali,away,,,,
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,108,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",,,,23,False,40.0,29.0,9.0,5.0,0.0,3.0,4.0,,2.0,,,,,,90.0,46.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,1.0,3.0,,,1.0,,1.0,3.0,,,,,,,,,,1.0,,América de Cali,away,,,,
Marcos Mina,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,21.0,19.0,4.0,3.0,0.0,2.0,3.0,,2.0,,,,,,90.0,40.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,2.0,,,2.0,1.0,,1.0,,,,,,2.0,,,,,,América de Cali,away,,,,
Franco Leys,franco-leys,F. Leys,M,32,180.0,54,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400.0,"{'value': 360000, 'currency': 'EUR'}",,,,32,False,26.0,22.0,2.0,,0.0,,2.0,,,,,,,,45.0,33.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,,,,,,2.0,,,,,1.0,,,,,,,América de Cali,away,,,,
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173.0,255,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000.0,"{'value': 325000, 'currency': 'EUR'}",,,,15,False,63.0,57.0,8.0,7.0,0.0,5.0,1.0,,2.0,,,,,,90.0,75.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,1.0,2.0,,3.0,1.0,1.0,,,2.0,,,,1.0,,1.0,1.0,,,,América de Cali,away,,,,
Luis Gómez,luis-gomez,L. Gómez,F,16,173.0,73,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",,,,16,False,25.0,20.0,2.0,1.0,0.0,1.0,1.0,,,,,,,,45.0,34.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,3.0,,1.0,,2.0,,,1.0,,,,1.0,,,,,1.0,,América de Cali,away,,,,
