name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,duelWon,totalContest,wonContest,totalClearance,penaltyConceded,fouls,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,outfielderBlock,wasFouled,keyPass,blockedScoringAttempt,totalTackle,aerialLost,onTargetScoringAttempt,interceptionWon,aerialWon,challengeLost,shotOffTarget,dispossessed,bigChanceCreated,goals,totalOffside,bigChanceMissed,captain,team,teamType,savedShotsFromInsideTheBox,penaltyWon
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,12.0,9.0,,,0.0,3.0,2.0,1.0,,1.0,,,,,90.0,23.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,True,Independiente Santa Fe,home,,
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185.0,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,,17,True,6.0,4.0,,,0.0,,,,,,,,,,30.0,8.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,True,6.0,3.0,2.0,,0.0,3.0,,,,,,,,,29.0,15.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,Independiente Santa Fe,home,,
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,,Yaicar Perlaza,,27,True,,,,,0.0,,,,,2.0,,,,,10.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Lucas Ríos,lucas-rios,L. Ríos,M,29,176.0,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200,"{'value': 620000, 'currency': 'EUR'}",,,,29,True,3.0,2.0,1.0,1.0,0.0,2.0,,,,,,,,,9.0,4.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,,,,1.0,,,,,,1.0,,,,,,Independiente Santa Fe,home,,
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Tomas Molina,tomas-molina,T. Molina,M,31,,12,1602380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1083110400,,,Tomas Molina,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,False,27.0,21.0,14.0,9.0,0.0,,,,,2.0,,,1.0,1.0,90.0,34.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,1.0,
Andrés Román,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",,,6,False,13.0,12.0,2.0,2.0,0.0,,1.0,,,1.0,,,,,61.0,23.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,3.0,,,,,,,Atlético Nacional,away,,
