name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelWon,outfielderBlock,duelLost,totalContest,wasFouled,keyPass,dispossessed,fouls,aerialLost,challengeLost,onTargetScoringAttempt,blockedScoringAttempt,goals,interceptionWon,goalAssist,captain,team,teamType,saves,wonContest,shotOffTarget,totalTackle,bigChanceMissed,accurateCross,bigChanceCreated,totalOffside
Juan Arizala,,,arizala-juan,J. Arizala,D,71,183,541,1476922,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1128902400,"{'value': 380000, 'currency': 'EUR'}",,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 160000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181,91,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183,306,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189,105,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,22,False,6.0,4.0,5.0,3.0,,,40.0,8.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,Deportes Tolima,away,1.0,,,,,,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,26,False,14.0,8.0,2.0,1.0,,,40.0,22.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,3.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,Deportes Tolima,away,,1.0,2.0,,,,,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180,43,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,17,False,6.0,3.0,2.0,,,,40.0,7.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,1.0,,,,
Anderson Angulo,,,anderson-angulo,A. Angulo,D,2,187,24,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,2,False,6.0,5.0,2.0,2.0,3.0,,40.0,11.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,
