name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,errorLeadToAGoal,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,interceptionWon,totalTackle,aerialLost,challengeLost,fouls,keyPass,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,fieldTranslations,outfielderBlock,bigChanceCreated
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,26,True,27.0,22.0,1.0,,1.0,,,,,,,,,45.0,37.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",3.0,1.0,,3.0,,,,1.0,,,,,3.0,1.0,,,,,,Unión Magdalena,home,,,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",28,True,36.0,32.0,4.0,4.0,0.0,7.0,,,4.0,,,,,45.0,47.0,8.0,5.0,"{'original': 8, 'alternative': None}",,,1.0,1.0,,2.0,2.0,,,,1.0,,,,1.0,2.0,1.0,,,Unión Magdalena,home,,,
Jhoan Pinto,,,jhoan-pinto,J. Pinto,M,14,,5,1831290,{},EUR,,,14,True,11.0,10.0,,,0.0,,,,,,,,,33.0,17.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",1.0,,,2.0,,2.0,,,,,,,,,,1.0,,,,Unión Magdalena,home,,,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,,3,2040668,{},EUR,1073952000.0,,9,True,5.0,3.0,,,0.0,,,,,,,,,11.0,6.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,1.0,,,1.0,,,,,,Unión Magdalena,home,,,
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Salvador Ichazo,,,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}",1,False,26.0,11.0,21.0,6.0,0.0,,,,,3.0,4.0,,,90.0,37.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,
Eber Moreno,Eber Moreno,,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",16,False,15.0,13.0,1.0,,0.0,2.0,4.0,,,,,,,84.0,33.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,1.0,5.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,Deportivo Pereira,away,,,
Santiago Aguilar,Santiago Aguilar,,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",15,False,27.0,20.0,6.0,1.0,0.0,3.0,8.0,,,,,,,90.0,39.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,Deportivo Pereira,away,,1.0,
Julián Bazán,,,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",34,False,25.0,19.0,6.0,1.0,0.0,3.0,6.0,,,,,,,81.0,33.0,6.2,7.0,"{'original': 6.2, 'alternative': None}",,,2.0,3.0,,,,,,1.0,1.0,,2.0,,,,,,,Deportivo Pereira,away,,,
Jeison Suárez,,,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",26,False,23.0,16.0,6.0,1.0,0.0,3.0,6.0,,,,,,,90.0,42.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",,,,3.0,,,,,,3.0,2.0,1.0,,,,2.0,1.0,,,Deportivo Pereira,away,,1.0,
Juan David Ríos,,,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",14,False,28.0,23.0,2.0,,0.0,4.0,1.0,,2.0,,,,,90.0,35.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,1.0,8.0,,,,,,1.0,1.0,,7.0,,,,,,,Deportivo Pereira,away,,1.0,
Jorge Bermúdez,,,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",5,False,21.0,19.0,2.0,1.0,0.0,3.0,2.0,,3.0,,,,,90.0,27.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,5.0,,,,,1.0,,,2.0,4.0,,,,,,,Deportivo Pereira,away,,,
Yesus Cabrera,,,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",10,False,24.0,22.0,,,0.0,3.0,2.0,,2.0,,,,,56.0,33.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,,1.0,,,,,,1.0,1.0,,,2.0,,,,,,Deportivo Pereira,away,,,
Felipe Mosquera,Felipe Mosquera,,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",77,False,20.0,12.0,3.0,1.0,0.0,1.0,,,1.0,,,,,84.0,26.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,,,4.0,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,Deportivo Pereira,away,,,
Yuber Quiñones,Yuber Quiñones,,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",13,False,16.0,11.0,7.0,4.0,0.0,2.0,3.0,,1.0,,,,,90.0,37.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",3.0,,,6.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,Deportivo Pereira,away,,2.0,
Darwin Quintero,,,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",7,False,25.0,20.0,,,1.0,7.0,,,1.0,,,,,84.0,39.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",,,1.0,6.0,1.0,4.0,3.0,,,2.0,3.0,,2.0,1.0,,1.0,,,True,Deportivo Pereira,away,,,1.0
Jhon Largacha,Jhon Largacha,,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",11,True,6.0,3.0,1.0,,0.0,2.0,1.0,,2.0,,,,,34.0,11.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,,2.0,,,,,,,,1.0,1.0,,,,,,,Deportivo Pereira,away,,,
Jaime Diaz,,,diaz-jaime,J. Diaz,D,23,,14,1174610,{},EUR,,,23,True,4.0,3.0,2.0,1.0,0.0,1.0,,,,,,,,15.0,8.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,Deportivo Pereira,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. d. J. D. Montes'}}",1.0,
Gianfranco Peña,Gianfranco Peña,,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",9,True,5.0,2.0,,,0.0,2.0,,,1.0,,,,,15.0,6.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,1.0,4.0,,,,,,,1.0,,3.0,,,,,1.0,,Deportivo Pereira,away,,,
Nicolas Rengifo,Nicolas Rengifo,,nicolas-rengifo,N. Rengifo,,35,,7,1643444,{},EUR,,,35,True,2.0,1.0,,,0.0,1.0,1.0,,,,,,,15.0,5.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,1.0,
Franklin Mosquera,Franklin Mosquera,,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
Luis David Gonzalez,,,luis-david-gonzalez,L. D. Gonzalez,M,31,,4,1214975,{},EUR,,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
Juan Ramírez,Juan Ramírez,,juan-ramirez,J. Ramírez,,19,,4,2063964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
