name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelWon,bigChanceCreated,wasFouled,fouls,keyPass,totalContest,wonContest,totalTackle,interceptionWon,aerialLost,onTargetScoringAttempt,totalOffside,dispossessed,blockedScoringAttempt,shotOffTarget,bigChanceMissed,captain,team,teamType,goodHighClaim,punches,outfielderBlock,hitWoodwork
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",Wilmar Arango,,20,True,23.0,21.0,1.0,,0.0,1.0,,,,,,,45.0,28.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,,,2.0,,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,,Boyacá Chicó FC,home,,,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,6,True,11.0,11.0,2.0,2.0,0.0,2.0,1.0,2.0,,,,,32.0,16.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",1.0,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,Boyacá Chicó FC,home,,,,
Ronald Valencia,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600.0,"{'value': 135000, 'currency': 'EUR'}",Ronald Valencia,,16,True,8.0,4.0,2.0,,0.0,1.0,,2.0,,,,,24.0,17.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",3.0,,1.0,3.0,,2.0,,,1.0,,,,,,,,,,,,Boyacá Chicó FC,home,,,,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000.0,"{'value': 140000, 'currency': 'EUR'}",,,21,True,,,,,0.0,1.0,,,,,,,1.0,5.0,,2.0,,1.0,,,2.0,,1.0,,,,,1.0,,,,,1.0,,,,,Boyacá Chicó FC,home,,,,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",Kevin Londoño,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,Sebastián Colón,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800.0,"{'value': 52000, 'currency': 'EUR'}",,,12,False,20.0,12.0,16.0,8.0,0.0,,,4.0,1.0,3.0,,,90.0,34.0,7.6,8.0,"{'original': 7.6, 'alternative': None}",,,1.0,1.0,,,,1.0,,,,,,,,,,,,,Deportivo Pasto,away,1.0,2.0,,
Juan Franco,juan-franco,J. Franco,D,15,178.0,27,1102277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1009929600.0,"{'value': 165000, 'currency': 'EUR'}",Juan Franco,,15,False,15.0,12.0,,,0.0,7.0,1.0,6.0,,,,,90.0,32.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,,,2.0,,1.0,,2.0,1.0,2.0,,,1.0,,,,,Deportivo Pasto,away,,,,
Luis Caicedo,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400.0,"{'value': 215000, 'currency': 'EUR'}",,,4,False,30.0,23.0,9.0,5.0,0.0,2.0,,2.0,,,,,90.0,37.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,Deportivo Pasto,away,,,1.0,
