name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,shotOffTarget,onTargetScoringAttempt,goals,totalTackle,fouls,aerialLost,challengeLost,wasFouled,totalCross,accurateCross,totalContest,wonContest,bigChanceCreated,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,totalOffside,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal,outfielderBlock,ownGoals
Mayer Gil,Mayer Gil,,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",99,True,3.0,3.0,,,0.0,,,,,,29.0,7.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,Alianza Valledupar FC,home,,,,,
Jesús Muñoz,Jesús Muñoz,,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000.0,"{'value': 375000, 'currency': 'EUR'}",,24,True,5.0,4.0,,,0.0,,2.0,,,,11.0,10.0,7.0,2.0,"{'original': 7, 'alternative': None}",2.0,,1.0,,,1.0,,,1.0,,,2.0,1.0,,1.0,,,,,,Alianza Valledupar FC,home,,,,,
Jesús Figueroa,,,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,6,True,4.0,4.0,,,0.0,,,,,,10.0,6.0,7.5,,"{'original': 7.5, 'alternative': None}",1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Jeison Osorio,Jeison Osorio,,jeison-osorio,J. Osorio,,28,,22,2149036,{},EUR,,,,28,True,,,,,0.0,,,,,,10.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Jhon Valoyes,Jhon Valoyes,,jhon-valoyes,J. Valoyes,,30,,18,2162652,{},EUR,,,,30,True,,,,,0.0,,,,,,6.0,2.0,7.6,,"{'original': 7.6, 'alternative': None}",,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Johan Wallens,,,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Diego Mendoza,Diego Mendoza,,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Jhoyler Andrades,Jhoyler Andrades,,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000.0,,,35,False,18.0,12.0,11.0,6.0,0.0,,,1.0,,1.0,90.0,26.0,5.5,6.0,"{'original': 5.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,1.0,1.0,,,
Elvis Perlaza,,,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000.0,"{'value': 160000, 'currency': 'EUR'}",,22,False,29.0,24.0,3.0,,0.0,1.0,4.0,3.0,,,89.0,43.0,5.9,8.0,"{'original': 5.9, 'alternative': None}",1.0,1.0,,,,,,,2.0,2.0,,2.0,1.0,,,,,,,True,Independiente Santa Fe,away,,,,,
Kevin Andres Cuesta Rodriguez,Kevin Andres Cuesta Rodriguez,,cuesta-rodriguez-kevin-andres,K. A. C. Rodriguez,D,6,188.0,34,1067105,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,955843200.0,"{'value': 205000, 'currency': 'EUR'}",,6,False,37.0,32.0,9.0,7.0,0.0,,,2.0,,,90.0,41.0,5.0,6.0,"{'original': 5, 'alternative': None}",4.0,,,,,2.0,1.0,,,,,1.0,,,,,,,,,Independiente Santa Fe,away,,,1.0,,
