name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,totalTackle,wasFouled,fouls,aerialWon,dispossessed,bigChanceMissed,onTargetScoringAttempt,outfielderBlock,interceptionWon,keyPass,penaltyMiss,blockedScoringAttempt,accurateCross,wonContest,bigChanceCreated,penaltyWon,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,punches,penaltyConceded
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600.0,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,10.0,9.0,,,0.0,,,,,62.0,14.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",1.0,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,True,Junior Barranquilla,home,,,,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000.0,"{'value': 850000, 'currency': 'EUR'}",,,,9,True,11.0,7.0,3.0,3.0,0.0,,,,,29.0,13.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000.0,"{'value': 52000, 'currency': 'EUR'}",,,,29,True,27.0,20.0,3.0,1.0,0.0,,,,,28.0,34.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",2.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,Junior Barranquilla,home,,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",,,,99,True,5.0,5.0,,,0.0,,,,,23.0,11.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,Junior Barranquilla,home,,,,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169.0,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400.0,"{'value': 1500000, 'currency': 'EUR'}",,,,20,True,12.0,10.0,,,0.0,,,,,22.0,22.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",4.0,2.0,3.0,2.0,,3.0,,,,,,,,,,,,,,,2.0,,,,Junior Barranquilla,home,,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,5.0,4.0,,,0.0,,,,,13.0,6.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,1.0,,,,,,,,Junior Barranquilla,home,,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800.0,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Santiago Silva,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,False,34.0,12.0,27.0,7.0,0.0,1.0,6.0,,,90.0,52.0,8.5,25.0,"{'original': 8.5, 'alternative': None}",,,1.0,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,América de Cali,away,1.0,4.0,1.0,1.0,
Omar Bertel,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 565000, 'currency': 'EUR'}",,,,31,False,26.0,16.0,3.0,1.0,0.0,1.0,,,,84.0,33.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,3.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,América de Cali,away,,,,,
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",,,,23,False,27.0,22.0,3.0,3.0,0.0,4.0,,,,90.0,40.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,,3.0,7.0,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,,,1.0,1.0,,,,,1.0,,,,América de Cali,away,,,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",,,,4,False,18.0,12.0,4.0,1.0,0.0,10.0,,,,90.0,33.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,,3.0,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,América de Cali,away,,,,,
Cristian Tovar,cristian-tovar,C. Tovar,D,6,182.0,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800.0,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",,,6,False,13.0,8.0,5.0,1.0,0.0,3.0,,,,90.0,20.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,América de Cali,away,,,,,
Joel Romero,joel-romero,J. Romero,M,33,174.0,27,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000.0,,,Joel Romero,,33,False,25.0,18.0,2.0,,0.0,4.0,,,,90.0,46.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",2.0,,2.0,5.0,,2.0,,3.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,América de Cali,away,,,,,
Luis Alejandro Paz,luis-alejandro-paz,L. A. Paz,M,19,175.0,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000.0,"{'value': 47000, 'currency': 'EUR'}",,,,19,False,18.0,14.0,2.0,1.0,0.0,,,,,90.0,19.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,True,América de Cali,away,,,,,
José Cavadia,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",,,,29,False,39.0,32.0,5.0,3.0,0.0,1.0,,,,90.0,46.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",1.0,,5.0,3.0,2.0,,,3.0,,3.0,,,,,,1.0,,,,,,,,,América de Cali,away,,,,,1.0
Luis Gómez,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",,,,16,False,24.0,17.0,1.0,,0.0,2.0,,,,61.0,33.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,América de Cali,away,,,,,
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",,,,9,False,9.0,6.0,,,0.0,,,,,61.0,17.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,5.0,10.0,4.0,,,,,2.0,,2.0,5.0,,1.0,,,,,,,,,,,América de Cali,away,,,,,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178.0,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600.0,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,False,20.0,14.0,1.0,1.0,0.0,1.0,,,,72.0,33.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,4.0,3.0,,3.0,2.0,,1.0,2.0,1.0,,,1.0,1.0,,,,,,1.0,,,,América de Cali,away,,,,,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",,,,11,True,8.0,5.0,1.0,,0.0,,,,,29.0,12.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,América de Cali,away,,,,,
Kevin Angulo,kevin-angulo,K. Angulo,F,35,187.0,55,2039311,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1215129600.0,,,Kevin Angulo,,35,True,2.0,2.0,,,0.0,1.0,,,,29.0,4.0,6.6,,"{'original': 6.6, 'alternative': None}",,1.0,2.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,América de Cali,away,,,,,
Joider Micolta,joider-micolta,J. Micolta,M,30,173.0,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400.0,"{'value': 335000, 'currency': 'EUR'}",,Joider Micolta,,30,True,1.0,1.0,,,0.0,,,,,18.0,4.0,6.1,2.0,"{'original': 6.1, 'alternative': None}",1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,América de Cali,away,,,,,
Sebastián Quiñones,sebastian-quinones,S. Quiñones,,39,,12,1988727,{},EUR,,,,Sebastián Quiñones,,39,True,2.0,1.0,1.0,,0.0,,,,,14.0,6.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,1.0,,,,,,,1.0,,,,,3.0,,,,,,,,,América de Cali,away,,,,,
Alexis Sinisterra,alexis-sinisterra,A. Sinisterra,G,47,181.0,13,2009109,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1107993600.0,,,Alexis Sinisterra,,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,
Sebastián Quiñones,camilo-quinones,S. Quiñones,D,34,191.0,11,2142133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1154390400.0,,,Sebastián Quiñones,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,
Juan Aponzá,juan-aponza,J. Aponzá,M,25,,9,2142134,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1211587200.0,,,Juan Aponzá,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,
