name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,totalTackle,keyPass,aerialWon,dispossessed,totalClearance,interceptionWon,aerialLost,shotOffTarget,fouls,wonContest,accurateCross,blockedScoringAttempt,wasFouled,totalOffside,challengeLost,onTargetScoringAttempt,captain,team,teamType,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200.0,"{'value': 550000, 'currency': 'EUR'}",,,,32,False,9.0,6.0,,,0.0,73.0,15.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,3.0,1.0,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,,Millonarios,home,,,,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 470000, 'currency': 'EUR'}",,,,21,True,46.0,41.0,2.0,2.0,0.0,66.0,54.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,,Millonarios,home,,,,,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400.0,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,True,27.0,24.0,2.0,2.0,0.0,27.0,40.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,4.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,3.0,,,1.0,,Millonarios,home,,,,,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000.0,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,True,10.0,9.0,,,0.0,17.0,14.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",3.0,,,,,,,,1.0,,,,,,,,,,,,,Millonarios,home,,,,,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000.0,,,Luis Marimón,,43,True,4.0,3.0,,,0.0,17.0,8.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",2.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,Millonarios,home,,,,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 1200000, 'currency': 'EUR'}",,,,15,True,6.0,5.0,1.0,,0.0,16.0,10.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,Millonarios,home,,,,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800.0,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200.0,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,,
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,28.0,12.0,20.0,4.0,0.0,90.0,33.0,6.8,16.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,True,Deportivo Pereira,away,1.0,2.0,1.0,1.0,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,29.0,20.0,6.0,2.0,0.0,90.0,52.0,7.2,17.0,"{'original': 7.2, 'alternative': None}",3.0,2.0,3.0,1.0,2.0,1.0,,,5.0,,1.0,,,,1.0,,1.0,,,,,Deportivo Pereira,away,,,,,1.0
