name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,fouls,keyPass,aerialLost,aerialWon,totalCross,bigChanceCreated,shotOffTarget,accurateCross,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,wasFouled,challengeLost,hitWoodwork,outfielderBlock,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,totalOffside,goals
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,17,True,10.0,8.0,1.0,1.0,0.0,,,,23.0,11.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,,,,,,1.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,,Independiente Medellín,home,,,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,31.0,25.0,6.0,4.0,0.0,,,,23.0,36.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,,,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,Independiente Medellín,home,,,,
Julian Angulo,Julian Angulo,,julian-angulo,J. Angulo,M,11,183.0,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400,"{'value': 265000, 'currency': 'EUR'}",,11,True,14.0,12.0,,,0.0,,,,23.0,25.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",4.0,3.0,,4.0,,,,2.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,Independiente Medellín,home,,,,
Nezareth Segura,Nezareth Segura,,nezareth-segura,N. Segura,M,20,,7,2153449,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181520000,,,20,True,2.0,1.0,,,0.0,,,,14.0,3.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,Independiente Medellín,home,,,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,14,True,3.0,2.0,,,0.0,,,,11.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,Independiente Medellín,home,,,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 160000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,22,False,37.0,22.0,29.0,15.0,0.0,5.0,,,90.0,48.0,8.0,15.0,"{'original': 8, 'alternative': None}",,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,Deportes Tolima,away,1.0,1.0,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,26,False,21.0,17.0,3.0,1.0,0.0,,,,90.0,32.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",1.0,3.0,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,Deportes Tolima,away,,,,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,3,False,16.0,10.0,7.0,3.0,0.0,,,,90.0,29.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,,,,8.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,1.0,True,Deportes Tolima,away,,,,
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188.0,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600,,,4,False,16.0,10.0,6.0,2.0,0.0,,,,90.0,30.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",2.0,3.0,,,,12.0,,1.0,1.0,,,2.0,,,,,,,,,1.0,,1.0,,Deportes Tolima,away,,,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,20.0,17.0,4.0,2.0,0.0,,,,90.0,43.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",3.0,4.0,2.0,,,7.0,,1.0,,,,2.0,3.0,,,,,,,1.0,1.0,,,,Deportes Tolima,away,,,,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,18,False,28.0,26.0,1.0,1.0,0.0,,,,82.0,37.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",5.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,Deportes Tolima,away,,,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,15,False,35.0,34.0,2.0,1.0,0.0,,,,82.0,50.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",,3.0,,,,3.0,2.0,2.0,,,,,,,,,,,,1.0,,,2.0,,Deportes Tolima,away,,,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,80,False,27.0,22.0,1.0,,0.0,,,,90.0,38.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,1.0,,,,2.0,4.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,Deportes Tolima,away,,,,
Alex Castro,,,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,23,False,25.0,19.0,2.0,1.0,0.0,,,,72.0,37.0,6.3,13.0,"{'original': 6.3, 'alternative': None}",7.0,4.0,1.0,5.0,1.0,,,2.0,2.0,,,,2.0,,,1.0,,,,1.0,,,,,Deportes Tolima,away,,,,
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,25,False,20.0,13.0,1.0,,0.0,,,,63.0,28.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",7.0,3.0,2.0,,,,,1.0,2.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,Deportes Tolima,away,,,,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,24,False,14.0,9.0,,,0.0,,,,72.0,24.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",4.0,3.0,1.0,1.0,,,,2.0,,,2.0,1.0,,,,,,,1.0,,,,,,Deportes Tolima,away,,,1.0,
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,7,True,2.0,1.0,,,0.0,,,,27.0,10.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,,2.0,1.0,,2.0,,,,1.0,,,,,,,1.0,,,,,,,Deportes Tolima,away,,,,1.0
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178.0,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,11,True,7.0,5.0,1.0,,1.0,,,,18.0,12.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",2.0,2.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,Deportes Tolima,away,,,,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,28,True,9.0,6.0,3.0,,0.0,,,,18.0,14.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,4.0,,,,1.0,,,,,,,,,,,1.0,,,,Deportes Tolima,away,,,,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,17,True,,,,,0.0,,,,8.0,,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,6,True,1.0,1.0,,,0.0,,,,8.0,2.0,6.3,1.0,"{'original': 6.3, 'alternative': None}",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,
Cristian Arrieta,,,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,
