name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,dispossessed,interceptionWon,fouls,totalCross,totalContest,wonContest,onTargetScoringAttempt,goals,totalTackle,wasFouled,accurateCross,totalOffside,keyPass,challengeLost,shotOffTarget,bigChanceCreated,blockedScoringAttempt,captain,team,teamType,punches,outfielderBlock,hitWoodwork
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,923,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600.0,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,24.0,19.0,1.0,1.0,0.0,3.0,,,90.0,41.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",8.0,2.0,12.0,3.0,4.0,,,,1.0,1.0,,,,,,,2.0,,3.0,,,True,Independiente Santa Fe,home,,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800.0,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,18.0,12.0,3.0,,0.0,6.0,,,45.0,27.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,2.0,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,Independiente Santa Fe,home,,,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600.0,"{'value': 380000, 'currency': 'EUR'}",,,,21,True,6.0,2.0,2.0,,0.0,,,,29.0,12.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,2.0,2.0,,,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,Independiente Santa Fe,home,,,
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185.0,44,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200.0,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,,17,True,1.0,,,,0.0,1.0,,,12.0,10.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,Independiente Santa Fe,home,,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200.0,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,True,5.0,4.0,1.0,1.0,0.0,,,,14.0,7.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200.0,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,5.0,4.0,,,0.0,,,,14.0,6.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,Independiente Santa Fe,home,,,
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600.0,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200.0,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,21.0,8.0,21.0,8.0,0.0,2.0,,1.0,90.0,27.0,6.2,13.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,1.0,,
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,Eber Moreno,,16,False,19.0,13.0,5.0,2.0,0.0,1.0,,,90.0,40.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,3.0,2.0,,2.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,Deportivo Pereira,away,,,
