name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,duelLost,totalContest,wonContest,shotOffTarget,interceptionWon,fouls,aerialLost,aerialWon,totalTackle,challengeLost,dispossessed,onTargetScoringAttempt,outfielderBlock,totalOffside,captain,team,teamType,bigChanceCreated,bigChanceMissed,hitWoodwork,blockedScoringAttempt
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",,Beckham Castro,,11,False,3.0,2.0,,,0.0,3.0,,3.0,,,,,,62.0,17.0,6.6,8.0,1.0,"{'original': 6.6, 'alternative': None}",4.0,1.0,6.0,1.0,,2.0,,,3.0,,,,2.0,,,1.0,,Deportivo La Equidad,home,,,,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,True,20.0,16.0,1.0,1.0,0.0,11.0,,3.0,,,,,,78.0,37.0,7.1,8.0,,"{'original': 7.1, 'alternative': None}",,,8.0,,,2.0,3.0,2.0,1.0,6.0,2.0,3.0,2.0,,,,,Deportivo La Equidad,home,,,,
Sebastián Tamara,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400.0,"{'value': 365000, 'currency': 'EUR'}",,,,8,True,5.0,4.0,,,0.0,1.0,,1.0,,,,,,28.0,8.0,6.5,3.0,,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,,1.0,,,,,,,,,Deportivo La Equidad,home,,,,
Fabian Chaverra,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,,Fabian Chaverra,,28,True,1.0,,,,0.0,2.0,,,,,,,,28.0,5.0,6.6,3.0,,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,2.0,,,1.0,,,,,,,,,,Deportivo La Equidad,home,,,,
Santiago Gómez,santiago-gomez,S. Gómez,D,21,180.0,3,929690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,896227200.0,"{'value': 205000, 'currency': 'EUR'}",,,,21,True,1.0,,1.0,,0.0,,,,,,,,,2.0,4.0,,2.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,Deportivo La Equidad,home,,,,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",,Bleiner Agrón,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Cleverson Murillo,murillo-cleverson,C. Murillo,D,39,,3,1534811,{},EUR,,,,,,39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Washington Aguerre,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200.0,"{'value': 870000, 'currency': 'EUR'}",,,,29,False,22.0,19.0,6.0,3.0,0.0,,1.0,,,1.0,2.0,,,90.0,27.0,7.1,3.0,,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,
Léyser Chaverra,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800.0,"{'value': 875000, 'currency': 'EUR'}",,,,2,False,45.0,39.0,4.0,2.0,0.0,6.0,5.0,1.0,,,,,,90.0,63.0,7.1,9.0,,"{'original': 7.1, 'alternative': None}",,,4.0,,,,1.0,1.0,1.0,3.0,2.0,2.0,,,,,,Independiente Medellín,away,,,,
