name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,fouls,keyPass,interceptionWon,wasFouled,shotOffTarget,totalCross,aerialLost,aerialWon,outfielderBlock,penaltyConceded,accurateCross,onTargetScoringAttempt,totalOffside,dispossessed,blockedScoringAttempt,goals,captain,team,teamType,bigChanceMissed,penaltyWon,bigChanceCreated
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,923,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,12.0,9.0,,0.0,,,,,,90.0,24.0,7.8,5.0,"{'original': 7.8, 'alternative': None}",,1.0,5.0,,1.0,1.0,1.0,,,,1.0,3.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,1.0,True,Independiente Santa Fe,home,,,
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,42,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,21.0,21.0,3.0,0.0,,,,,,45.0,25.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",3.0,3.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,Independiente Santa Fe,home,,,
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,14.0,11.0,,0.0,2.0,,,,,45.0,27.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,4.0,3.0,,1.0,1.0,,,1.0,,1.0,,1.0,4.0,1.0,,,1.0,,1.0,,,,,Independiente Santa Fe,home,,,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,True,10.0,6.0,2.0,0.0,1.0,,,,,28.0,15.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,2.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,Independiente Santa Fe,home,,,
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800,,,Marlon Balanta,,34,True,6.0,5.0,,0.0,,,,,,17.0,6.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,23,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",,Jhon Meléndez,,5,True,6.0,3.0,,0.0,,,,,,12.0,10.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,2.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,Independiente Santa Fe,home,,,
Jhoyler Andrades,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000,,,Jhoyler Andrades,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
David Ramírez,david-ramirez,D. Ramírez,D,4,190.0,35,1117012,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010016000,"{'value': 315000, 'currency': 'EUR'}",,David Ramírez,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
David Ospina,david-ospina,D. Ospina,G,1,183.0,5724,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",,,1,False,33.0,24.0,20.0,0.0,1.0,1.0,1.0,,,90.0,42.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",11.0,,,,,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,away,,,
Andrés Román,andres-roman,A. Román,D,6,183.0,385,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",,,6,False,3.0,3.0,,0.0,,,,,,15.0,6.0,6.6,,"{'original': 6.6, 'alternative': None}",,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,
