name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialLost,duelLost,savedShotsFromInsideTheBox,penaltySave,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,keyPass,shotOffTarget,outfielderBlock,penaltyConceded,fouls,onTargetScoringAttempt,interceptionWon,totalTackle,accurateCross,goals,wasFouled,blockedScoringAttempt,totalOffside,captain,team,teamType,bigChanceCreated,bigChanceMissed,penaltyMiss
Juan Fernando Quintero,,,juan-quintero,J. F. Quintero,M,8,168.0,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200.0,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",8,True,21.0,15.0,2.0,,0.0,,,,,,31.0,25.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",3.0,,,,,,,,,,,,,1.0,,,,,,,,,América de Cali,home,,,
Rafael Carrascal,,,rafael-carrascal,R. Carrascal,M,15,173.0,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000.0,"{'value': 325000, 'currency': 'EUR'}",,15,True,28.0,23.0,3.0,3.0,0.0,,4.0,,,,31.0,35.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,,1.0,1.0,,,,,,,2.0,,,1.0,,,,,,,América de Cali,home,,,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",,11,True,9.0,6.0,2.0,1.0,0.0,,,,,,28.0,14.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,,,,,,,,,1.0,,,,,,América de Cali,home,,,
Rodrigo Holgado,,,rodrigo-holgado,R. Holgado,F,22,179.0,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600.0,"{'value': 775000, 'currency': 'EUR'}",,22,True,10.0,9.0,,,0.0,,,,,,17.0,12.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,2.0,3.0,,,,,,,,,,,,,,,,1.0,,1.0,,América de Cali,home,,,
Jorge Soto,,,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Cristian Tovar,,,cristian-tovar,C. Tovar,D,6,182.0,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800.0,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Luis Alejandro Paz,,,luis-alejandro-paz,L. A. Paz,M,19,175.0,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000.0,"{'value': 47000, 'currency': 'EUR'}",,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Jordan García,Jordan García,,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",,12,False,45.0,26.0,18.0,2.0,0.0,,,4.0,,6.0,90.0,59.0,7.2,19.0,"{'original': 7.2, 'alternative': None}",,,,,,,,2.0,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
Sebastian Ramirez,,,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,,21,False,40.0,29.0,8.0,2.0,0.0,,1.0,,,,90.0,61.0,7.5,18.0,"{'original': 7.5, 'alternative': None}",,1.0,4.0,,,2.0,1.0,3.0,2.0,,1.0,,,,4.0,1.0,,,1.0,,,,Fortaleza CEIF,away,1.0,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",,13,False,65.0,51.0,5.0,1.0,0.0,3.0,4.0,,,,90.0,75.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",,3.0,5.0,,,,,4.0,,,,,1.0,,,2.0,,,,1.0,,True,Fortaleza CEIF,away,,,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",,18,False,37.0,31.0,3.0,2.0,0.0,,,,,,90.0,53.0,7.0,9.0,"{'original': 7, 'alternative': None}",,1.0,7.0,,,1.0,1.0,2.0,,,1.0,,,,,1.0,,,4.0,,,,Fortaleza CEIF,away,,,
