name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,outfielderBlock,interceptionWon,wasFouled,fouls,onTargetScoringAttempt,goals,aerialLost,dispossessed,shotOffTarget,totalTackle,keyPass,accurateCross,blockedScoringAttempt,bigChanceCreated,bigChanceMissed,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,saves
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,39,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,18,True,20.0,18.0,1.0,1.0,0.0,,45.0,26.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,4.0,3.0,1.0,1.0,,,2.0,2.0,,,,,1.0,,,,1.0,,,2.0,,Deportes Tolima,home,,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,24,True,6.0,6.0,,,0.0,,19.0,7.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,Deportes Tolima,home,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,6,True,12.0,11.0,1.0,,0.0,,9.0,14.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,Deportes Tolima,home,,
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,87,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,7,True,5.0,5.0,,,0.0,,9.0,8.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,Deportes Tolima,home,,
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800,"{'value': 235000, 'currency': 'EUR'}",,19,True,3.0,3.0,,,0.0,,9.0,3.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,23,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Diego Martínez,,,diego-martinez,D. Martínez,G,1,180.0,8,819196,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,628300800,"{'value': 210000, 'currency': 'EUR'}",,1,False,22.0,18.0,6.0,2.0,0.0,,90.0,28.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,,1.0,,,,,1.0,,,,,,,,,,,,,,True,Deportivo Pasto,away,1.0,2.0
Juan Franco,Juan Franco,,juan-franco,J. Franco,D,15,178.0,27,1102277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1009929600,"{'value': 165000, 'currency': 'EUR'}",,15,False,38.0,28.0,5.0,1.0,0.0,,90.0,57.0,6.3,19.0,"{'original': 6.3, 'alternative': None}",1.0,,4.0,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,2.0,,Deportivo Pasto,away,,
Andrés Alarcón,Andrés Alarcón,,andres-alarcon,A. Alarcón,D,24,192.0,45,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,,24,False,43.0,37.0,8.0,4.0,0.0,4.0,90.0,50.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,2.0,5.0,2.0,,,3.0,,,2.0,,,3.0,,,,,,,,,,,Deportivo Pasto,away,,
Joyce Ossa,Joyce Ossa,,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",,23,False,41.0,36.0,4.0,,0.0,7.0,90.0,51.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,1.0,4.0,2.0,,,,,,1.0,,,3.0,,,1.0,,,,,,,,Deportivo Pasto,away,,
Edwin Velasco,,,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200,"{'value': 265000, 'currency': 'EUR'}",,21,False,31.0,26.0,5.0,3.0,0.0,3.0,90.0,53.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",,,3.0,3.0,1.0,,,1.0,3.0,,,,,2.0,1.0,,1.0,,,,,,,Deportivo Pasto,away,,
Johan Caicedo,Johan Caicedo,,johan-caicedo,J. Caicedo,M,6,,52,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",,6,False,26.0,22.0,4.0,3.0,0.0,1.0,90.0,40.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,1.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,,,1.0,1.0,2.0,1.0,,,1.0,,,,,Deportivo Pasto,away,,
Gustavo Charrupi,,,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,8,False,27.0,22.0,2.0,2.0,0.0,1.0,90.0,39.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",1.0,,8.0,4.0,,,,,1.0,3.0,,,,4.0,,3.0,,,,,,1.0,,Deportivo Pasto,away,,
Gustavo Torres,,,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,9,False,18.0,15.0,,,0.0,1.0,87.0,29.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,3.0,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,Deportivo Pasto,away,,
