name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,interceptionWon,keyPass,aerialWon,duelWon,totalTackle,wasFouled,fouls,dispossessed,shotOffTarget,onTargetScoringAttempt,totalContest,wonContest,blockedScoringAttempt,captain,team,teamType,goodHighClaim,punches,outfielderBlock,totalOffside
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,33.0,27.0,7.0,4.0,0.0,,,,,,30.0,35.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,,4.0,1.0,,,,,,,2.0,1.0,,,,,,,Independiente Medellín,home,,,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,19,True,4.0,1.0,1.0,1.0,0.0,,,,,,29.0,7.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,,,,1.0,1.0,,,,,1.0,,,,,,Independiente Medellín,home,,,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,True,7.0,5.0,1.0,1.0,0.0,,,,,,14.0,8.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,1.0,,,,,,Independiente Medellín,home,,,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,True,7.0,5.0,1.0,1.0,0.0,,,,,,14.0,13.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",3.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,Independiente Medellín,home,,,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Wuilker Faríñez,,,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",1,False,26.0,6.0,24.0,4.0,0.0,1.0,2.0,4.0,,,90.0,36.0,7.3,21.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,1.0,,1.0,,,,,,,,,Rionegro Águilas Doradas,away,1.0,1.0,,
Jaen Pineda,,,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,16,False,21.0,10.0,6.0,1.0,0.0,7.0,,,,,90.0,45.0,7.3,15.0,"{'original': 7.3, 'alternative': None}",,,,,,1.0,,,3.0,2.0,,,,1.0,,1.0,1.0,,,Rionegro Águilas Doradas,away,,,,
Sebastián Rodríguez,,,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,2,False,10.0,7.0,3.0,2.0,0.0,17.0,,,,,90.0,29.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,,1.0,1.0,,,,2.0,3.0,1.0,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Diego Hernández,,,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,5,False,12.0,10.0,4.0,3.0,0.0,5.0,,,,,90.0,19.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,2.0,4.0,,,,1.0,2.0,,1.0,3.0,,,,,,,,Rionegro Águilas Doradas,away,,,1.0,
Javier Alexander Mena,,,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,32,False,11.0,5.0,3.0,,0.0,11.0,,,,,90.0,36.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,,1.0,1.0,,,,3.0,8.0,3.0,,1.0,,,,2.0,2.0,,,Rionegro Águilas Doradas,away,,,1.0,
Fredy Salazar,,,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,20,False,15.0,10.0,1.0,,0.0,1.0,,,,,71.0,31.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",5.0,2.0,1.0,6.0,2.0,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,Rionegro Águilas Doradas,away,,,,
Harrinson Mancilla,,,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,27,False,13.0,9.0,2.0,1.0,0.0,2.0,,,,,90.0,21.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,,,4.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,Rionegro Águilas Doradas,away,,,,
Guillermo Celis,,,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,28,False,16.0,11.0,6.0,3.0,0.0,4.0,,,,,90.0,29.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,3.0,1.0,1.0,,,6.0,2.0,4.0,1.0,,,,,,,True,Rionegro Águilas Doradas,away,,,,
Johan Caballero,,,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,23,False,24.0,20.0,6.0,3.0,0.0,4.0,,,,,89.0,39.0,7.0,9.0,"{'original': 7, 'alternative': None}",1.0,,,3.0,2.0,,1.0,2.0,5.0,1.0,1.0,1.0,,,,1.0,1.0,,,Rionegro Águilas Doradas,away,,,,
Yony González,,,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,11,False,13.0,11.0,,,0.0,2.0,,,,,80.0,24.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,4.0,,1.0,,1.0,2.0,,,,2.0,,,2.0,1.0,,,Rionegro Águilas Doradas,away,,,,
Wilson Morelo,,,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600,"{'value': 53000, 'currency': 'EUR'}",,19,False,11.0,8.0,2.0,2.0,0.0,,,,,,89.0,22.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,1.0,4.0,,,,1.0,3.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,,Rionegro Águilas Doradas,away,,,,1.0
Royner Benitez,Royner Benitez,,benitez-royner,R. Benitez,M,90,173.0,75,1466673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119312000,"{'value': 53000, 'currency': 'EUR'}",,90,True,3.0,2.0,,,0.0,1.0,,,,,19.0,8.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,Rionegro Águilas Doradas,away,,,,
Antony Vásquez,Antony Vásquez,,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,,9,True,2.0,1.0,,,0.0,1.0,,,,,10.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,,1.0,2.0,1.0,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Jhojan Escobar,Jhojan Escobar,,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,6,True,,,,,0.0,,,,,,8.0,2.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Tomás Salazar,,,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,8,True,1.0,1.0,,,0.0,,,,,,8.0,2.0,6.3,1.0,"{'original': 6.3, 'alternative': None}",,,,2.0,,,,,,,,1.0,,,,1.0,,,,Rionegro Águilas Doradas,away,,,,
Sebastián Guerra,,,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Nicolás Lara,Nicolás Lara,,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Juan Ávalo,Juan Ávalo,,juan-avalo,J. Ávalo,M,24,178.0,2,1173947,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1001808000,,,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
