name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,totalTackle,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,fouls,keyPass,aerialWon,blockedScoringAttempt,outfielderBlock,totalCross,accurateCross,onTargetScoringAttempt,interceptionWon,challengeLost,totalContest,aerialLost,dispossessed,shotOffTarget,wonContest,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,bigChanceCreated,goals
Orles Aragón,,,orles-aragon,O. Aragón,F,11,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400.0,"{'value': 190000, 'currency': 'EUR'}",180.0,11,True,16.0,13.0,,,0.0,5.0,,2.0,2.0,,,,45.0,28.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",2.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,Unión Magdalena,home,,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",179.0,20,True,10.0,8.0,2.0,,0.0,,,,,,,,18.0,12.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,1.0,,,,,,,,,,,,,Unión Magdalena,home,,,,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,3,2040668,{},EUR,1073952000.0,,,9,True,4.0,4.0,,,0.0,2.0,,1.0,1.0,,,,18.0,8.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",3.0,2.0,2.0,,,,,,,,,,1.0,,,,,,Unión Magdalena,home,,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",180.0,17,True,7.0,6.0,1.0,1.0,0.0,1.0,,,1.0,,,,18.0,12.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",,,2.0,,,,2.0,1.0,,,,,,,2.0,,,,Unión Magdalena,home,,,,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",,28,True,9.0,8.0,1.0,1.0,0.0,,1.0,,,,,,12.0,14.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",2.0,,1.0,,,,3.0,1.0,,,,1.0,1.0,,,,,,Unión Magdalena,home,,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",185.0,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Andrés Mehring,,,andres-mehring,A. Mehring,G,,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600.0,"{'value': 275000, 'currency': 'EUR'}",191.0,12,False,18.0,6.0,11.0,,0.0,,1.0,,,2.0,2.0,1.0,90.0,29.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,2.0,,
Jordy Monroy,,,jordy-ararat,J. Monroy,D,17,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200.0,"{'value': 480000, 'currency': 'EUR'}",185.0,17,False,25.0,20.0,6.0,2.0,0.0,4.0,5.0,2.0,,,,,90.0,40.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,,,Independiente Santa Fe,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,,
Emanuel Olivera,,,emanuel-olivera,E. Olivera,D,18,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400.0,"{'value': 470000, 'currency': 'EUR'}",180.0,18,False,39.0,32.0,12.0,5.0,0.0,1.0,1.0,1.0,,,,,90.0,47.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",5.0,3.0,,,,1.0,,,,,,,1.0,1.0,,,,,Independiente Santa Fe,away,,,,
