name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,aerialLost,totalContest,wonContest,shotOffTarget,outfielderBlock,interceptionWon,dispossessed,totalOffside,hitWoodwork,blockedScoringAttempt,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189.0,117,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000.0,"{'value': 390000, 'currency': 'EUR'}",,16,True,17.0,11.0,6.0,3.0,0.0,,45.0,19.0,6.7,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,1.0,,,1.0,6.0,2.0,,,,,,1.0,,,,,,,Deportivo Cali,home,,
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200.0,"{'value': 195000, 'currency': 'EUR'}",,8,True,35.0,27.0,5.0,4.0,0.0,,45.0,47.0,7.1,"{'original': 7.1, 'alternative': None}",5.0,2.0,,2.0,1.0,,,,,1.0,1.0,13.0,,,1.0,,1.0,,,,,,,,,Deportivo Cali,home,,
Juan Camilo Cantillo,Juan Camilo Cantillo,,juan-camilo-cantillo,J. C. Cantillo,F,18,175.0,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000.0,"{'value': 105000, 'currency': 'EUR'}",,18,True,3.0,1.0,,,0.0,,30.0,4.0,6.6,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,Deportivo Cali,home,,
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,44,True,5.0,3.0,3.0,2.0,0.0,,18.0,10.0,6.8,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,3.0,,,,2.0,,,2.0,,1.0,,,,,1.0,,,,,,,Deportivo Cali,home,,
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",,30,True,4.0,1.0,1.0,,0.0,,13.0,5.0,6.5,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,Deportivo Cali,home,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,12,False,19.0,11.0,13.0,5.0,0.0,5.0,90.0,32.0,7.4,"{'original': 7.4, 'alternative': None}",,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,Envigado FC,away,1.0,4.0
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",,27,False,19.0,13.0,3.0,1.0,0.0,,90.0,41.0,6.6,"{'original': 6.6, 'alternative': None}",,,,5.0,3.0,1.0,,4.0,1.0,2.0,3.0,12.0,1.0,,1.0,,1.0,,2.0,1.0,,,,,,Envigado FC,away,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",,2,False,18.0,10.0,6.0,,0.0,,90.0,24.0,6.6,"{'original': 6.6, 'alternative': None}",,,1.0,3.0,2.0,1.0,,3.0,1.0,,1.0,8.0,,1.0,,,,2.0,,,,,,,,Envigado FC,away,,
