name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,fouls,bigChanceMissed,shotOffTarget,totalClearance,aerialLost,onTargetScoringAttempt,challengeLost,blockedScoringAttempt,wasFouled,bigChanceCreated,goals,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,outfielderBlock,penaltyConceded
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,43.0,34.0,4.0,2.0,1.0,,,,87.0,56.0,7.6,14.0,3.0,"{'original': 7.6, 'alternative': None}",4.0,1.0,,5.0,3.0,,4.0,2.0,,1.0,2.0,,1.0,,1.0,,,1.0,,1.0,,,,Independiente Santa Fe,home,,,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,True,13.0,11.0,,,0.0,,,,45.0,16.0,6.4,2.0,,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,Independiente Santa Fe,home,,,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,True,15.0,11.0,2.0,1.0,0.0,,,,45.0,25.0,7.2,8.0,1.0,"{'original': 7.2, 'alternative': None}",5.0,2.0,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,Independiente Santa Fe,home,,,,
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,7.0,6.0,1.0,,0.0,,,,33.0,13.0,6.6,3.0,,"{'original': 6.6, 'alternative': None}",2.0,,1.0,1.0,1.0,,,,,,,,,2.0,1.0,,,,,,,1.0,,Independiente Santa Fe,home,,,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,True,6.0,3.0,,,0.0,,,,20.0,8.0,7.3,3.0,,"{'original': 7.3, 'alternative': None}",,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,Independiente Santa Fe,home,,,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,2.0,1.0,,,0.0,,,,9.0,2.0,6.5,1.0,,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,,1.0,,,,,,,,,,,,,Independiente Santa Fe,home,,,,
Jhoyler Andrades,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000,,,Jhoyler Andrades,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,,
Kevin Chaverra,kevin-chaverra,K. Chaverra,F,13,,6,2148204,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181174400,,,Kevin Chaverra,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,False,26.0,9.0,20.0,3.0,0.0,,,,90.0,33.0,6.5,18.0,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,2.0,3.0,,
Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200,"{'value': 190000, 'currency': 'EUR'}",,Yeferson Moreno,,15,False,19.0,15.0,4.0,2.0,0.0,,,,86.0,38.0,6.2,12.0,,"{'original': 6.2, 'alternative': None}",1.0,,1.0,3.0,2.0,1.0,,,1.0,,,,,4.0,,,2.0,,1.0,,,,,Junior Barranquilla,away,,,,
