name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,outfielderBlock,fouls,shotOffTarget,blockedScoringAttempt,totalTackle,wasFouled,accurateCross,dispossessed,bigChanceCreated,keyPass,challengeLost,interceptionWon,onTargetScoringAttempt,goals,totalOffside,hitWoodwork,captain,team,teamType,punches,bigChanceMissed
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,True,49.0,45.0,2.0,2.0,0.0,,,,,82.0,59.0,7.6,9.0,"{'original': 7.6, 'alternative': None}",5.0,1.0,1.0,3.0,3.0,2.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,Independiente Medellín,home,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,13.0,12.0,,,0.0,,,,,20.0,16.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,Independiente Medellín,home,,
Mender García,,,mender-garcia,M. García,F,8,180,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,8,True,6.0,5.0,,,0.0,,,,,20.0,13.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,3.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,Independiente Medellín,home,,
Juan Arizala,,,arizala-juan,J. Arizala,D,71,183,488,1476922,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1128902400,"{'value': 380000, 'currency': 'EUR'}",,71,True,1.0,1.0,,,0.0,,,,,12.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,Independiente Medellín,home,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,True,1.0,1.0,,,0.0,,,,,12.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 160000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
James Aguirre,,,james-aguirre,J. Aguirre,G,12,181,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,12,False,33.0,17.0,25.0,10.0,0.0,1.0,1.0,,3.0,90.0,45.0,6.7,17.0,"{'original': 6.7, 'alternative': None}",,,2.0,1.0,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,Once Caldas,away,1.0,
Juan David Cuesta,Juan David Cuesta,,juan-david-cuesta,J. D. Cuesta,D,22,174,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",,22,False,37.0,30.0,5.0,2.0,0.0,3.0,,,,90.0,60.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",1.0,,,4.0,2.0,1.0,,,1.0,1.0,,,2.0,,1.0,,,1.0,1.0,,,,,,Once Caldas,away,,
Jorge Cardona,,,cardona-jorge,J. Cardona,D,34,184,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",34,False,32.0,28.0,7.0,4.0,0.0,7.0,,,,90.0,45.0,7.0,4.0,"{'original': 7, 'alternative': None}",,2.0,,2.0,1.0,,,2.0,,,,1.0,,,,,,,1.0,,,,,,Once Caldas,away,,
Jaider Riquett,,,jaider-riquett,J. Riquett,D,18,184,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600,"{'value': 215000, 'currency': 'EUR'}",,18,False,22.0,20.0,2.0,1.0,0.0,3.0,,,,90.0,30.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,Once Caldas,away,,
