"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","asistencias_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png.x","archivo_png.y","archivo_png"
"A. Mosquera","Santa Fe","Santa Fe","GK",33,750000,"2026-12-31",28,2821,0,0,0,0,0.54,88.24,"Colombia","Colombia","derecho",186,78,"no",1.12,0.1,66.67,0.32,100,0,0,0,1.05,1.47,0.03,4,0.13,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.1,66.67,0,0,0,6.86,0.13,0.1,13.43,79.81,7.82,66.53,0,0,5.14,98.14,8.39,97.72,5.04,50,33.61,53.38,0,0,0,0,0,0,0,1.91,50,0.16,20,0.19,33.33,0.03,0,3.35,71.43,23,0.73,114,3.64,11,79.82,29.22,0.93,6.22,0.198,0,1.6,NA,NA,NA,0,0,0,"Colombia","STF","COL_STF","Arqueros",NA,NA,NA
"D. Londoño","Medellín","Medellín","LCB",30,450000,NA,29,2796,1,1.31,0,1.06,11.88,65.85,"Colombia","Colombia","izquierdo",185,82,"no",7.24,4.67,75.86,2.29,74.65,0.19,0.33,0.29,3.51,5.92,0.45,8,0.26,1,0.03,1.19,0.03,1,0.03,0.04,0,0,44,1.42,22.73,2.273,0.9,32.14,0.8,36,0.06,0,0.19,0.71,68.18,3.09,46.88,0.58,2.19,0.16,32.99,0.64,0.84,47.38,86.35,21.28,79.27,3.64,93.81,14.68,91.67,40.3,93.05,6.28,50.26,20.26,39.89,0.03,0.35,0.03,0,0.19,50,0.26,8.72,75.28,1.77,41.82,1,38.71,0.55,0.29,9.11,79.15,0,NA,0,NA,0,0,0,0,NA,NA,0.93,NA,0.35,0.26,25,0.03,0,0,"Colombia","MDL","COL_MDL","Defensas",NA,NA,NA
"V. Moreno","Santa Fe","Santa Fe","LCB",30,5e+05,NA,27,2664,1,0.93,2,0,10.03,59.26,"Colombia","Colombia","derecho",184,78,"no",6.69,4.29,72.44,3.28,51.55,0.2,0.28,0.3,3.38,4.67,0.78,8,0.27,0,0,0.03,0.03,1,0.03,0.03,1,0.03,8,0.27,12.5,12.5,0.03,0,0.03,0,0,0,0,0.1,0,0.61,27.78,0.41,0.37,0.07,18.95,0.24,0.2,28.89,88.54,12.3,78.57,1.49,97.73,13.24,95.92,25.07,92.32,3.78,64.29,21.92,33.81,0,0,0,0,0,0,0.03,2.06,62.3,0.14,0,0.24,71.43,0.17,0,5.3,65.61,0,NA,0,NA,0,0,0,0,NA,NA,1.22,NA,0,0,0,0,0,0,"Colombia","STF","COL_STF","Defensas",NA,NA,NA
"W. Aguerre","Medellín","Medellín","GK",32,8e+05,NA,26,2615,0,0,0,0,0.76,72.73,"Uruguay","Uruguay","derecho",188,85,"no",1.38,0.14,75,0.31,88.89,0.03,0.06,0,1.24,2.14,0.03,8,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.24,57.14,0,0,0,5.85,0.17,0.21,12.42,83.38,8.4,76.23,0,0,3.68,98.13,7.4,98.14,4.99,62.07,36.51,51.91,0,0,0,0,0,0,0,1.86,57.41,0.07,0,0.1,0,0,0,3.58,80.77,20,0.69,90,3.1,12,77.78,18.24,0.63,-1.76,-0.061,0,0.89,NA,NA,NA,0,0,0,"Colombia","MDL","COL_MDL","Arqueros",NA,NA,NA
"J. Guerrero","Junior","Junior","RB",24,0,NA,28,2538,1,0.4,2,1.9,19.57,52.54,"Colombia","Colombia",NA,170,0,"no",8.33,7.7,58.99,1.35,50,0.25,0.37,0.18,3.55,5.34,0.96,5,0.18,0,0,3.01,0.04,1,0.04,0.01,0,0,14,0.5,28.57,7.143,2.45,23.19,0.57,12.5,1.88,26.42,0.46,3.62,60.78,8.69,48.16,1.1,2.94,0.5,23.87,1.91,1.28,33.79,79.54,11.63,70.43,7.16,93.56,8.94,79.37,28.76,86.19,2.77,61.54,17.28,33.22,0.07,0.64,0,0,0.18,60,0.39,3.51,67.68,2.38,31.34,0.39,45.45,0.46,0.6,5.28,67.11,0,NA,0,NA,0,0,0,0,NA,NA,0.57,NA,0,0,0,0.04,0,0,"Colombia","JNR","COL_JNR","Defensas",NA,NA,NA
"C. Mafla","Santa Fe","Santa Fe","LB",32,250000,NA,28,2529,1,1.68,0,1.01,9.89,52.16,"Colombia","Colombia","izquierdo",175,70,"no",5.98,4.13,55.17,1.89,58.49,0.21,0.3,0.25,3.49,4.89,0.82,6,0.21,0,0,0.75,0.04,1,0.04,0.06,0,0,13,0.46,30.77,7.692,1.35,23.68,1.35,23.68,0,0,0.18,0.53,53.33,2.67,46.67,0.89,0.64,0.07,12.38,0.71,0.82,19,72.28,8.26,62.5,3.24,93.41,4.59,71.32,15.05,82.03,2.7,42.11,20.65,36.94,0.04,0.46,0,0,0,0,0.14,2.85,60,1.28,19.44,0.07,0,0.28,0.25,4.16,58.97,0,NA,0,NA,0,0,0,0,NA,NA,0.43,NA,0.07,0,0,0.11,0,0,"Colombia","STF","COL_STF","Defensas",NA,NA,NA
"W. Tesillo","Atlético Nacional","Atlético Nacional","LCB",35,550000,NA,26,2475,0,1.99,0,0.51,9.96,62.04,"Colombia","Colombia","izquierdo",184,78,"no",7.49,4.11,67.26,2.47,67.65,0.04,0.06,0.55,4.69,8.34,0.62,5,0.18,1,0.04,0.8,0,0,0,0.07,0,0,20,0.73,50,0,0.58,50,0.55,46.67,0,0,0.11,0.25,57.14,1.89,42.31,0.62,1.02,0,39.75,0.84,0.29,54.33,89.36,27.42,84.88,3.38,98.92,18.55,94.51,44.98,95.07,8.8,62.4,21.35,37.96,0.02,0.33,0,0,0,0,0.18,8.73,76.67,1.35,54.05,0.76,23.81,0.51,0.29,12.62,83.86,0,NA,0,NA,0,0,0,0,NA,NA,2.36,NA,0,0,0,0,0,0,"Colombia","NAC","COL_NAC","Defensas",NA,NA,NA
"J. Báez","Junior","Junior","RCB",35,4e+05,NA,25,2466,1,2.32,1,0.11,9.01,63.97,"Paraguay","Paraguay, Argentina","derecho",180,77,"no",6.93,3.18,70.11,2.26,54.84,0.11,0.17,0.62,4.6,6.99,0.51,5,0.18,1,0.04,0.29,0.04,1,0.04,0.08,0,0,11,0.4,45.45,9.091,0.29,12.5,0.11,0,0.15,25,0.04,0.11,66.67,0.69,52.63,0.55,0.33,0,23.98,0.77,0.51,36.75,85.8,18.8,79.81,1.64,97.78,14.05,93.25,29.05,92.71,7.41,61.58,24.91,41.31,0,0.11,0,0.04,0,0,0.04,4.74,63.85,0.55,20,0.4,18.18,0.11,0.07,9.64,77.65,0,NA,0,NA,0,0,0,0,NA,NA,1.28,NA,0.04,0.04,0,0,1,0,"Colombia","JNR","COL_JNR","Defensas",NA,NA,NA
"D. Banguero","Millonarios","Millonarios","LB",35,350000,"2025-12-31",25,2464,0,0.34,2,0.77,13.95,58.12,"Colombia","Colombia","izquierdo",185,85,"no",9.24,6.83,65.78,2.92,63.75,0.58,0.9,0.11,4.16,6.42,1.1,5,0.18,1,0.04,1.39,0,0,0,0.01,0,0,15,0.55,0,0,1.79,38.78,1.79,38.78,0,0,0.11,1.02,57.14,3,41.46,0.66,1.5,0.07,34.7,1.1,0.22,47.85,81.37,23.96,77.13,4.42,93.39,12.49,85.09,40.58,86.95,5.52,54.3,18.88,35.16,0.03,0.47,0,0,0.15,75,0.26,9.86,72.59,3.36,42.39,0.84,34.78,0.77,0.73,13.41,77.93,0,NA,0,NA,0,0,0,0,NA,NA,1.1,NA,0.11,0.07,0,0,0,0,"Colombia","MIL","COL_MIL","Defensas",NA,NA,NA
"H. Rodallega","Santa Fe","Santa Fe","CF",40,150000,"2025-12-31",25,2434,11,13.64,2,1.55,15.42,34.29,"Colombia","Colombia","derecho",181,75,"no",2.26,1.29,57.14,5.84,37.97,0,0,0.11,1.52,2.18,0.67,6,0.22,0,0,1.59,0.41,7,0.26,0.5,0,0,90,3.33,33.33,12.222,0.26,0,0.04,0,0.18,0,0,1.18,37.5,4.73,27.34,3.07,0.52,0.04,11.54,1.66,0.74,15.16,71.95,4.7,63.78,2.7,89.04,4.77,72.87,14.09,74.8,0.81,45.45,16.77,16.13,0.06,0.55,0.07,0,0.18,20,0.37,2.59,60,1.52,51.22,0.37,30,0.92,0.04,1.92,80.77,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.3,0.26,28.57,0,4,100,"Colombia","STF","COL_STF","Delanteros",NA,NA,NA
"D. Moreno","Once Caldas","Once Caldas","CF",39,2e+05,"2025-12-31",27,2416,12,10.45,2,1.8,5.29,40.85,"Colombia","Colombia","derecho",178,83,"no",1.56,1.04,64.29,0.75,10,0.04,0.05,0.04,0.86,1.18,0.11,6,0.22,0,0,1.6,0.45,8,0.3,0.39,2,0.07,75,2.79,37.33,16,0.67,33.33,0.22,0,0.45,50,0.11,0.48,61.54,2.46,36.36,2.64,0.86,0.22,14.64,1.86,0.41,18.59,78.76,4.92,68.94,3.69,93.94,6.59,76.27,15.68,83.37,2.27,59.02,18,28.32,0.07,1.01,0.04,0,0.11,33.33,0.45,2.53,75,1.68,44.44,0.48,30.77,0.97,0.22,2.98,78.75,0,NA,0,NA,0,0,0,0,NA,NA,0.6,NA,0.41,0.41,27.27,0.11,4,100,"Colombia","ONC","COL_ONC","Delanteros",NA,NA,NA
"F. Lozano","Águilas Doradas","Águilas Doradas","DMF",31,450000,NA,24,2407,3,2.42,1,0.99,11.44,54.25,"Colombia","Colombia","derecho",175,69,"no",8,3.74,60,3.4,52.75,0.3,0.42,0.52,5.46,7.75,0.67,3,0.11,0,0,0.71,0.11,2,0.07,0.09,1,0.04,16,0.6,50,18.75,0.3,0,0.19,0,0.07,0,0.07,0.56,66.67,2.65,46.48,0.82,0.64,0,17.65,0.26,0.9,29.99,83.67,13.12,74.93,1.94,98.08,10.47,92.14,26.1,88.25,3.59,57.29,19.26,34.1,0.04,0.34,0,0.04,0.04,100,0.11,5.12,70.07,0.67,22.22,0.22,16.67,0.34,0.04,5.61,74.67,0,NA,0,NA,0,0,0,0,NA,NA,0.45,NA,0,0,0,0.04,1,100,"Colombia","AGD","COL_AGD","Mediocampo_Defensivo",NA,NA,NA
"J. Angulo","Llaneros","Llaneros","RCB",24,0,NA,24,2391,0,0.31,0,0.01,12.27,67.48,"Colombia","Colombia","unknown",0,0,"no",9.52,5.5,79.45,3.01,63.75,0.15,0.21,0.68,5.01,7.07,0.41,2,0.08,0,0,0.23,0,0,0,0.01,0,0,4,0.15,25,0,0.23,16.67,0,0,0.23,16.67,0.04,0.3,50,2.03,50,0.23,0.72,0.04,23.98,0.53,0.49,36.89,83.67,15.85,71.5,2.48,98.48,15.21,94.31,30.9,90.86,5.8,48.05,21.67,36.88,0,0.04,0,0,0.04,0,0.04,3.88,52.43,0.34,11.11,0.19,0,0,0.04,7.15,62.11,0,NA,0,NA,0,0,0,0,NA,NA,1.88,NA,0,0,0,0,0,0,"Colombia","LNR","COL_LNR","Defensas",NA,NA,NA
"C. Fiermarín","Tolima","Tolima","GK",27,1500000,"2027-12-31",24,2389,0,0,0,0,0.41,100,"Uruguay","Uruguay","derecho",189,72,"no",1.66,0.04,100,0.3,100,0,0,0,1.62,2.2,0.04,4,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,9.83,0.26,0.08,17.82,82.66,11.34,76.74,0,0,6.1,93.83,9.42,96.8,8.33,67.42,34.54,46.45,0,0,0,0,0,0,0,1.85,67.35,0.08,50,0.11,66.67,0.04,0,6.89,74.32,18,0.68,77,2.9,11,76.62,17.48,0.66,-0.52,-0.02,0,1.51,NA,NA,NA,0,0,0,"Colombia","TOL","COL_TOL","Arqueros",NA,NA,NA
"Y. Chará","Junior","Junior","RDMF",34,5e+05,"2025-12-31",29,2386,2,2.06,4,3.29,13.05,45.95,"Colombia","Colombia","derecho",168,65,"no",5.13,3.58,66.32,0.75,40,0.23,0.36,0.19,2.53,4,0.57,1,0.04,0,0,1.66,0.08,2,0.08,0.08,0,0,20,0.75,50,10,1.43,36.84,0.53,50,0.91,29.17,0.3,1.36,38.89,6.68,36.16,1.74,1.55,0.38,36.51,1.21,1.43,47.56,88.26,14.03,81.72,7.62,97.03,17.35,91.09,42.28,92.24,3.89,64.08,17.76,33.19,0.12,0.72,0.08,0.04,0.34,66.67,0.3,7.32,81.44,2.45,61.54,1.06,32.14,1.43,0.53,7.39,85.2,0,NA,0,NA,0,0,0,0,NA,NA,0.19,NA,0.23,0,0,0.19,0,0,"Colombia","JNR","COL_JNR","Mediocampo_Defensivo",NA,NA,NA
"A. Rodríguez","Deportivo Cali","Deportivo Cali","GK",24,0,"2027-12-31",24,2378,0,0,0,0,0.64,82.35,"Colombia","Colombia",NA,0,0,"no",0.87,0.19,80,0.3,100,0.04,0.06,0,0.68,1.02,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,33.33,0,0,0,6.89,0.26,0.15,10.63,81.85,5.94,71.97,0,0,4.24,94.64,6.21,98.17,4.43,58.97,33.64,50.54,0,0,0,0,0,0,0,1.36,52.78,0,0,0,0,0,0,3.22,76.47,23,0.87,92,3.48,9,75,23.74,0.9,0.74,0.028,0,1.25,NA,NA,NA,0,0,0,"Colombia","CAL","COL_CAL","Arqueros",NA,NA,NA
"J. Aguirre","Once Caldas","Once Caldas","GK",33,3e+05,"2027-06-30",24,2375,0,0,0,0,0.95,88,"Colombia","Colombia","derecho",180,70,"no",1.78,0.08,100,0.45,100,0.04,0.05,0,1.67,2.32,0,5,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,66.67,0,0,0,10,0.27,0.27,17.28,78.73,11.63,70.03,0,0,5.27,98.56,9.89,95.79,7.28,56.77,38.32,55.36,0,0,0,0,0,0,0,3.64,51.04,0.45,16.67,0.27,28.57,0.08,0,5.46,72.92,28,1.06,111,4.21,7,74.77,28.92,1.1,0.92,0.035,0,1.33,NA,NA,NA,0,0,0,"Colombia","ONC","COL_ONC","Arqueros",NA,NA,NA
"D. Hernández","Águilas Doradas","Águilas Doradas","LCB",25,0,NA,24,2319,0,0.62,0,0.15,11.8,65.13,"Colombia","Colombia","derecho",190,82,"no",9.08,5.05,77.69,3.38,67.82,0.35,0.49,0.7,4.81,6.75,0.7,5,0.19,0,0,0.31,0,0,0,0.02,0,0,7,0.27,28.57,0,0.08,0,0.08,0,0,0,0.04,0.31,75,1.36,45.71,0.47,0.27,0,19.91,0.66,0.23,33.14,84.07,16.26,75.18,1.67,93.02,12.65,95.4,28.18,88.98,4.89,57.14,22.52,39.43,0.01,0.08,0,0,0.04,0,0.04,4.27,60.91,0.47,8.33,0.19,0,0.08,0,7.26,66.31,0,NA,0,NA,0,0,0,0,NA,NA,0.93,NA,0,0,0,0,0,0,"Colombia","AGD","COL_AGD","Defensas",NA,NA,NA
"S. Ichazo","Deportivo Pereira","Deportivo Pereira","GK",33,350000,"2027-12-31",23,2318,0,0,0,0,0.43,63.64,"Uruguay","Uruguay, Italy","izquierdo",187,83,"no",1.44,0.12,100,0.16,75,0,0,0,1.32,1.81,0,4,0.16,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0.12,33.33,0,0,0,6.76,0.19,0.04,12,80.58,7.34,69.84,0,0,4.15,98.13,6.83,98.3,5.16,57.14,35.56,52.08,0,0,0.04,0,0,0,0,1.63,45.24,0.08,50,0.19,20,0.04,0,3.65,72.34,24,0.93,100,3.88,10,76,23.71,0.92,-0.29,-0.011,0,1.01,NA,NA,NA,0,0,0,"Colombia","PER","COL_PER","Arqueros",NA,NA,NA
"O. Fernández","Santa Fe","Santa Fe","LAMF",32,1e+06,"2025-12-31",28,2310,2,2.81,6,3.19,9.78,43.43,"Colombia","Colombia","izquierdo",165,72,"no",4.05,3.12,63.75,0.78,10,0.23,0.33,0.08,1.83,2.62,0.35,3,0.12,0,0,1.95,0.08,2,0.08,0.11,0,0,26,1.01,26.92,7.692,2.18,37.5,1.13,27.59,0.97,48,0.16,1.87,39.58,4.52,37.93,2.03,2.42,0.82,23.73,1.83,0.9,31.44,81.91,8.18,74.29,6.7,94.77,9.66,77.02,27.04,87.32,2.26,58.62,16.88,31.4,0.12,1.75,0,0,0.19,60,0.62,3.19,75.61,3.23,50.6,0.47,33.33,1.32,0.97,5.57,79.72,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.66,0,0,2.22,0,0,"Colombia","STF","COL_STF","Mediocampo_Ofensivo",NA,NA,NA
"L. Pico","Fortaleza","Fortaleza","RCMF",33,250000,NA,24,2290,0,0.35,1,0.71,9.08,60.17,"Colombia","Colombia","derecho",177,77,"no",5.86,4.83,65.04,0.79,50,0.2,0.3,0.16,2.52,3.89,0.39,2,0.08,0,0,0.35,0,0,0,0.01,0,0,12,0.47,8.33,0,0.08,100,0.04,100,0.04,100,0,0.28,71.43,2.2,58.93,0.12,0.94,0.08,30.14,0.28,0.79,40.36,89.09,12.22,83.28,5.27,94.03,16,94.1,38.4,90.48,1.89,60.42,17.33,31.39,0.03,0.35,0.04,0,0.04,100,0.04,5.93,78.81,0.71,44.44,0.08,50,0.24,0.08,5.54,76.6,0,NA,0,NA,0,0,0,0,NA,NA,0.67,NA,0,0,0,0,0,0,"Colombia","FOZ","COL_FOZ","Mediocampo",NA,NA,NA
"J. Nieto","Tolima","Tolima","RDMF",32,5e+05,NA,27,2278,3,2.26,3,2.05,10.43,49.62,"Colombia","Colombia","derecho",177,75,"no",5.49,3.75,64.21,0.79,40,0.24,0.34,0.4,2.84,4.04,0.47,1,0.04,0,0,1.26,0.12,3,0.12,0.09,0,0,27,1.07,48.15,11.111,0.87,54.55,0.32,37.5,0.43,63.64,0.04,0.51,38.46,4.54,40,0.95,2.01,0.32,37.02,0.32,1.19,47.69,90.97,14.22,83.06,6.64,97.02,18.73,94.73,43.62,93.57,3.24,65.85,17.54,30.58,0.08,0.83,0.04,0.04,0.12,66.67,0.28,7.31,88.65,1.82,58.7,0.55,57.14,0.95,0.43,6.4,83.33,0,NA,0,NA,0,0,0,0,NA,NA,0.28,NA,0.04,0,0,0,0,0,"Colombia","TOL","COL_TOL","Mediocampo_Defensivo",NA,NA,NA
"Yulian Gomez","La Equidad","La Equidad","LB",27,450000,"2025-12-31",24,2276,0,1.04,0,1.99,11.07,53.57,"Colombia","Colombia","izquierdo",182,72,"no",6.45,4.27,64.81,2.53,56.25,0.2,0.28,0.2,3.48,4.89,0.47,2,0.08,0,0,1.54,0,0,0,0.04,0,0,9,0.36,44.44,0,1.98,26,1.94,24.49,0,0,0.2,1.46,59.46,3.32,45.24,1.11,1.07,0.2,17.95,2.02,0.51,25.62,81.48,7.87,72.36,4.9,95.97,7.08,84.92,22.18,89.13,1.5,39.47,16.81,22.49,0.08,0.47,0,0,0,0,0.08,1.27,81.25,1.23,32.26,0,0,0.28,0.51,3.8,51.04,0,NA,0,NA,0,0,0,0,NA,NA,0.16,NA,0,0,0,0.04,0,0,"Colombia","EQU","COL_EQU","Defensas",NA,NA,NA
"F. Chaverra","Medellín","Medellín","LWB",25,1200000,"2027-06-30",28,2250,5,2.24,3,3.36,14.2,49.3,"Colombia","Colombia","izquierdo",172,64,"no",4.4,3.12,60.26,1.04,57.69,0.08,0.14,0.16,2.44,4.16,0.88,6,0.24,1,0.04,3.28,0.2,5,0.2,0.09,0,0,52,2.08,36.54,9.615,3.92,31.63,3.32,32.53,0.6,26.67,0.52,2.4,53.33,8.52,42.72,1.64,1.68,0.2,25.48,2.16,1.8,33.08,75.7,7.2,58.89,7.28,91.76,12.92,76.16,25.24,87.48,4.32,45.37,21.56,40.65,0.13,1.32,0,0.04,0.08,0,0.4,4,61,4.08,41.18,0.52,15.38,0.68,1.16,5.72,75.52,0,NA,0,NA,0,0,0,0,NA,NA,0.04,NA,0.92,0.32,50,2.6,0,0,"Colombia","MDL","COL_MDL","Defensas",NA,NA,NA
"Y. Súarez","Junior","Junior","LB",28,550000,"2026-12-31",23,2226,4,1.58,2,2.08,10.84,61.57,"Colombia","Colombia","izquierdo",174,68,"si",8.29,6.02,71.14,1.42,54.29,0.12,0.17,0.12,3.88,5.31,0.85,2,0.08,0,0,1.58,0.16,3,0.12,0.06,0,0,20,0.81,40,20,2.59,31.25,2.59,31.25,0,0,0.36,0.61,60,2.14,45.28,0.85,0.81,0,22.76,1.7,0.44,31.7,77.55,13.18,71.17,4.33,94.39,9.74,77.18,24.5,88.61,4.93,45.08,21.24,37.67,0.08,0.85,0.08,0.04,0.08,100,0.57,4.25,64.76,2.47,47.54,0.2,60,0.49,0.77,8.05,68.34,0,NA,0,NA,0,0,0,0,NA,NA,0.28,NA,0.12,0.04,0,0.28,1,100,"Colombia","JNR","COL_JNR","Defensas",NA,NA,NA
"A. Llinás","Millonarios","Millonarios","RCB",28,2200000,"2026-12-31",22,2217,1,1.47,0,0.04,12.5,62.01,"Colombia","Colombia, Spain","derecho",188,73,"no",6.74,5.16,77.17,3.53,50.57,0.24,0.38,0.41,2.52,3.92,0.61,6,0.24,0,0,0.45,0.04,1,0.04,0.06,1,0.04,9,0.37,22.22,11.111,0.08,50,0.04,0,0.04,100,0,0.37,88.89,1.54,55.26,0.65,1.18,0,20.99,0.28,0.53,33.53,89.47,14.53,83.24,1.42,88.57,13.68,95.55,30.24,92.35,3.21,63.29,19.15,32.61,0,0.2,0,0,0,0,0.04,4.02,86.87,0.28,71.43,0.08,100,0.16,0.04,6.25,71.43,0,NA,0,NA,0,0,0,0,NA,NA,0.73,NA,0,0,0,0,0,0,"Colombia","MIL","COL_MIL","Defensas",NA,NA,NA
"J. Rios","Deportivo Pasto","Deportivo Pasto","LCB",27,0,NA,22,2177,1,1.73,0,0.39,10.46,63.64,"Colombia","Colombia","izquierdo",184,75,"no",9.18,4.88,74.58,2.89,54.29,0.08,0.1,0.74,5.46,6.37,0.7,3,0.12,0,0,0.45,0.04,1,0.04,0.07,1,0.04,12,0.5,33.33,8.333,0.41,40,0.41,40,0,0,0.04,0.29,42.86,1.36,45.45,0.45,0.7,0.08,20.13,0.29,0.7,31.83,84.81,16.08,77.38,2.07,92,10.54,93.33,26.17,91.47,5.33,55.04,21.33,39.15,0.02,0.12,0.04,0,0,0,0.04,4.46,65.74,0.33,75,0.29,28.57,0.17,0.17,7.32,72.88,0,NA,0,NA,0,0,0,0,NA,NA,0.83,NA,0,0,0,0,0,0,"Colombia","PAS","COL_PAS","Defensas",NA,NA,NA
"E. Olivera","Santa Fe","Santa Fe","RCB",35,5e+05,NA,23,2176,0,1.07,0,0,10.46,56.92,"Argentina","Argentina","derecho",180,73,"no",7.73,4.38,64.15,3.64,46.59,0.58,0.82,0.58,4.34,6.15,0.87,9,0.37,0,0,0.12,0,0,0,0.04,0,0,11,0.45,18.18,0,0.04,0,0,0,0.04,0,0,0.04,100,0.5,66.67,0.29,0.29,0,20.14,0.08,0.33,32.88,84.15,15.84,73.37,1.12,100,13.81,94.31,26.64,91.61,6.25,52.32,24.53,43.01,0,0,0,0,0,0,0,4.22,50.98,0.5,0,0.5,0,0.04,0,7.49,70.72,0,NA,0,NA,0,0,0,0,NA,NA,0.95,NA,0,0,0,0,0,0,"Colombia","STF","COL_STF","Defensas",NA,NA,NA
"J. García","Alianza","Alianza","RCB",36,2e+05,"2025-12-31",22,2175,1,0.86,1,0.02,9.48,63.76,"Colombia","Colombia","derecho",186,75,"no",6.7,3.23,70.51,4.26,58.25,0.04,0.06,0.74,4.39,6.21,0.33,4,0.17,1,0.04,0.29,0.04,1,0.04,0.04,0,0,11,0.46,36.36,9.091,0.04,100,0,0,0.04,100,0,0.12,66.67,0.83,60,0.54,0.33,0,19.32,0.08,0.58,28.97,88.57,10.39,74.9,2.23,94.44,13.28,96.88,24.99,92.55,3.93,63.16,20.53,35.92,0,0.04,0,0,0,0,0,2.48,58.33,0.12,33.33,0.04,0,0,0.04,4.43,67.29,0,NA,0,NA,0,0,0,0,NA,NA,1.45,NA,0,0,0,0,0,0,"Colombia","ALV","COL_ALV","Defensas","DEFENSAS_ALIANZA_J_GARCÍA.png","DEFENSAS_ALIANZA_J_GARCÍA.png","DEFENSAS_ALIANZA_J_GARCÍA.png"
"J. Cuesta","Once Caldas","Once Caldas","RB",27,450000,"2027-06-30",22,2143,0,0.06,1,2.65,9.58,57.46,"Colombia","Colombia","derecho",174,73,"no",6.93,4.75,66.37,1.68,55,0.17,0.23,0.21,3.61,4.92,0.8,4,0.17,0,0,1.34,0,0,0,0,0,0,7,0.29,0,0,2.86,38.24,0.29,42.86,2.56,37.7,0.34,0.59,42.86,2.44,41.38,0.71,1.39,0.29,26.5,1.97,0.76,37,79.11,14.11,69.94,6.55,97.44,10.25,78.28,30.2,87.34,4.16,46.46,19.1,37.37,0.11,0.71,0,0,0,0,0.34,3.86,64.13,3.07,47.95,0.25,33.33,0.63,1.09,7.98,63.16,0,NA,0,NA,0,0,0,0,NA,NA,0.71,NA,0,0,0,0,0,0,"Colombia","ONC","COL_ONC","Defensas",NA,NA,NA
