"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","asistencias_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png.x","archivo_png.y","archivo_png"
"M. García","Medellín","Medellín","RWB",26,9e+05,NA,22,1463,0,2.63,1,2.48,15.38,42.4,"Colombia","Colombia","derecho",180,66,"no",4.55,3.81,61.29,4,41.54,0,0,0.18,2.21,4.11,0.92,3,0.18,0,0,1.91,0,0,0,0.16,0,0,20,1.23,15,0,2.52,36.59,0.12,0,2.34,36.84,0.25,2.09,38.24,4.92,38.75,3.81,1.29,0,20.36,3.2,0.55,25.65,75.3,6.03,56.12,6.71,90.83,7.57,81.3,21.53,81.71,1.66,48.15,16.63,18.41,0.15,1.17,0.18,0.06,0.06,0,0.49,2.03,63.64,2.4,53.85,0.18,33.33,1.11,0.92,4.12,73.13,0,NA,0,NA,0,0,0,0,NA,NA,0.12,NA,0.06,0.06,0,0.06,0,0,"Colombia","MDL","COL_MDL","Defensas",NA,NA,NA
"A. Gutiérrez","Atlético Bucaramanga","Atlético Bucaramanga","RB",27,450000,NA,16,1449,0,0.06,0,0.58,14.72,45.99,"Colombia","Colombia","derecho",175,70,"no",9.38,8.14,55.73,1.55,44,0.81,1.26,0.31,4.04,6.31,2.24,6,0.37,0,0,1.68,0,0,0,0,0,0,2,0.12,50,0,2.61,42.86,0,0,2.61,42.86,0.37,0.81,61.54,2.73,31.82,0.5,1.06,0,31.24,1.8,0.5,41.99,78.85,17.95,70.24,3.66,96.61,14.66,85.59,33.23,85.42,6.21,59,20.75,40.26,0.04,0.68,0.06,0,0.06,0,0.19,7.27,68.38,3.48,44.64,0.19,0,0.62,0.99,10,75.78,0,NA,0,NA,0,0,0,0,NA,NA,0.31,NA,0,0,0,0,0,0,"Colombia","BUC","COL_BUC","Defensas",NA,NA,NA
"S. Aguilar","Deportivo Pereira","Deportivo Pereira","RCB",27,0,"2026-12-31",15,1442,0,0.2,1,0.05,11.48,62.5,"Colombia","Colombia",NA,0,0,"no",8.3,4.68,74.67,3.74,63.33,0.25,0.34,0.62,4.56,6.15,0.5,2,0.12,0,0,0.37,0,0,0,0.01,0,0,4,0.25,0,0,0.75,41.67,0.19,66.67,0.5,37.5,0.12,0.12,50,0.94,33.33,0.69,0.69,0.06,17.73,0.37,0.25,29.71,78.99,15.42,69.23,1.06,100,10.3,89.09,23.4,86.93,5.62,50,24.32,45.8,0,0.06,0,0,0,0,0.12,5.55,65.17,1.19,31.58,1.06,41.18,0.19,0.31,7.49,71.67,0,NA,0,NA,0,0,0,0,NA,NA,0.81,NA,0,0,0,0,0,0,"Colombia","PER","COL_PER","Defensas",NA,NA,NA
"K. Londoño","Atlético Bucaramanga","Atlético Bucaramanga","LAMF",31,450000,NA,20,1437,1,3.46,3,2.81,11.96,42.41,"Colombia","Colombia","derecho",180,72,"no",3.32,2.94,57.45,2.63,42.86,0,0,0.06,1.63,2.63,0.56,2,0.13,0,0,2.63,0.06,1,0.06,0.22,0,0,21,1.32,47.62,4.762,3.19,39.22,0.44,28.57,2.76,40.91,0.38,1.32,52.38,4.57,35.62,2.88,0.69,0,24.11,2.32,0.5,29.5,77.92,6.14,65.31,8.27,95.45,8.77,70.71,25.24,85.11,1.38,31.82,15.74,21.35,0.18,1.06,0,0,0.13,50,0.38,3.07,67.35,2.69,41.86,0.25,0,0.56,1.19,3.7,72.88,0,NA,0,NA,0,0,0,0,NA,NA,0.13,NA,0.38,0,0,1.13,0,0,"Colombia","BUC","COL_BUC","Mediocampo_Ofensivo",NA,NA,NA
"E. Cardona","Atlético Nacional","Atlético Nacional","AMF",32,8e+05,NA,20,1427,9,4.68,6,6.51,13.06,39.13,"Colombia","Colombia","derecho",185,88,"no",3.28,3.03,52.08,0.69,45.45,0.13,0.22,0.06,1.58,2.75,0.88,6,0.38,0,0,3.91,0.57,5,0.32,0.29,0,0,50,3.15,46,18,2.14,41.18,0.95,46.67,1.14,33.33,0.32,2.21,48.57,8.14,34.88,0.76,1.77,0.13,37.15,1.45,1.39,44.34,81.22,17.15,73.9,6.12,90.72,15.14,86.25,33.62,87.24,8.83,67.14,22.13,38.42,0.41,2.96,0.25,0,0.63,80,1.07,11.67,80,5.17,59.76,1.58,52,2.08,0.76,10.78,88.89,0,NA,0,NA,0,0,0,0,NA,NA,0.57,NA,2.33,0.82,38.46,4.54,4,100,"Colombia","NAC","COL_NAC","Mediocampo_Ofensivo",NA,NA,NA
"M. Torres","Tolima","Tolima","RCB",29,650000,NA,16,1423,0,0.26,0,0.65,9.23,60.27,"Colombia","Colombia","derecho",180,74,"no",5.5,3.54,69.64,2.34,51.35,0,0,0.82,3.04,3.92,0.63,5,0.32,0,0,0.25,0,0,0,0.02,0,0,3,0.19,0,0,0.06,100,0,0,0.06,100,0,0.32,60,1.52,50,0.32,0.95,0,21.63,0.19,0.51,34.47,87.71,17.39,78.91,2.4,100,11.26,96.63,30.48,91.49,3.92,58.06,19.71,28.99,0.04,0.19,0.06,0.06,0,0,0.06,4.74,84,0.32,60,0.19,33.33,0.19,0.06,6.64,73.33,0,NA,0,NA,0,0,0,0,NA,NA,1.9,NA,0,0,0,0,0,0,"Colombia","TOL","COL_TOL","Defensas",NA,NA,NA
"D. Ramírez","Boyacá Chicó","Boyacá Chicó","LW",24,0,NA,23,1419,0,1.04,4,1.8,22.26,40.17,"Colombia","Colombia","derecho",161,60,"no",6.47,6.79,54.21,1.52,16.67,0.06,0.09,0.06,2.73,3.98,0.95,5,0.32,0,0,2.79,0,0,0,0.07,0,0,19,1.21,21.05,0,1.4,40.91,0.89,35.71,0.51,50,0.06,4.25,43.28,11.61,35.52,0.89,2.41,0.13,18.39,1.21,2.28,27.08,80.33,7.17,64.6,5.07,93.75,8.56,83.7,23.02,86.5,2.73,46.51,15.11,25.84,0.11,1.14,0,0,0.32,40,0.44,3.17,60,2.41,50,0.95,20,0.76,0.63,3.17,84,0,NA,0,NA,0,0,0,0,NA,NA,0.06,NA,0.89,0,0,0.89,0,0,"Colombia","BYC","COL_BYC","Extremos",NA,NA,NA
"C. Romaña","Atlético Bucaramanga","Atlético Bucaramanga","RCB",25,4e+05,NA,16,1415,1,0.68,0,0.27,15.58,62.86,"Colombia","Colombia","derecho",185,0,"no",6.55,5.92,65.59,3.88,77.05,0.19,0.31,0.06,2.48,3.97,1.02,5,0.32,0,0,0.89,0.06,1,0.06,0.04,1,0.06,9,0.57,44.44,11.111,0.32,40,0,0,0.32,40,0,0.64,80,3.5,47.27,0.64,0.83,0.06,22.83,0.7,0.7,36.89,85.52,17.62,76.53,1.91,100,14.82,94.42,30.59,91.27,5.98,58.51,22.13,36.75,0.02,0.19,0,0,0,0,0.06,4.77,69.33,0.64,30,0.13,50,0.19,0.13,8.08,74.8,0,NA,0,NA,0,0,0,0,NA,NA,1.21,NA,0,0,0,0,0,0,"Colombia","BUC","COL_BUC","Defensas",NA,NA,NA
"J. Ampudia","Boyacá Chicó","Boyacá Chicó","RB",25,250000,NA,15,1414,0,0.01,1,0.66,11.2,51.14,"Colombia","Colombia","derecho",175,0,"no",5.22,4.9,54.55,1.27,40,0.13,0.18,0.19,2.42,3.5,0.83,2,0.13,0,0,0.95,0,0,0,0,0,0,2,0.13,0,0,1.65,42.31,0,0,1.65,42.31,0.19,0.64,40,3.56,46.43,0.13,0.76,0,19.79,1.53,1.46,26.86,83.65,12.28,79.27,3.25,100,6.94,78.9,22.4,91.48,2.93,43.48,18.29,31.79,0.04,0.32,0.06,0,0,0,0.19,4.52,70.42,1.46,47.83,0.19,0,0.06,0.83,5.86,81.52,0,NA,0,NA,0,0,0,0,NA,NA,0.45,NA,0,0,0,0,0,0,"Colombia","BYC","COL_BYC","Defensas",NA,NA,NA
"A. García","Once Caldas","Once Caldas","AMF",24,6e+05,"2025-12-31",20,1401,1,1.1,0,1.54,16.51,49.42,"Colombia","Colombia","derecho",180,68,"no",4.88,4.75,62.16,2.7,38.1,0.26,0.35,0.06,1.67,2.29,1.35,3,0.19,0,0,1.73,0.06,1,0.06,0.07,0,0,14,0.9,35.71,7.143,1.16,33.33,0.71,36.36,0.45,28.57,0.06,1.41,68.18,7.32,49.12,1.67,1.86,0.19,27.56,1.16,1.73,35.52,84.27,10.09,74.52,6.1,91.58,11.56,88.89,31.86,87.7,2.51,64.1,17.95,34.6,0.1,1.48,0,0,0.26,25,0.19,5.33,73.49,2.51,56.41,0.64,30,1.09,0.32,4.75,79.73,0,NA,0,NA,0,0,0,0,NA,NA,0.06,NA,1.35,0.06,0,2.96,0,0,"Colombia","ONC","COL_ONC","Mediocampo_Ofensivo",NA,NA,NA
