goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.34,0.17,0.09,3.15,45.12,0.34,66.67,1.19,0.34,79.82,3.49,46.59,90,0.94,0.85,0.6,1.62,0,0,0,0.77,0.17,0,0,0,0,8.6,0.43,22.22,1.79,1.36,33.33,0.68,38.1,0.26,0.77,0.6,0.09,2.72,0.85,0.6,12.5,0.0,0.09,,0.0,0,0.0,Bryan Castrillón,Junior Barranquilla
0.19,0.37,0.06,1.98,46.38,0.49,36.36,0.31,0.0,75.05,2.47,43.96,90,1.24,0.74,0.8,1.3,0,0,0,0.37,0.06,0,0,0,0,10.5,0.06,22.86,2.53,0.12,7.14,0.68,45.83,0.19,0.37,0.25,0.12,1.73,0.56,0.56,10.71,0.12,0.25,,0.0,0,0.0,Luis Sandoval,Independiente Medellín
0.23,0.23,0.0,3.38,55.77,0.47,44.44,1.17,0.0,82.99,3.85,54.1,90,1.4,1.17,0.58,1.98,0,0,0,0.7,0.23,0,0,0,0,12.01,0.0,27.86,2.45,0.7,35.29,0.82,58.33,0.7,0.82,0.23,0.0,4.08,1.28,1.4,5.71,0.12,0.23,,0.0,0,0.0,Luis Gómez,América de Cali
0.22,0.52,0.07,2.29,33.7,0.59,24.24,0.67,0.22,70.7,2.88,31.2,90,1.18,2.0,0.89,1.33,0,0,0,0.22,0.07,0,0,0,0,6.21,0.0,11.24,1.18,0.15,20.0,0.67,56.25,0.07,0.44,0.3,0.3,4.14,1.63,0.67,5.36,0.07,0.59,,0.0,0,0.0,Brayan Léon Muñiz,Independiente Medellín
0.2,0.2,0.0,3.92,50.63,0.29,25.0,1.57,0.1,81.52,4.21,47.25,90,1.47,0.49,1.37,1.47,0,0,0,1.08,0.29,0,0,0,0,5.78,0.1,14.69,1.57,1.47,36.59,0.49,62.5,0.0,0.0,0.0,0.1,3.33,1.18,0.59,5.88,0.0,0.49,,0.0,0,0.0,Beckham Castro,Deportivo La Equidad
0.08,0.16,0.0,1.21,40.54,1.21,57.69,0.4,0.24,77.75,2.42,47.62,90,0.65,0.65,0.32,1.45,0,0,0,0.81,0.16,0,0,0,0,7.26,0.32,22.82,1.45,0.97,24.0,0.81,50.0,0.48,0.48,0.16,0.0,1.53,0.65,0.32,5.26,0.0,0.48,,0.0,0,0.0,Kevin Londoño,Atlético Bucaramanga
0.15,0.44,0.0,4.09,62.22,0.29,16.67,0.44,0.29,77.45,4.38,52.63,90,2.19,0.73,1.31,2.19,0,0,0,0.73,0.0,0,0,0,0,15.05,0.15,41.64,2.05,0.58,19.05,1.46,62.5,0.15,0.29,0.29,0.0,1.02,0.58,0.29,14.29,0.0,1.31,,0.0,0,0.0,Teófilo Gutiérrez,Junior Barranquilla
0.32,0.32,0.0,2.13,33.33,2.68,43.04,0.39,0.0,72.11,4.81,38.13,90,0.95,1.26,1.81,1.58,0,0,0,0.71,0.08,0,0,0,0,8.91,0.16,20.19,1.74,0.24,37.5,2.13,71.05,0.47,1.03,0.55,0.08,2.45,1.03,0.55,12.9,0.0,0.24,,0.0,0,0.0,Guillermo Paiva,Junior Barranquilla
0.45,0.45,0.0,2.25,35.71,0.15,15.38,0.38,0.15,73.49,2.4,32.99,90,1.5,1.95,0.9,1.35,0,0,0,0.83,0.08,0,0,0,0,4.5,0.08,9.16,0.98,0.08,8.33,0.23,60.0,0.15,0.75,0.23,0.3,2.4,1.2,0.45,18.75,0.0,0.75,,0.0,0,0.0,Kevin Viveros,Atlético Nacional
0.24,0.24,0.0,1.33,35.48,1.82,39.47,0.36,0.12,65.27,3.15,37.68,90,0.36,1.09,0.97,1.46,0,0,0,1.46,0.0,0,0,0,0,4.85,0.12,13.22,0.85,0.12,25.0,0.36,25.0,0.0,0.36,0.12,0.0,2.91,0.97,0.97,8.33,0.0,0.24,,0.0,0,0.0,Renan Oliveira,Deportivo La Equidad
0.18,0.27,0.0,2.11,45.1,3.02,49.25,0.18,0.09,68.21,5.13,47.46,90,1.1,1.19,1.01,1.74,0,0,0,0.37,0.18,0,0,0,0,5.22,0.18,12.18,1.37,0.09,33.33,0.27,37.5,0.09,0.82,0.18,0.18,2.75,1.19,0.55,6.67,0.18,0.37,,0.0,0,0.0,Francisco Fydriszewski,Independiente Medellín
0.28,0.07,0.0,0.97,33.33,1.8,43.33,0.14,0.21,73.87,2.78,39.22,90,0.62,0.69,1.11,1.39,0,0,0,1.46,0.21,0,0,0,0,4.79,0.14,14.71,0.83,0.0,0.0,0.97,73.68,0.28,0.76,0.07,0.21,2.29,0.76,0.35,12.12,0.07,0.07,,0.0,0,0.0,Michael Rangel,Llaneros FC
0.11,0.42,0.0,4.34,45.56,1.48,50.0,0.42,0.11,71.58,5.82,46.61,90,2.33,2.75,0.95,1.69,0,0,0,1.16,0.32,0,0,0,0,7.19,0.0,13.85,1.16,0.32,33.33,0.85,66.67,0.11,0.85,0.63,0.11,3.91,1.16,0.85,2.7,0.0,0.53,,0.0,0,0.0,Ruyery Blanco,Unión Magdalena
0.42,0.28,0.0,2.8,52.63,0.28,22.22,0.42,0.0,73.2,3.08,46.81,90,1.12,1.26,0.56,1.96,0,0,0,0.28,0.0,0,0,0,0,4.06,0.0,9.94,0.56,0.28,28.57,0.0,0.0,0.14,1.26,0.42,0.14,2.24,1.26,0.14,18.75,0.0,0.56,,0.0,0,0.0,Luis Marimón,Millonarios
0.16,0.16,0.08,2.45,44.78,1.55,59.38,0.49,0.16,75.31,3.99,49.49,90,1.3,1.14,0.73,1.55,0,0,0,0.82,0.16,0,0,0,0,5.54,0.16,14.92,0.98,0.24,20.0,0.73,60.0,0.65,0.57,0.33,0.0,2.28,0.82,0.33,7.14,0.0,0.08,,0.0,0,0.0,Dairon Asprilla,Atlético Nacional
0.36,0.24,0.0,1.94,36.36,2.18,32.14,0.0,0.12,74.39,4.11,34.0,90,1.45,1.33,1.45,1.94,0,0,0,0.48,0.0,0,0,0,0,5.08,0.12,14.76,1.09,0.0,0.0,0.36,100.0,0.0,0.48,0.12,0.0,2.42,1.45,0.6,15.0,0.0,0.6,,0.0,0,0.0,Luis Ramos,América de Cali
0.0,0.1,0.0,3.5,51.43,0.19,22.22,0.87,0.19,84.5,3.69,48.1,90,2.14,1.07,0.97,1.36,0,0,0,0.29,0.0,0,0,0,0,6.51,0.1,16.43,1.26,0.19,22.22,0.87,69.23,0.19,0.19,0.1,0.1,2.24,0.49,0.78,0.0,0.0,0.1,,0.0,0,0.0,Néyser Villarreal,Millonarios
0.08,0.08,0.15,2.14,45.9,0.61,44.44,0.69,0.38,74.71,2.75,45.57,90,0.84,0.61,0.92,1.38,0,0,0,0.84,0.23,0,0,0,0,7.95,0.15,19.65,1.61,1.38,23.68,0.99,65.0,0.08,0.31,0.23,0.23,2.37,0.99,0.76,3.23,0.08,0.61,,0.0,0,0.0,Harold Santiago Mosquera,Independiente Santa Fe
0.12,0.5,0.0,3.97,60.38,1.86,60.0,0.37,0.12,76.67,5.83,60.26,90,2.85,0.87,0.74,1.61,0,0,0,0.5,0.12,0,0,0,0,3.84,0.0,11.4,0.74,0.0,0.0,0.37,42.86,0.25,0.12,0.12,0.0,2.23,0.87,0.5,5.56,0.0,0.5,,0.0,0,0.0,Misael Martínez,Alianza Valledupar FC
0.27,0.18,0.09,2.16,37.5,0.9,41.67,0.45,0.18,71.35,3.06,38.64,90,1.17,0.9,1.26,1.26,0,0,0,0.81,0.18,0,0,0,0,4.86,0.18,11.88,0.81,0.27,27.27,0.45,38.46,0.0,0.09,0.18,0.09,2.61,0.99,0.45,10.34,0.0,0.72,,0.0,0,0.0,Emiliano Rodriguez,Deportivo Cali
0.37,0.18,0.0,1.94,45.65,0.65,33.33,0.28,0.0,85.29,2.59,41.79,90,1.48,1.02,0.92,1.39,0,0,0,0.83,0.09,0,0,0,0,5.36,0.0,13.41,0.92,0.09,100.0,1.2,86.67,0.18,0.09,0.09,0.09,1.48,0.74,0.18,25.0,0.0,0.37,,0.0,0,0.0,Wilson Morelo,Rionegro Águilas Doradas
1.78,0.89,0.0,1.78,28.57,0.89,50.0,0.0,0.0,79.17,2.67,33.33,90,1.78,2.67,0.89,4.46,0,0,0,0.0,0.0,0,0,0,0,9.8,0.0,16.93,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,3.56,2.67,0.0,50.0,0.0,0.0,,0.0,0,0.0,Harold Reina,Llaneros FC
0.22,0.22,0.0,3.15,70.0,2.48,47.83,0.0,0.22,66.2,5.63,58.14,90,2.7,1.35,0.22,2.25,0,0,0,1.13,0.0,0,0,0,0,2.48,0.0,10.58,0.9,0.0,0.0,0.22,50.0,0.22,0.45,0.22,0.22,2.25,0.45,0.0,10.0,0.0,1.13,,0.0,0,0.0,Rubilio Castillo,Deportivo Pereira
0.36,0.18,0.0,0.27,27.27,1.26,60.87,0.0,0.18,70.68,1.53,50.0,90,0.27,0.36,0.18,1.72,0,0,0,0.72,0.09,0,0,0,0,3.43,0.18,8.49,1.17,0.09,33.33,0.63,53.85,0.09,0.45,0.0,0.0,1.81,0.63,0.54,20.0,0.0,0.54,,0.0,0,0.0,Carlos Bacca,Junior Barranquilla
0.0,0.0,0.0,1.61,100.0,0.0,0.0,0.0,0.0,62.5,1.61,100.0,90,1.61,0.0,0.0,4.82,0,0,0,1.61,0.0,0,0,0,0,4.82,0.0,16.07,0.0,0.0,0.0,6.43,100.0,3.21,3.21,0.0,0.0,4.82,3.21,0.0,0.0,1.61,0.0,,0.0,0,0.0,David Lemos,Rionegro Águilas Doradas
0.49,0.2,0.0,1.87,34.55,0.79,40.0,0.39,0.0,76.71,2.66,36.0,90,0.98,1.28,1.48,1.77,0,0,0,0.98,0.39,0,0,0,0,6.59,0.1,16.52,0.89,0.39,20.0,0.98,55.56,0.1,0.39,0.2,0.1,1.97,1.08,0.3,25.0,0.0,0.39,,0.0,0,0.0,Felipe Pardo,Alianza Valledupar FC
0.12,0.12,0.0,1.19,43.48,3.1,55.32,0.12,0.0,76.73,4.29,51.43,90,0.95,0.71,0.36,1.9,0,0,0,0.48,0.24,0,0,0,0,5.24,0.0,14.52,1.07,0.0,0.0,0.24,66.67,0.24,0.48,0.0,0.12,3.21,0.83,0.6,3.7,0.24,0.71,,0.0,0,0.0,Santiago Córdoba,Fortaleza CEIF
0.61,0.0,0.12,2.94,42.86,1.47,52.17,0.86,0.0,76.19,4.41,45.57,90,1.47,1.1,1.59,2.7,0,0,0,0.49,0.12,0,0,0,0,4.66,0.12,11.77,1.23,0.12,33.33,1.1,75.0,0.25,0.74,0.37,0.12,3.43,1.35,0.61,17.86,0.0,0.25,,0.0,0,0.0,Steven Rodríguez,Junior Barranquilla
0.24,0.0,0.0,3.56,50.0,0.0,0.0,0.95,0.24,81.82,3.56,42.86,90,2.14,2.14,0.95,3.56,0,0,0,0.24,0.24,0,0,0,0,12.59,0.24,25.65,1.66,0.71,16.67,0.95,50.0,0.0,0.0,0.24,0.24,4.04,0.95,0.71,5.88,0.0,0.0,,0.0,0,0.0,Marcus Vinicius,Independiente Medellín
0.32,0.48,0.0,1.27,36.36,0.95,40.0,0.32,0.0,75.37,2.23,37.84,90,0.64,0.8,0.8,1.43,0,0,0,1.11,0.0,0,0,0,0,6.36,0.0,16.06,1.59,0.16,25.0,0.0,0.0,0.0,0.8,0.16,0.0,1.27,0.48,0.16,25.0,0.0,0.48,,0.0,0,0.0,Cristian Borja,Rionegro Águilas Doradas
0.0,0.07,0.0,1.85,40.98,1.33,41.86,0.3,0.07,76.96,3.18,41.35,90,0.67,1.03,0.37,1.4,0,0,0,0.44,0.07,0,0,0,0,7.17,0.0,21.72,1.48,0.74,29.41,0.44,35.29,0.22,0.89,0.52,0.22,1.48,0.37,0.3,0.0,0.07,0.44,,0.0,0,0.0,Mender García,Independiente Medellín
0.2,0.81,0.0,4.28,67.74,1.43,41.18,0.41,0.0,74.04,5.7,58.33,90,0.81,0.61,0.81,2.04,0,0,0,1.83,0.2,0,0,0,0,7.53,0.0,15.68,0.81,0.0,0.0,1.02,55.56,0.0,1.63,0.2,0.0,1.02,0.41,0.2,20.0,0.0,0.61,,0.0,0,0.0,Edwar López,Independiente Santa Fe
0.36,0.36,0.0,5.0,49.12,0.54,60.0,0.36,0.0,80.0,5.54,50.0,90,3.39,2.68,0.71,1.43,0,0,0,0.89,0.18,0,0,0,0,5.0,0.18,11.43,0.89,0.36,18.18,0.18,16.67,0.54,0.36,0.18,0.0,1.61,0.36,0.36,22.22,0.0,0.18,,0.0,0,0.0,Carlos Torres,Envigado FC
0.54,0.0,0.0,6.51,41.38,0.54,25.0,1.08,0.54,77.97,7.05,39.39,90,1.08,2.71,3.8,3.8,0,0,0,0.54,0.0,0,0,0,0,11.39,0.0,24.94,1.63,0.0,0.0,1.08,66.67,0.0,0.0,0.0,0.0,1.63,1.63,0.0,33.33,0.0,0.54,,0.0,0,0.0,Jhonatan Mayorga,Llaneros FC
0.0,0.49,0.0,1.95,44.44,4.86,58.82,0.0,0.0,66.67,6.81,53.85,90,1.95,1.95,0.49,1.46,0,0,0,2.43,0.0,0,0,0,0,1.46,0.0,10.7,0.49,0.0,0.0,1.46,100.0,0.0,0.49,0.0,0.0,1.95,1.46,0.49,0.0,0.0,0.97,,0.0,0,0.0,Hassan Vergara,Boyacá Chicó FC
