goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.27,0.38,0.05,2.78,45.54,0.76,60.87,0.22,0.11,79.53,3.54,48.15,90,1.64,1.25,1.09,1.14,0.0,0,0,0.44,0.0,0,0,0,0,8.56,0.22,27.53,1.91,1.42,21.67,2.29,46.15,0.33,0.82,0.33,0.0,2.18,0.71,0.65,12.5,0.16,0.16,,0.0,0.0,0.0,Francisco Chaverra,Independiente Medellín
0.17,0.12,0.0,1.73,44.78,0.35,37.5,0.46,0.12,79.73,2.08,43.37,90,0.58,0.4,0.46,1.04,0.0,0,0,1.04,0.23,0,0,0,0,9.92,0.06,27.21,2.25,1.38,27.59,1.61,56.0,0.29,0.29,0.35,0.06,2.31,0.58,0.46,7.5,0.0,0.46,,0.0,0.0,0.0,Jannenson Sarmiento,Unión Magdalena
0.0,0.0,0.0,2.54,66.67,2.54,100.0,0.0,0.0,87.04,5.07,80.0,90,0.0,0.0,0.0,1.27,0.0,0,0,2.54,0.0,0,0,0,0,13.94,0.0,59.58,1.27,0.0,0.0,3.8,75.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Larry Vásquez,Atlético Bucaramanga
0.17,0.35,0.06,3.44,51.75,0.64,52.38,0.64,0.0,83.21,4.08,51.85,90,2.22,0.7,1.11,1.05,0.0,0,0,0.99,0.35,0,0,0,0,10.43,0.12,25.71,2.04,1.11,26.76,1.98,59.65,0.35,0.35,0.7,0.0,1.34,0.47,0.17,13.04,0.06,0.06,,0.0,0.0,0.0,Daniel Arcila,Envigado FC
0.1,0.39,0.0,5.72,56.31,0.3,33.33,1.18,0.1,83.07,6.01,54.46,90,2.76,1.38,1.87,1.77,0.0,0,0,0.89,0.1,0,0,0,0,17.74,0.1,42.09,2.46,0.89,25.71,2.76,65.12,0.2,0.49,0.39,0.0,2.17,0.79,0.3,4.55,0.1,0.1,,0.0,0.0,0.0,Daniel Cataño,Millonarios
0.0,0.2,0.0,3.19,47.06,1.0,62.5,0.6,0.4,88.05,4.19,50.0,90,0.8,2.0,1.2,2.0,0.0,0,0,0.0,0.0,0,0,0,0,11.97,0.0,51.49,2.2,0.2,33.33,4.59,67.65,1.4,1.0,0.6,0.2,1.0,0.4,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,Matheus Uribe,Atlético Nacional
0.06,0.37,0.06,3.03,49.0,0.12,20.0,0.43,0.25,76.43,3.15,46.36,90,2.04,0.86,1.24,1.11,0.0,0,0,0.62,0.19,0,0,0,0,12.48,0.31,30.45,2.78,1.73,37.33,4.08,60.55,0.0,0.31,0.49,0.12,1.91,0.68,0.37,3.23,0.0,0.31,,0.0,0.0,0.0,Jarlan Barrera,Deportivo Cali
0.25,0.0,0.0,4.11,45.05,0.08,33.33,1.23,0.16,82.34,4.2,44.74,90,2.22,0.66,1.48,1.23,0.0,0,0,0.82,0.08,0,0,0,0,11.02,0.08,23.78,1.81,0.74,24.32,0.99,70.59,0.33,0.08,0.08,0.08,2.06,0.58,0.49,12.0,0.16,0.16,,0.0,0.0,0.0,Marino Hinestroza,Atlético Nacional
0.13,0.06,0.0,3.49,50.94,0.45,41.18,0.45,0.06,80.73,3.94,49.59,90,2.26,0.52,1.16,1.23,0.0,0,0,0.9,0.19,0,0,0,0,12.46,0.0,31.38,1.94,0.45,17.95,1.81,51.85,1.1,0.13,0.39,0.06,2.0,0.71,0.39,6.45,0.0,0.19,,0.0,0.0,0.0,Luis Sánchez,Fortaleza CEIF
0.12,0.18,0.0,1.98,56.9,0.06,14.29,0.3,0.36,79.67,2.04,52.31,90,1.08,0.24,0.54,1.2,0.0,0,0,1.08,0.12,0,0,0,0,9.64,0.18,23.23,2.28,0.6,17.24,1.44,57.14,0.6,0.24,0.24,0.0,0.96,0.3,0.3,12.5,0.0,0.24,,0.0,0.0,0.0,Omar Fernández,Independiente Santa Fe
0.43,0.43,0.0,4.69,61.11,0.43,100.0,0.0,0.0,86.96,5.12,63.16,90,2.56,1.28,2.13,1.28,0.0,0,0,0.85,0.0,0,0,0,0,3.84,0.0,25.59,0.43,0.0,0.0,3.84,75.0,1.28,0.85,0.0,0.0,1.71,0.43,0.43,25.0,0.0,0.0,,0.0,0.0,0.0,Elan Ricardo,Deportivo La Equidad
0.1,0.57,0.0,2.76,54.72,1.9,76.92,0.57,0.0,81.4,4.67,62.03,90,0.38,1.24,0.29,1.52,0.0,0,0,0.76,0.0,0,0,0,0,10.67,0.0,38.76,1.33,0.29,11.11,6.48,66.67,1.24,2.95,0.48,0.0,1.62,0.29,0.48,5.88,0.0,0.1,,0.0,0.0,0.0,Jaen Pineda,Rionegro Águilas Doradas
