goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.0,0.17,0.0,3.94,64.38,3.52,70.0,0.92,0.0,81.6,7.46,66.92,90,1.17,1.26,0.17,1.17,0,0,0,0.92,0.17,0,0,0,0,2.93,0.0,36.79,0.0,0.0,0.0,4.36,49.06,0.92,4.86,0.59,0.08,0.75,0.08,0.25,0.0,0.0,0.17,,0.0,0.0,0.0,Juan Guevara,Fortaleza CEIF
0.09,0.17,0.0,1.76,62.12,1.46,54.84,0.17,0.09,66.97,3.22,58.59,90,0.43,0.69,0.09,1.03,0,0,0,0.56,0.04,0,0,0,0,3.26,0.04,22.38,0.21,0.09,22.22,5.2,42.76,1.12,2.84,0.34,0.04,0.73,0.13,0.26,11.76,0.0,0.0,,0.0,0.0,0.0,Marcelo Ortíz,Independiente Santa Fe
0.0,0.4,0.0,1.78,56.25,0.79,40.0,0.0,0.0,87.71,2.58,50.0,90,0.99,0.59,0.2,1.19,0,0,0,0.4,0.2,0,0,0,0,3.37,0.0,41.04,0.0,0.0,0.0,1.19,31.58,0.99,1.78,0.59,0.0,0.2,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,Rafael Pérez,Junior Barranquilla
0.22,0.22,0.0,1.56,87.5,2.89,56.52,0.0,0.0,83.12,4.44,64.52,90,0.89,0.22,0.0,1.11,0,0,0,0.89,0.22,0,0,0,0,3.56,0.0,28.44,0.22,0.0,0.0,4.89,56.41,0.67,2.67,0.0,0.0,1.33,0.22,0.22,16.67,0.0,0.0,,0.0,0.0,0.0,John García,América de Cali
0.08,0.47,0.0,1.48,57.58,2.18,75.68,0.31,0.0,84.35,3.67,67.14,90,0.16,0.78,0.08,1.01,0,0,0,0.86,0.23,0,0,0,0,1.56,0.0,36.58,0.16,0.0,0.0,2.34,42.25,1.4,3.35,0.23,0.0,0.78,0.16,0.08,10.0,0.0,0.0,,0.0,0.0,0.0,Juan Mera,Deportes Tolima
0.0,0.0,0.0,1.0,33.33,0.0,0.0,1.0,0.0,93.94,1.0,33.33,90,0.0,2.0,0.0,1.0,0,0,0,2.0,0.0,0,0,0,0,1.0,0.0,31.0,0.0,0.0,0.0,5.0,71.43,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Simon Garcia,Atlético Nacional
0.0,0.0,0.0,1.25,100.0,5.0,66.67,0.0,0.0,88.89,6.25,71.43,90,0.0,0.0,0.0,1.25,0,0,0,2.5,0.0,0,0,0,0,6.25,0.0,30.0,0.0,1.25,100.0,1.25,50.0,1.25,3.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Gastón Sauro,América de Cali
0.0,0.25,0.0,5.25,77.78,0.5,28.57,0.5,0.0,91.03,5.75,67.65,90,0.5,0.75,0.5,1.25,0,0,0,1.0,0.25,0,0,0,0,2.0,0.0,33.0,0.0,0.0,0.0,3.75,68.18,1.25,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Stalin Valencia,Once Caldas
0.0,0.15,0.0,4.63,63.64,1.18,66.67,0.51,0.0,76.28,5.81,64.23,90,1.62,0.88,0.59,1.4,0,0,0,0.29,0.0,0,0,0,0,3.6,0.0,18.68,0.51,0.15,13.33,0.59,26.67,1.47,1.99,0.51,0.07,0.37,0.15,0.15,0.0,0.0,0.07,,0.0,0.0,0.0,Juan Mosquera,Atlético Bucaramanga
0.06,0.06,0.06,0.93,48.39,2.35,69.09,0.0,0.0,78.21,3.27,61.63,90,0.31,0.49,0.0,1.05,0,0,0,0.99,0.12,0,0,0,0,1.98,0.06,30.8,0.12,0.0,0.0,3.02,38.28,0.93,6.36,0.49,0.0,1.11,0.25,0.37,5.56,0.0,0.0,,0.0,0.0,0.0,Leonardo Escorcia,Jaguares de Córdoba
