name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,aerialLost,duelLost,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,accurateCross,aerialWon,duelWon,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,totalOffside,interceptionWon,wonContest,goals,bigChanceCreated,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,saves
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200.0,"{'value': 2100000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,27.0,21.0,4.0,1.0,1.0,4.0,90.0,45.0,9.2,11.0,"{'original': 9.2, 'alternative': None}",3.0,1.0,,3.0,4.0,1.0,,4.0,3.0,2.0,1.0,,1.0,,2.0,1.0,,,,1.0,1.0,,,Atlético Nacional,home,,
Andrés Román,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200.0,"{'value': 1600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,True,13.0,12.0,1.0,0.0,,,45.0,17.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,Atlético Nacional,home,,
Royer Caicedo,royer-caicedo,R. Caicedo,D,33,193.0,70,1994822,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1146787200.0,,Royer Caicedo,,,33,True,17.0,14.0,3.0,0.0,,,24.0,18.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",1.0,,,,,,,,,,1.0,,,,,,,,,,,,,Atlético Nacional,home,,
Kevin Parra,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000.0,"{'value': 620000, 'currency': 'EUR'}",Kevin Parra,,,30,True,8.0,5.0,1.0,0.0,,1.0,24.0,10.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",1.0,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,1.0,,Atlético Nacional,home,,
Edwin Cardona,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800.0,"{'value': 960000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,True,14.0,10.0,3.0,0.0,,,24.0,19.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,Atlético Nacional,home,,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600.0,"{'value': 330000, 'currency': 'EUR'}",Kilian Toscano,,,5,True,1.0,,,0.0,,,8.0,2.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,Atlético Nacional,home,,
Luis Marquinez,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800.0,"{'value': 655000, 'currency': 'EUR'}",Luis Marquines,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000.0,"{'value': 720000, 'currency': 'EUR'}",,,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,23,False,37.0,12.0,34.0,0.0,,,90.0,48.0,7.1,26.0,"{'original': 7.1, 'alternative': None}",9.0,,,,,,,,,,1.0,,,,,,,,,,,,,Boyacá Chicó FC,away,7.0,8.0
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",José Ampudia,,,17,False,26.0,15.0,9.0,0.0,2.0,3.0,90.0,48.0,6.1,18.0,"{'original': 6.1, 'alternative': None}",3.0,1.0,,1.0,6.0,,,,,,3.0,,1.0,4.0,1.0,,,,,,,,,Boyacá Chicó FC,away,,
