name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,interceptionWon,totalTackle,wasFouled,fouls,aerialLost,outfielderBlock,keyPass,aerialWon,shotOffTarget,blockedScoringAttempt,accurateCross,totalContest,wonContest,challengeLost,dispossessed,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded,bigChanceCreated,bigChanceMissed
Dorlan Pabón,,,dorlan-pabon,D. Pabón,M,8,168.0,352,186847,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,569980800.0,"{'value': 55000, 'currency': 'EUR'}",8,True,4.0,2.0,2.0,1.0,0.0,,,,16.0,10.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,Envigado FC,home,,,,,,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,19,True,7.0,5.0,,,0.0,,,,16.0,8.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,Envigado FC,home,,,,,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,True,,,,,0.0,,,,11.0,,5.8,,"{'original': 5.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,,
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,,
William Hurtado,William Hurtado,,william-hurtado,W. Hurtado,M,9,182.0,38,1146865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085961600.0,,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,,
John Araujo,Jhon Araujo,,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,,
Roameth Romaña,Roameth Romaña,,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",22,False,18.0,14.0,7.0,4.0,0.0,2.0,3.0,4.0,90.0,30.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,1.0,1.0,1.0,,,
Anderson Mojica,,,anderson-mojica,A. Mojica,D,4,176.0,5,974190,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,900633600.0,"{'value': 24000, 'currency': 'EUR'}",4,False,25.0,21.0,4.0,3.0,0.0,,,,65.0,41.0,6.2,12.0,"{'original': 6.2, 'alternative': None}",4.0,5.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,2.0,,,1.0,,,,,Llaneros FC,away,,,,,,
Jan Ángulo,Jan Ángulo,,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",20,False,44.0,31.0,9.0,1.0,0.0,1.0,,,90.0,52.0,6.3,15.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
