name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,totalTackle,wasFouled,fouls,keyPass,challengeLost,interceptionWon,aerialLost,onTargetScoringAttempt,outfielderBlock,blockedScoringAttempt,aerialWon,totalContest,shotOffTarget,dispossessed,goals,penaltyWon,wonContest,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,penaltyConceded
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 420000, 'currency': 'EUR'}",,5,True,18.0,16.0,1.0,,0.0,3.0,,45.0,28.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,3.0,4.0,4.0,,1.0,,,,1.0,,2.0,,,,,1.0,,,,,,Deportivo Cali,home,,,
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200,"{'value': 195000, 'currency': 'EUR'}",,8,True,15.0,11.0,1.0,,0.0,,,45.0,28.0,6.3,14.0,"{'original': 6.3, 'alternative': None}",2.0,,5.0,2.0,1.0,,,,,,,,,,,3.0,,3.0,,,1.0,1.0,,Deportivo Cali,home,,,
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000,"{'value': 325000, 'currency': 'EUR'}",,44,True,3.0,3.0,,,0.0,,,9.0,4.0,6.7,,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Juan Angulo,,,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200,"{'value': 46000, 'currency': 'EUR'}",,13,True,3.0,1.0,,,0.0,,,1.0,4.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Jhon Cabal,,,cabal-jhon,J. Cabal,F,46,,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800,,,46,True,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189.0,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000,"{'value': 390000, 'currency': 'EUR'}",,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Jorge Soto,,,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,12,False,19.0,4.0,17.0,4.0,0.0,,2.0,90.0,23.0,6.7,15.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,1.0,2.0,
Yerson Candelo,,,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",92,False,13.0,7.0,6.0,3.0,0.0,3.0,,90.0,40.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",5.0,4.0,2.0,1.0,,,2.0,2.0,,1.0,,,,1.0,1.0,,,,,,,,,América de Cali,away,,,
Jean Carlos Pestaña,,,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,24,False,13.0,7.0,5.0,3.0,0.0,3.0,,90.0,24.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,4.0,3.0,2.0,,4.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,América de Cali,away,,,1.0
