name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalClearance,totalTackle,penaltyConceded,wasFouled,fouls,keyPass,outfielderBlock,challengeLost,interceptionWon,totalOffside,blockedScoringAttempt,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,captain,team,teamType,penaltyWon
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,True,6.0,5.0,,,0.0,,,,,27.0,14.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,,,,2.0,1.0,,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,Deportivo Pereira,home,
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,True,9.0,4.0,,,0.0,,,,,27.0,14.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,3.0,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,Deportivo Pereira,home,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,2.0,2.0,,,0.0,,,,,18.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,175,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,,99,True,1.0,,,,0.0,,,,,9.0,6.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,,,1.0,,3.0,,,,,2.0,1.0,,1.0,,,,,,,2.0,,,,Deportivo Pereira,home,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,Eber Moreno,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,Santiago Aguilar,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400.0,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,26.0,16.0,15.0,5.0,0.0,,1.0,1.0,1.0,90.0,31.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,1.0,,,,,,,,,,,,Once Caldas,away,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400.0,"{'value': 630000, 'currency': 'EUR'}",,Juan David Cuesta,,22,False,51.0,40.0,5.0,1.0,0.0,,,,,72.0,70.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,4.0,3.0,,1.0,1.0,,,2.0,1.0,1.0,,2.0,,,1.0,,,,,,Once Caldas,away,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000.0,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,,34,False,4.0,3.0,,,0.0,,,,,20.0,8.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,Once Caldas,away,
