name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,fouls,penaltyConceded,wasFouled,aerialLost,challengeLost,blockedScoringAttempt,keyPass,shotOffTarget,onTargetScoringAttempt,totalOffside,captain,team,teamType,goals,penaltyWon
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",,,,2,True,16.0,15.0,1.0,,0.0,,,37.0,17.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,,,,1.0,,,,,,,,,,,,Atlético Bucaramanga,home,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,,15,True,28.0,24.0,2.0,,0.0,,,37.0,32.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",1.0,,,2.0,3.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,2.0,,,,,Atlético Bucaramanga,home,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,11.0,9.0,1.0,,0.0,,,37.0,30.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",6.0,,,6.0,2.0,2.0,5.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,2.0,,,,Atlético Bucaramanga,home,,
Santiago Jiménez,santiago-jimenez,S. Jiménez,D,6,180.0,37,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400,"{'value': 440000, 'currency': 'EUR'}",,,,6,True,14.0,13.0,2.0,1.0,0.0,,,25.0,27.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,,,3.0,,,,,,1.0,2.0,,,1.0,,,,1.0,,,,,Atlético Bucaramanga,home,,
Andrés Andrade,andres-andrade,A. Andrade,M,17,177.0,161,248065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,604195200,"{'value': 145000, 'currency': 'EUR'}",,,,17,True,10.0,7.0,,,0.0,,,25.0,18.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",4.0,4.0,,3.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,3.0,,1.0,,,Atlético Bucaramanga,home,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",Aldair Zárate,,,20,True,15.0,14.0,1.0,,0.0,,,8.0,19.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,2.0,1.0,1.0,,,Atlético Bucaramanga,home,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",31,False,21.0,10.0,15.0,4.0,0.0,2.0,5.0,90.0,30.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,2.0,,,,,,,,,,,,,,,Millonarios,away,,
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,29.0,20.0,4.0,2.0,0.0,,,90.0,48.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,3.0,3.0,,2.0,1.0,3.0,,,1.0,1.0,,,,1.0,,,,,,,Millonarios,away,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",26,False,17.0,14.0,4.0,2.0,0.0,,,90.0,24.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,1.0,1.0,2.0,,1.0,1.0,4.0,1.0,1.0,,,,,1.0,,,,,,,True,Millonarios,away,,
