name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,totalContest,blockedScoringAttempt,interceptionWon,penaltyConceded,fouls,keyPass,duelWon,shotOffTarget,onTargetScoringAttempt,totalTackle,aerialLost,dispossessed,wonContest,outfielderBlock,challengeLost,wasFouled,goals,aerialWon,totalOffside,penaltyWon,captain,team,teamType,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,11.0,8.0,1.0,1.0,0.0,,,77.0,17.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,1.0,,1.0,,,,,3.0,1.0,1.0,,1.0,,,,,1.0,,2.0,2.0,,True,Junior Barranquilla,home,,,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,,,3,True,16.0,13.0,,,0.0,,,45.0,20.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,,,,2.0,,,1.0,,,,1.0,,,,1.0,,,,Junior Barranquilla,home,,,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000,"{'value': 52000, 'currency': 'EUR'}",,,,29,True,26.0,15.0,,,0.0,,,45.0,35.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",3.0,,2.0,1.0,,,,1.0,,5.0,,,1.0,,,,,,3.0,,1.0,1.0,1.0,,Junior Barranquilla,home,,,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169.0,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,,,20,True,8.0,5.0,,,0.0,,,31.0,18.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",8.0,3.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,1.0,,,,Junior Barranquilla,home,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,1.0,1.0,,,0.0,,,13.0,2.0,7.1,,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,Junior Barranquilla,home,,,,
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175.0,509,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600,"{'value': 235000, 'currency': 'EUR'}",,Jordan Andres,Barrera Herrera,7,True,1.0,1.0,,,0.0,,,8.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,,1.0,,2.0,,,,,1.0,,,,1.0,,1.0,,,,Junior Barranquilla,home,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,30.0,14.0,21.0,6.0,0.0,2.0,,90.0,45.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,1.0,,,,,True,Millonarios,away,1.0,2.0,5.0,6.0
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,11.0,11.0,2.0,2.0,0.0,1.0,,45.0,20.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,1.0,,,,,,4.0,,,4.0,,,,,,,,,,,,Millonarios,away,,,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,False,15.0,12.0,4.0,2.0,0.0,5.0,,90.0,20.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,2.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,Millonarios,away,,,,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,21.0,18.0,4.0,1.0,0.0,10.0,,90.0,35.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,Millonarios,away,,,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,26.0,16.0,4.0,,0.0,,,90.0,33.0,6.1,13.0,"{'original': 6.1, 'alternative': None}",,,3.0,,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,Millonarios,away,,,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,False,16.0,13.0,3.0,2.0,0.0,1.0,,90.0,35.0,6.4,13.0,"{'original': 6.4, 'alternative': None}",3.0,,7.0,2.0,1.0,2.0,,2.0,,2.0,1.0,,1.0,,2.0,1.0,,2.0,,,,,,,Millonarios,away,,,,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,False,21.0,19.0,,,0.0,4.0,,64.0,32.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,1.0,,,,3.0,1.0,,1.0,,,,1.0,,2.0,,,,,,Millonarios,away,,,,
