name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,wonContest,clearanceOffLine,outfielderBlock,aerialLost,challengeLost,onTargetScoringAttempt,goals,bigChanceCreated,bigChanceMissed,totalOffside,accurateCross,captain,team,teamType
Emiliano Rodriguez,,,rodriguez-emiliano,E. Rodriguez,F,9,190.0,365,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600.0,"{'value': 1300000, 'currency': 'EUR'}",,9,False,11.0,7.0,2.0,,0.0,,,51.0,19.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,3.0,2.0,,,,,,,1.0,1.0,,,,,,,3.0,,1.0,1.0,,,,,,Deportivo Cali,home
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,44,True,21.0,18.0,3.0,1.0,0.0,,,39.0,27.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,3.0,,1.0,,,3.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,Deportivo Cali,home
Michael John Kamara,,,mj-kamara,M. Kamara,D,42,185.0,7,1890278,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1156982400.0,,,42,True,6.0,6.0,,,0.0,,,14.0,8.0,6.2,1.0,"{'original': 6.2, 'alternative': None}",,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,Deportivo Cali,home
Jean Galindo,Jean Galindo,,jean-galindo,J. Galindo,,33,,18,1965572,{},EUR,,,,33,True,4.0,2.0,1.0,,0.0,,,14.0,6.0,6.0,4.0,"{'original': 6, 'alternative': None}",,3.0,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,Deportivo Cali,home
Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,178.0,42,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",,28,True,6.0,6.0,,,0.0,,,13.0,9.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Juan Arango,Juan Arango,,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000.0,,,17,True,3.0,1.0,,,0.0,,,8.0,6.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,2.0,3.0,,,,,,,,1.0,,,2.0,,,,2.0,,1.0,,,,,,,Deportivo Cali,home
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200.0,"{'value': 195000, 'currency': 'EUR'}",,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Álvaro Montero,,,alvaro-montero,Á. Montero,G,31,195.0,588,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200.0,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",31,False,16.0,15.0,4.0,3.0,0.0,1.0,3.0,90.0,24.0,6.3,1.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away
Delvin Alfonzo,,,alfonzo-delvin,D. Alfonzo,D,22,178.0,316,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600.0,"{'value': 745000, 'currency': 'EUR'}",,22,False,19.0,15.0,,,0.0,,,45.0,41.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",6.0,5.0,3.0,2.0,1.0,,1.0,2.0,2.0,1.0,,2.0,1.0,2.0,,,,,,,,,,,1.0,,Millonarios,away
Sergio Mosquera,,,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000.0,"{'value': 405000, 'currency': 'EUR'}",,6,False,43.0,36.0,5.0,4.0,0.0,,,90.0,52.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,1.0,4.0,,,1.0,,2.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,Millonarios,away
Juan Pablo Vargas,,,juan-pablo-vargas,J. P. Vargas,D,4,192.0,654,865783,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,802396800.0,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. فارغاس', 'hi': 'जे.पी. वर्गास', 'bn': 'জে. পি. ভার্গাস'}}",4,False,43.0,37.0,4.0,3.0,0.0,,,90.0,53.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,1.0,5.0,,,1.0,,4.0,,2.0,,1.0,,3.0,,,1.0,,,,,,,,,,Millonarios,away
Nicolás Giraldo,,,nicolas-giraldo,N. Giraldo,D,27,174.0,30,924581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,733363200.0,"{'value': 310000, 'currency': 'EUR'}",,27,False,12.0,9.0,2.0,2.0,0.0,,,45.0,25.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",2.0,,3.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,Millonarios,away
Juan Pereira,,,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 470000, 'currency': 'EUR'}",,21,False,62.0,54.0,3.0,2.0,0.0,,,90.0,73.0,7.0,10.0,"{'original': 7, 'alternative': None}",,,6.0,,2.0,1.0,,,,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,Millonarios,away
Stiven Vega,,,stiven-vega,S. Vega,M,28,175.0,126,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200.0,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",28,False,53.0,45.0,3.0,1.0,0.0,,,90.0,61.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,3.0,3.0,,1.0,,,,1.0,,2.0,2.0,,,1.0,,,1.0,,,,,,,,,Millonarios,away
Daniel Ruiz,Daniel Ruiz,,daniel-ruiz,D. Ruiz,M,18,171.0,1050,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200.0,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",18,False,36.0,26.0,3.0,2.0,0.0,,,75.0,52.0,6.6,19.0,"{'original': 6.6, 'alternative': None}",4.0,4.0,2.0,2.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,Millonarios,away
Daniel Cataño,,,daniel-catano,D. Cataño,M,10,174.0,258,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400.0,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",10,False,50.0,38.0,9.0,3.0,0.0,,,90.0,70.0,6.7,22.0,"{'original': 6.7, 'alternative': None}",5.0,6.0,5.0,2.0,3.0,1.0,,,,,2.0,2.0,2.0,1.0,2.0,,,1.0,,,,,,,2.0,,Millonarios,away
Jader Valencia,,,jader-valencia,J. Valencia,M,16,188.0,140,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000.0,"{'value': 420000, 'currency': 'EUR'}",,16,False,13.0,9.0,1.0,,0.0,,,45.0,25.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,4.0,3.0,1.0,2.0,1.0,,2.0,,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,Millonarios,away
Radamel Falcao,,,radamel-falcao,R. Falcao,F,9,177.0,12730,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600.0,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",9,False,13.0,10.0,1.0,1.0,0.0,,,75.0,25.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,7.0,5.0,2.0,2.0,,,,,,5.0,1.0,,,,,,2.0,,1.0,,,,,,True,Millonarios,away
Helibelton Palacios,,,helibelton-palacios,H. Palacios,D,28,181.0,420,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000.0,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",13,True,17.0,15.0,,,0.0,,,45.0,32.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,2.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,Millonarios,away
Jorge Arias,,,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800.0,"{'value': 370000, 'currency': 'EUR'}",,17,True,27.0,22.0,5.0,3.0,0.0,,,45.0,35.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,4.0,5.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,2.0,1.0,,,,,,,,Millonarios,away
Daniel Mantilla,,,daniel-mantilla,D. Mantilla,M,11,173.0,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000.0,"{'value': 550000, 'currency': 'EUR'}",,11,True,16.0,11.0,1.0,,1.0,,,45.0,28.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,5.0,6.0,,2.0,,,,3.0,4.0,1.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,Millonarios,away
Jhon Córdoba,,,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 1200000, 'currency': 'EUR'}",,15,True,2.0,2.0,,,0.0,,,15.0,8.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",2.0,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,2.0,,Millonarios,away
Santiago Giordana,,,santiago-giordana,S. Giordana,F,32,181.0,250,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200.0,"{'value': 550000, 'currency': 'EUR'}",,32,True,6.0,3.0,,,0.0,,,15.0,10.0,7.6,3.0,"{'original': 7.6, 'alternative': None}",,,1.0,,,2.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,Millonarios,away
Diego Novoa,,,diego-novoa,D. Novoa,G,12,186.0,65,248983,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612576000.0,"{'value': 185000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. نوفوا', 'hi': 'डी. नोवोआ', 'bn': 'ডি. নোভোয়া'}}",12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away
Felix Charrupí,,,felix-charrupi,F. Charrupí,M,7,182.0,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000.0,"{'value': 760000, 'currency': 'EUR'}",,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away
