name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalTackle,wasFouled,keyPass,aerialLost,outfielderBlock,interceptionWon,fouls,wonContest,dispossessed,onTargetScoringAttempt,shotOffTarget,totalOffside,accurateCross,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,captain,team,teamType,punches
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",Mateo,Zuleta,,28,True,13.0,12.0,3.0,2.0,0.0,,,,,,45.0,31.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",7.0,,8.0,2.0,,4.0,,,1.0,3.0,,,2.0,2.0,1.0,1.0,1.0,,1.0,,2.0,,,Once Caldas,home,
Alejandro García,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,,,20,True,9.0,7.0,1.0,1.0,0.0,,,,,,24.0,13.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,1.0,3.0,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,Once Caldas,home,
Manuel Arteaga,manuel-arteaga,M. Arteaga,M,31,167.0,15,922464,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919987200,"{'value': 205000, 'currency': 'EUR'}",,,,31,True,11.0,11.0,,,0.0,,,,,,15.0,15.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",2.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,Once Caldas,home,
Joel Contreras,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,,,16,True,1.0,,,,0.0,,,,,,1.0,3.0,,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,Once Caldas,home,
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,588,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",31,False,24.0,17.0,9.0,3.0,0.0,1.0,5.0,7.0,,,90.0,40.0,8.7,7.0,"{'original': 8.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,True,Millonarios,away,1.0
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,420,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",13,False,26.0,23.0,,,0.0,4.0,,,,,90.0,40.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",1.0,2.0,5.0,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,Millonarios,away,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,287,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",26,False,35.0,33.0,8.0,6.0,0.0,8.0,,,,,90.0,48.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,2.0,2.0,3.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,Millonarios,away,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,35.0,32.0,6.0,6.0,0.0,7.0,,,,,90.0,51.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,,2.0,,1.0,1.0,,,,,2.0,,,,,,1.0,,,,,,,Millonarios,away,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,47.0,32.0,12.0,7.0,0.0,1.0,,,,,90.0,72.0,7.5,19.0,"{'original': 7.5, 'alternative': None}",1.0,1.0,6.0,7.0,2.0,1.0,5.0,,1.0,,,2.0,3.0,1.0,1.0,,,,,,1.0,,,Millonarios,away,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1050,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}",Daniel Ruiz,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",18,False,45.0,34.0,8.0,4.0,0.0,1.0,,,,,82.0,61.0,7.7,16.0,"{'original': 7.7, 'alternative': None}",2.0,,4.0,5.0,2.0,2.0,1.0,2.0,5.0,,,,,2.0,2.0,1.0,3.0,,1.0,,,,,Millonarios,away,
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",Dewar Victoria,,,8,False,44.0,43.0,2.0,2.0,0.0,2.0,,,,,90.0,59.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,4.0,4.0,,2.0,3.0,,1.0,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,Millonarios,away,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,100,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,49.0,42.0,7.0,5.0,0.0,1.0,,,,,90.0,67.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",1.0,,6.0,6.0,1.0,3.0,4.0,2.0,3.0,,,1.0,,,2.0,1.0,,,,,,,,Millonarios,away,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,False,28.0,25.0,1.0,,0.0,,,,,,90.0,45.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,6.0,6.0,,3.0,2.0,1.0,2.0,1.0,,,,2.0,4.0,1.0,1.0,1.0,,,,,,Millonarios,away,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,Luis Marimón,,,43,False,9.0,7.0,,,0.0,1.0,,,,,66.0,23.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",1.0,,,6.0,,2.0,1.0,3.0,,,,,,2.0,,1.0,2.0,1.0,,,,,,Millonarios,away,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,258,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",10,False,44.0,34.0,3.0,1.0,0.0,,,,,,66.0,57.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",1.0,,5.0,4.0,,2.0,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,2.0,,,,,,,,Millonarios,away,
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177.0,12730,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600,"{'value': 260000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",9,True,8.0,7.0,,,0.0,,,,,,24.0,10.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,2.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,Millonarios,away,
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1056,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",Néyser Villarreal,,,88,True,12.0,10.0,2.0,1.0,0.0,,,,,,24.0,16.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,3.0,2.0,,1.0,,2.0,1.0,,,,2.0,,,,,,,,,,,Millonarios,away,
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,140,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000,"{'value': 420000, 'currency': 'EUR'}",,,,16,True,9.0,6.0,2.0,,0.0,1.0,,,,,8.0,15.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",2.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,Millonarios,away,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178.0,316,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600,"{'value': 745000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,126,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,
