name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,interceptionWon,fouls,aerialWon,duelWon,dispossessed,blockedScoringAttempt,outfielderBlock,keyPass,accurateCross,totalContest,wonContest,shotOffTarget,totalTackle,wasFouled,onTargetScoringAttempt,goals,hitWoodwork,totalOffside,captain,team,teamType,fieldTranslations,saves,penaltyConceded
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,,10,True,2.0,2.0,,,0.0,,,14.0,6.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,Deportivo Pasto,home,,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,,9,True,,,,,0.0,,,13.0,2.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,1.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,Deportivo Pasto,home,,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Brayan Sánchez,brayan-sanchez,B. Sánchez,M,16,,7,1174916,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052611200,"{'value': 95000, 'currency': 'EUR'}",Brayan Sánchez,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Yair Arboleda,yair-arboleda,Y. Arboleda,F,31,178.0,21,818654,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828835200,"{'value': 160000, 'currency': 'EUR'}",,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Ramiro Morales,ramiro-morales,R. Morales,,35,,0,2064090,{},EUR,1118880000,,Ramiro Morales,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600,"{'value': 290000, 'currency': 'EUR'}",Kevin Armesto,,1,False,23.0,19.0,5.0,1.0,0.0,1.0,,90.0,29.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,1.0,
Jaison Mina,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000,"{'value': 145000, 'currency': 'EUR'}",Jaison Mina,,23,False,25.0,22.0,1.0,1.0,0.0,5.0,,75.0,32.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200,"{'value': 260000, 'currency': 'EUR'}",Jan Ángulo,,20,False,50.0,42.0,8.0,4.0,0.0,3.0,,90.0,68.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,1.0,,,,,4.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,,Llaneros FC,away,,,
Cristian Valencia,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800,"{'value': 48000, 'currency': 'EUR'}",,,15,False,44.0,37.0,7.0,3.0,0.0,2.0,,90.0,47.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,Llaneros FC,away,,,
