name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,goals,totalClearance,totalTackle,wasFouled,fouls,aerialWon,shotOffTarget,outfielderBlock,interceptionWon,totalOffside,aerialLost,blockedScoringAttempt,wonContest,accurateCross,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,clearanceOffLine
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181,2209,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,6.0,5.0,2.0,2.0,0.0,60.0,7.0,6.7,2.0,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,,,,,,1.0,,,,,,,,,True,Junior Barranquilla,home,,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177,169,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,4.0,3.0,,,0.0,30.0,9.0,7.0,2.0,1.0,"{'original': 7, 'alternative': None}",1.0,1.0,2.0,,,,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,,Junior Barranquilla,home,,,,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177,797,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000,"{'value': 52000, 'currency': 'EUR'}",,,,29,True,10.0,8.0,,,0.0,29.0,15.0,7.1,3.0,2.0,"{'original': 7.1, 'alternative': None}",2.0,,2.0,,,,1.0,,,2.0,,,,,,,2.0,,,,1.0,,Junior Barranquilla,home,,,,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169,315,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,,,20,True,7.0,6.0,2.0,1.0,0.0,20.0,15.0,6.5,6.0,,"{'original': 6.5, 'alternative': None}",3.0,3.0,,,,2.0,,,,,,,,,,,,1.0,2.0,,,,Junior Barranquilla,home,,,,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,11.0,9.0,3.0,1.0,0.0,15.0,12.0,6.5,2.0,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,,99,True,6.0,6.0,,,0.0,15.0,8.0,6.4,2.0,,"{'original': 6.4, 'alternative': None}",,1.0,,,1.0,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170,275,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Cristopher Fiermarín,cristopher-fiermarin,C. Fiermarín,G,22,189,105,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,,,22,False,39.0,22.0,29.0,12.0,0.0,90.0,51.0,7.6,17.0,,"{'original': 7.6, 'alternative': None}",,,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,Deportes Tolima,away,2.0,4.0,5.0,2.0,
Cristian Arrieta,cristian-arrieta,C. Arrieta,M,71,170,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,,,71,False,35.0,29.0,3.0,2.0,0.0,90.0,41.0,7.2,7.0,,"{'original': 7.2, 'alternative': None}",,2.0,3.0,,1.0,,1.0,1.0,,,,,3.0,,,,,1.0,,,,,Deportes Tolima,away,,,,,
