name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,aerialWon,shotOffTarget,outfielderBlock,interceptionWon,challengeLost,totalTackle,totalContest,wonContest,fouls,accurateCross,onTargetScoringAttempt,keyPass,bigChanceCreated,blockedScoringAttempt,goals,dispossessed,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,totalOffside
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 620000, 'currency': 'EUR'}",,,16,True,21.0,16.0,9.0,6.0,0.0,2.0,2.0,,,,,54.0,31.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",2.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400.0,"{'value': 140000, 'currency': 'EUR'}",Jhojan Escobar,,6,True,2.0,1.0,,,0.0,1.0,,,,,,11.0,4.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,1.0,1.0,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Antony Vásquez,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800.0,,Antony Vásquez,,9,True,2.0,2.0,1.0,1.0,0.0,1.0,,1.0,,,,11.0,5.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,,,,,,,1.0,,,1.0,,,,1.0,,Rionegro Águilas Doradas,home,,,,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400.0,"{'value': 160000, 'currency': 'EUR'}",Nicolás Lara,,30,True,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000.0,"{'value': 52000, 'currency': 'EUR'}",,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800.0,"{'value': 52000, 'currency': 'EUR'}",,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,115,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600.0,"{'value': 105000, 'currency': 'EUR'}",,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,12,False,14.0,12.0,2.0,,0.0,1.0,1.0,,2.0,5.0,,90.0,32.0,7.7,3.0,"{'original': 7.7, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,,,,Envigado FC,away,3.0,1.0,1.0,
Neymar Uribe,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",Neymar Uribe,,27,False,37.0,29.0,6.0,1.0,0.0,4.0,1.0,1.0,,,,87.0,57.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",5.0,1.0,2.0,,,1.0,,,1.0,2.0,2.0,1.0,1.0,,1.0,,,,,,Envigado FC,away,,,,
Jhon Gamboa,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",,,28,False,39.0,35.0,6.0,4.0,0.0,2.0,6.0,,,,,90.0,50.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,Envigado FC,away,,,,
Carlos Ramirez,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,,29,False,49.0,41.0,14.0,9.0,0.0,1.0,4.0,,,,,90.0,57.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,True,Envigado FC,away,,,,
Juan Holguin,juan-holguin,J. Holguin,D,3,,10,1939490,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1104796800.0,,,,3,False,44.0,34.0,5.0,,0.0,3.0,5.0,,,,,90.0,67.0,6.9,17.0,"{'original': 6.9, 'alternative': None}",5.0,2.0,6.0,,,,1.0,,1.0,2.0,2.0,4.0,1.0,,3.0,,,,,,Envigado FC,away,,,,
Geindry Cuervo,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,Geindry Cuervo,,15,False,13.0,11.0,1.0,1.0,0.0,3.0,,1.0,,,,66.0,23.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,1.0,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,1.0,,Envigado FC,away,,,,
Julián Palacios,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",Julián Palacio,,6,False,49.0,44.0,3.0,2.0,0.0,4.0,2.0,1.0,,,,89.0,57.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,2.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,Envigado FC,away,,,,
Edison López,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,,21,False,34.0,28.0,4.0,2.0,0.0,3.0,,2.0,,,,66.0,41.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,1.0,2.0,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,Envigado FC,away,,,,
Luis Díaz,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,Luis Díaz,,34,False,22.0,16.0,,,0.0,2.0,1.0,,,,,90.0,40.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,3.0,1.0,1.0,,2.0,,,2.0,1.0,1.0,,,,,2.0,,,,Envigado FC,away,,,,
Bayron Garcés,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,,11,False,9.0,9.0,,,0.0,,,,,,,87.0,14.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,2.0,3.0,,,,,,,,,1.0,,,,,,,,,Envigado FC,away,,,,2.0
Daniel Arcila,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,Daniel Arcila,,26,False,46.0,41.0,5.0,3.0,0.0,5.0,,3.0,,,,90.0,61.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,6.0,,,,,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,,,,1.0,,Envigado FC,away,,,,
Nilzo Ramírez,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,,,16,True,7.0,6.0,1.0,1.0,0.0,2.0,,1.0,,,,24.0,14.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,3.0,,,,,,,2.0,1.0,2.0,,,,,,,,,Envigado FC,away,,,,
John Araujo,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,Jhon Araujo,,70,True,9.0,8.0,1.0,,0.0,3.0,,1.0,,,,24.0,21.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,4.0,,,,2.0,,1.0,4.0,1.0,1.0,,,,,1.0,,,,Envigado FC,away,,,,
Johan Hinestroza,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",Johan Hinestroza,,14,True,5.0,5.0,,,0.0,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Miguel Marulanda,miguel-marulanda,M. Marulanda,M,17,,8,2072991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Miguel Marulanda,,38,True,,,,,0.0,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Didier Palacios,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",Didier Palacios,,2,True,1.0,,,,0.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,Envigado FC,away,,,,
Matías Villa Marín,matias-villa-marin,M. V. Marín,G,1,,4,1847750,{},EUR,1195689600.0,,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Andrés Vargas,andres-vargas,A. Vargas,,17,,3,1948603,{},EUR,,,Andrés Vargas,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
