name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,shotOffTarget,totalClearance,totalTackle,fouls,keyPass,aerialWon,interceptionWon,wasFouled,totalOffside,totalContest,onTargetScoringAttempt,blockedScoringAttempt,wonContest,dispossessed,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,goals,outfielderBlock
Jhon Cabal,,,cabal-jhon,J. Cabal,F,46,,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800,,,46,True,2.0,1.0,,,0.0,,,32.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,,,
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000,"{'value': 325000, 'currency': 'EUR'}",,44,True,18.0,14.0,1.0,,0.0,,,31.0,32.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",5.0,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,Deportivo Cali,home,,,,,
Juan Arango,Juan Arango,,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000,,,17,True,10.0,8.0,,,0.0,,,23.0,16.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,Deportivo Cali,home,,,,,
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200,"{'value': 210000, 'currency': 'EUR'}",,10,True,8.0,5.0,3.0,1.0,0.0,,,12.0,11.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,1.0,,,,Deportivo Cali,home,,,,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400,"{'value': 485000, 'currency': 'EUR'}",,23,True,12.0,10.0,,,0.0,,,12.0,13.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,1.0,,,,,,,,,Deportivo Cali,home,,,,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,,,
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800,"{'value': 470000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,,,
Andrés Mosquera,,,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",1,False,27.0,9.0,23.0,6.0,0.0,2.0,3.0,90.0,31.0,7.0,19.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,1.0,1.0,,,
Jhon Meléndez,Jhon Meléndez,,jhon-melendez,J. Meléndez,D,5,183.0,24,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",,5,False,19.0,14.0,3.0,2.0,0.0,,,90.0,41.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,,,1.0,5.0,1.0,,4.0,3.0,,,,1.0,1.0,,1.0,,,1.0,,,Independiente Santa Fe,away,,,,,
Victor Moreno,,,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,3,False,10.0,7.0,2.0,,1.0,,,90.0,17.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,,1.0,1.0,1.0,,,5.0,,,1.0,1.0,,,,,,,,,,Independiente Santa Fe,away,,,1.0,,
Ivan Scarpeta,,,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,15,False,18.0,11.0,7.0,4.0,0.0,,,90.0,32.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,,,2.0,1.0,,,7.0,,2.0,,1.0,2.0,,1.0,,1.0,,,,,Independiente Santa Fe,away,,,,1.0,
Christian Mafla,,,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,32,False,26.0,15.0,6.0,1.0,0.0,,,90.0,55.0,7.4,20.0,"{'original': 7.4, 'alternative': None}",1.0,,,,,,1.0,5.0,,,1.0,,1.0,,,,1.0,,,,,Independiente Santa Fe,away,,,,,
Ewil Murillo,,,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,21,False,5.0,2.0,1.0,,0.0,,,45.0,7.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",,,,4.0,,1.0,,,,2.0,,,,,,1.0,,,,,,Independiente Santa Fe,away,,,,,
Daniel Torres,,,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",16,False,21.0,16.0,2.0,1.0,0.0,,,90.0,30.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,,3.0,1.0,,,2.0,1.0,1.0,1.0,,,,,2.0,,,,,,Independiente Santa Fe,away,,,,,1.0
Johan Torres,Johan Torres,,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,14,False,14.0,9.0,1.0,,0.0,,,74.0,26.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,,1.0,4.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,Independiente Santa Fe,away,,,,,
Yeicar Perlaza,Yaicar Perlaza,,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,,27,False,4.0,1.0,,,0.0,,,45.0,13.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,5.0,4.0,,,1.0,,2.0,,1.0,,1.0,,3.0,,,2.0,1.0,,Independiente Santa Fe,away,,,,,
Hugo Rodallega,,,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,11,False,17.0,13.0,1.0,,0.0,,,89.0,25.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,2.0,4.0,,2.0,,1.0,1.0,,1.0,,,,2.0,1.0,,2.0,1.0,True,Independiente Santa Fe,away,,,,,1.0
Alexis Zapata,,,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,10,False,23.0,14.0,1.0,,0.0,,,67.0,38.0,6.9,16.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,1.0,7.0,5.0,,1.0,,,1.0,3.0,2.0,,2.0,,3.0,,,1.0,3.0,,Independiente Santa Fe,away,,,,,
Omar Fernández,,,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,8,True,11.0,9.0,1.0,,0.0,,,45.0,15.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,Independiente Santa Fe,away,,,,,
Edwar López,,,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,28,True,8.0,7.0,,,0.0,,,45.0,15.0,7.3,2.0,"{'original': 7.3, 'alternative': None}",,,1.0,1.0,1.0,,,2.0,,,,,,,1.0,1.0,1.0,,1.0,,,Independiente Santa Fe,away,,,,1.0,
Harold Santiago Mosquera,,,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,23,True,4.0,4.0,,,0.0,,,30.0,16.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",6.0,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,3.0,,,,,Independiente Santa Fe,away,,,,,
Yilmar Velázquez,,,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",20,True,6.0,5.0,,,1.0,,,23.0,7.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,2.0,,,,,,,,,,,Independiente Santa Fe,away,,,,,
David Ramírez,David Ramírez,,david-ramirez,D. Ramírez,D,4,190.0,35,1117012,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010016000,"{'value': 315000, 'currency': 'EUR'}",,4,True,1.0,,1.0,,0.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
Jhoyler Andrades,Jhoyler Andrades,,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
Ángelo Rodríguez,,,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
