name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,shotOffTarget,outfielderBlock,interceptionWon,wasFouled,fouls,challengeLost,totalTackle,keyPass,totalCross,accurateCross,dispossessed,totalContest,totalOffside,wonContest,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,goals,captain,team,teamType,blockedScoringAttempt
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",,Beckham Castro,,11,True,5.0,5.0,1.0,1.0,0.0,,1.0,,,,,,16.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,Deportivo La Equidad,home,
Santiago Gómez,santiago-gomez,S. Gómez,D,21,180.0,3,929690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,896227200.0,"{'value': 205000, 'currency': 'EUR'}",,,,21,True,4.0,3.0,,,0.0,,,,,,,,8.0,6.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,1.0,1.0,,,,,,,,,,Deportivo La Equidad,home,
Carlos Paternina,paternina-carlos,C. Paternina,M,10,163.0,13,1175236,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987033600.0,,,,,18,True,1.0,1.0,,,0.0,,,,,,,,8.0,2.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,1.0,,,,,,1.0,,,,,,,,,,,,,,Deportivo La Equidad,home,
Deivid Castro,deivid-castro,D. Castro,,15,,3,2123055,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Deivid Castro,,15,True,4.0,2.0,2.0,2.0,0.0,1.0,1.0,,,,,,8.0,4.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,1.0,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800.0,"{'value': 260000, 'currency': 'EUR'}",,,,36,True,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,,,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,39.0,22.0,25.0,8.0,0.0,,,2.0,,,,1.0,90.0,42.0,6.4,17.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,,,América de Cali,away,
Esneyder Mena,esneyder-mena,E. Mena,M,26,177.0,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200.0,"{'value': 380000, 'currency': 'EUR'}",,,,26,False,42.0,23.0,11.0,4.0,0.0,3.0,6.0,4.0,,,,,90.0,67.0,6.9,26.0,"{'original': 6.9, 'alternative': None}",2.0,3.0,,,3.0,,1.0,,3.0,1.0,5.0,,,,,,,,,,,América de Cali,away,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200.0,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,48.0,37.0,5.0,2.0,0.0,2.0,3.0,2.0,,,,,90.0,59.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",3.0,5.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,América de Cali,away,
