name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,dispossessed,outfielderBlock,challengeLost,totalContest,blockedScoringAttempt,onTargetScoringAttempt,goals,bigChanceCreated,accurateCross,captain,team,teamType,wonContest,errorLeadToAGoal,totalOffside
Jesús Figueroa,,,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,6,True,7.0,5.0,1.0,,0.0,8.0,,,,32.0,17.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,2.0,,4.0,,,1.0,1.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Diego Mendoza,Diego Mendoza,,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",,23,True,9.0,6.0,1.0,1.0,0.0,1.0,,,,32.0,17.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,,,4.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,1.0,,,,,1.0,,Alianza Valledupar FC,home,,,
Mayer Gil,Mayer Gil,,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",99,True,2.0,1.0,,,0.0,,,,,12.0,4.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Wiston Fernández,,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,33,True,1.0,1.0,,,0.0,,,,,12.0,5.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,Alianza Valledupar FC,home,,,
Jeison Osorio,Jeison Osorio,,jeison-osorio,J. Osorio,,28,,22,2149036,{},EUR,,,,28,True,4.0,3.0,1.0,1.0,0.0,,,,,11.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Johan Wallens,,,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
José Muñoz,,,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000.0,"{'value': 140000, 'currency': 'EUR'}",,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,19.0,15.0,8.0,4.0,0.0,2.0,,,,90.0,23.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",,,,,1.0,,,,1.0,,,,,,,,,,,,,Deportivo Cali,away,,,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,27,False,37.0,34.0,5.0,4.0,0.0,2.0,,,,58.0,46.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",3.0,2.0,,3.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,Deportivo Cali,away,,,
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,3,False,49.0,45.0,6.0,4.0,0.0,9.0,,,,90.0,69.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",1.0,5.0,4.0,5.0,6.0,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,True,Deportivo Cali,away,,,
