name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialWon,duelWon,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,keyPass,aerialLost,duelLost,outfielderBlock,totalTackle,totalCross,dispossessed,challengeLost,wasFouled,fouls,onTargetScoringAttempt,accurateCross,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,saves,goals,bigChanceCreated,totalOffside
Jaison Mina,Jaison Mina,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000,"{'value': 145000, 'currency': 'EUR'}",,23,True,20.0,14.0,4.0,1.0,0.0,,68.0,31.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,6.0,,,,,3.0,2.0,,,2.0,1.0,4.0,,,1.0,1.0,1.0,,,,Llaneros FC,home,,,,,,
Brandon Churi,Brandon Churi,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000,,,19,True,6.0,5.0,,,0.0,,30.0,10.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,1.0,,,,1.0,,,,3.0,,,,1.0,1.0,,,,,,Llaneros FC,home,,,,,,
Kener Valencia,Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600,"{'value': 285000, 'currency': 'EUR'}",,70,True,2.0,1.0,,,0.0,,29.0,3.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,1.0,2.0,,,,,1.0,,1.0,,,,Llaneros FC,home,,,,,,
Roberto Hinojosa,,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600,"{'value': 530000, 'currency': 'EUR'}",,80,True,4.0,2.0,1.0,,0.0,,11.0,7.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,Llaneros FC,home,,,,,,
Dannovi Quiñonez,,dannovi-quinonez,D. Quiñonez,M,45,176.0,70,1099610,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978652800,"{'value': 210000, 'currency': 'EUR'}",,45,True,9.0,7.0,3.0,1.0,0.0,,11.0,11.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,,2.0,,,,,,,1.0,,,,Llaneros FC,home,,,,,,
Roameth Romaña,Roameth Romaña,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600,"{'value': 27000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Andrés López,,andres-lopez,A. López,M,8,177.0,8,1465554,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1046044800,"{'value': 145000, 'currency': 'EUR'}",,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Santiago Mele,,santiago-mele,S. Mele,G,25,182.0,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}",,77,False,28.0,26.0,4.0,2.0,0.0,,90.0,37.0,7.0,2.0,"{'original': 7, 'alternative': None}",1.0,2.0,,,,,3.0,,,,,,,,,,1.0,,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",1.0,1.0,,,
Yeferson Moreno,Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200,"{'value': 190000, 'currency': 'EUR'}",,15,False,14.0,11.0,,,0.0,,45.0,26.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,3.0,,,,,,2.0,,,,,3.0,2.0,,,,,,,,Junior Barranquilla,away,,,,,,
Christian Javier Báez,,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,66,False,36.0,32.0,6.0,2.0,0.0,,58.0,41.0,5.9,4.0,"{'original': 5.9, 'alternative': None}",,,,,,,3.0,1.0,,,1.0,,,,,,,1.0,,,,Junior Barranquilla,away,,,,,,
Daniel Rivera,Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",,5,False,62.0,57.0,10.0,6.0,0.0,,90.0,74.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",1.0,3.0,2.0,2.0,,,5.0,3.0,,,3.0,1.0,,,,1.0,,2.0,,,,Junior Barranquilla,away,,,,,,
Jhomier Guerrero,Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,34,False,50.0,36.0,7.0,3.0,0.0,,90.0,71.0,7.2,24.0,"{'original': 7.2, 'alternative': None}",1.0,5.0,2.0,2.0,,,4.0,1.0,,,2.0,,1.0,3.0,2.0,,1.0,,,,,Junior Barranquilla,away,,,,,,
Yimmi Chará,,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}",,8,False,84.0,79.0,7.0,5.0,0.0,,90.0,93.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,3.0,,,,,,,,,2.0,,2.0,,1.0,1.0,1.0,,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,,,
Didier Moreno,,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,6,False,71.0,65.0,7.0,4.0,0.0,,90.0,79.0,7.0,7.0,"{'original': 7, 'alternative': None}",,3.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,,Junior Barranquilla,away,,,,,,
José Enamorado,,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,99,False,17.0,13.0,4.0,1.0,0.0,,80.0,37.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",,7.0,3.0,1.0,,,1.0,1.0,,,9.0,,4.0,,3.0,2.0,2.0,2.0,,,,Junior Barranquilla,away,,,,,,
Guillermo Paiva,,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,9,False,22.0,14.0,1.0,1.0,0.0,,71.0,33.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",2.0,2.0,1.0,,,,1.0,,1.0,1.0,6.0,1.0,,1.0,2.0,,,2.0,,,,Junior Barranquilla,away,,,,,,
Bryan Castrillón,,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,88,False,31.0,23.0,2.0,,0.0,,62.0,38.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",,,,,,,1.0,,,,3.0,,,3.0,1.0,2.0,,,1.0,,,Junior Barranquilla,away,,,,1.0,,
Carlos Bacca,,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}",,70,False,8.0,6.0,,,1.0,,62.0,9.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,,,,,1.0,,,1.0,,,,,,,,,,,,True,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,,1.0,1.0
Edwin Herrera,,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,3,True,35.0,32.0,2.0,1.0,0.0,,45.0,48.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,2.0,1.0,,,,,1.0,,,1.0,,2.0,,,,,,,,,Junior Barranquilla,away,,,,,,
Fabián Ángel,,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,80,True,29.0,26.0,5.0,3.0,0.0,,28.0,34.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",2.0,3.0,,,,,4.0,,,,,,1.0,,,,,,,,,Junior Barranquilla,away,,,,,,
Déiber Caicedo,,deiber-caicedo,D. Caicedo,M,20,169.0,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,20,True,19.0,17.0,1.0,1.0,0.0,,28.0,24.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,Junior Barranquilla,away,,,,,,
Teófilo Gutiérrez,,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000,"{'value': 52000, 'currency': 'EUR'}",,29,True,22.0,19.0,1.0,,0.0,,19.0,25.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,,,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,Junior Barranquilla,away,,,,,,1.0
Steven Rodríguez,,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,23,True,2.0,1.0,,,0.0,,10.0,4.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,,1.0,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Jefersson Martínez,,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Carlos Cantillo,Carlos Cantillo,carlos-cantillo,C. Cantillo,M,19,176.0,48,1174862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045785600,"{'value': 140000, 'currency': 'EUR'}",,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
