name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,bigChanceCreated,blockedScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,keyPass,aerialWon,interceptionWon,dispossessed,shotOffTarget,totalOffside,onTargetScoringAttempt,goals,captain,team,teamType,goodHighClaim,outfielderBlock
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600.0,"{'value': 195000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",70,False,10.0,4.0,,,0.0,1.0,,,,,75.0,12.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,True,Junior Barranquilla,home,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800.0,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,40.0,37.0,4.0,3.0,0.0,4.0,1.0,1.0,,,45.0,45.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,1.0,4.0,,,,3.0,,,3.0,,3.0,,,,,,,,Junior Barranquilla,home,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170.0,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000.0,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,29.0,23.0,9.0,7.0,1.0,1.0,,,,,31.0,37.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",5.0,1.0,,1.0,,1.0,,,,1.0,,2.0,,,1.0,,,,,,Junior Barranquilla,home,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000.0,"{'value': 52000, 'currency': 'EUR'}",,,,29,True,23.0,19.0,1.0,1.0,0.0,,,,,,31.0,24.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,Junior Barranquilla,home,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169.0,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400.0,"{'value': 1500000, 'currency': 'EUR'}",,,,20,True,5.0,3.0,,,0.0,2.0,1.0,1.0,,,15.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,,Junior Barranquilla,home,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,2.0,1.0,,,0.0,2.0,,,,,15.0,6.0,7.6,1.0,"{'original': 7.6, 'alternative': None}",,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,Junior Barranquilla,home,,
Jaime Acosta,acosta-jaime,J. Acosta,G,12,191.0,24,1160556,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006732800.0,"{'value': 49000, 'currency': 'EUR'}",Jaime Acosta,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,
Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200.0,"{'value': 190000, 'currency': 'EUR'}",Yeferson Moreno,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,
Eduar Beltrán,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",Eduar Esteban,Beltrán Restrepo,,1,False,24.0,15.0,18.0,9.0,0.0,,,,,1.0,90.0,29.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,Unión Magdalena,away,1.0,
Daniel Mera,daniel-mera,D. Mera,D,3,183.0,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",Daniel Mera,,,3,False,20.0,18.0,2.0,2.0,0.0,5.0,1.0,,,,70.0,34.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,1.0,3.0,1.0,,,1.0,3.0,2.0,,1.0,,1.0,,,,,,,Unión Magdalena,away,,
