name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,totalContest,totalClearance,totalTackle,aerialLost,dispossessed,outfielderBlock,interceptionWon,keyPass,blockedScoringAttempt,fouls,accurateCross,shotOffTarget,onTargetScoringAttempt,penaltyConceded,wonContest,goals,bigChanceCreated,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,challengeLost,penaltyWon,bigChanceMissed,totalOffside,penaltyMiss
Samy Jr Merheg,merheg-samy-jr,S. J. Merheg,F,38,186.0,98,1653094,"{'alpha2': 'LB', 'alpha3': 'LBN', 'name': 'Lebanon', 'slug': 'lebanon'}",EUR,1170288000.0,,,,,38,False,12.0,8.0,1.0,1.0,1.0,1.0,1.0,,,86.0,22.0,7.6,5.0,"{'original': 7.6, 'alternative': None}",,,4.0,,2.0,,1.0,,,,1.0,,3.0,,,3.0,,,,1.0,,Deportivo Pereira,home,,,,,,,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,True,21.0,19.0,4.0,3.0,0.0,2.0,1.0,,,45.0,32.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,,,1.0,,,,,3.0,,,,,,1.0,,,,,,Deportivo Pereira,home,,,,,,,
Javier Andres Mena,mena-javier-andres,J. A. Mena,D,17,175.0,39,1478896,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127001600.0,"{'value': 105000, 'currency': 'EUR'}",,,,17,True,3.0,2.0,,,0.0,2.0,1.0,,,17.0,7.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,Deportivo Pereira,home,,,,,,,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,13.0,8.0,1.0,,0.0,,,,,17.0,19.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",4.0,,,,,,,,,,,,,1.0,,,,,,,,Deportivo Pereira,home,,,,,,,
Ederson Moreno,ederson-moreno,E. Moreno,M,29,174.0,10,941675,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 185000, 'currency': 'EUR'}",,,,29,True,3.0,3.0,1.0,1.0,1.0,,,,,8.0,5.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,Deportivo Pereira,home,,,,,,,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,,,,,0.0,,,,,8.0,1.0,7.4,,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,1.0,,,1.0,,,Deportivo Pereira,home,,,,,,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,,,,,
Carlos Cruz,cruz-carlos,C. Cruz,M,2,,17,1886007,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,1073692800.0,,,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,,,,,
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,16.0,7.0,11.0,2.0,0.0,,,3.0,6.0,90.0,28.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,1.0,1.0,,,,,
Santiago Gómez,santiago-gomez,S. Gómez,D,21,180.0,3,929690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,896227200.0,"{'value': 205000, 'currency': 'EUR'}",,,,21,False,30.0,22.0,3.0,1.0,0.0,3.0,,,,90.0,49.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,2.0,1.0,2.0,2.0,,1.0,,1.0,3.0,,,2.0,,,,,,1.0,,Deportivo La Equidad,away,,,,,,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,,Daniel Polanco,,2,False,35.0,31.0,8.0,5.0,0.0,5.0,1.0,,,90.0,51.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,,10.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,,Deportivo La Equidad,away,,,1.0,,,,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",,Bleiner Agrón,,30,False,37.0,29.0,7.0,2.0,0.0,1.0,1.0,,,90.0,43.0,6.1,8.0,"{'original': 6.1, 'alternative': None}",,,,,,,,,,3.0,,,,,,,,,,,,Deportivo La Equidad,away,,,,,,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,9.0,9.0,,,0.0,1.0,1.0,,,34.0,13.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,True,Deportivo La Equidad,away,,,,,,,
