name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,outfielderBlock,totalTackle,wasFouled,keyPass,aerialLost,totalContest,fouls,aerialWon,shotOffTarget,interceptionWon,dispossessed,onTargetScoringAttempt,totalOffside,wonContest,ownGoals,captain,team,teamType,fieldTranslations,bigChanceCreated,blockedScoringAttempt,hitWoodwork,goals,bigChanceMissed
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",173.0,22,True,11.0,9.0,5.0,5.0,0.0,,,,,41.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,Unión Magdalena,home,,,,,,
Freddy Molina,,,molina-freddy,F. Molina,D,18,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,,18,True,8.0,7.0,1.0,1.0,0.0,,,,,27.0,10.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,Unión Magdalena,home,,,,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,,7,True,7.0,5.0,,,0.0,,,,,27.0,10.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",1.0,,,3.0,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,Unión Magdalena,home,,,,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",180.0,17,True,4.0,2.0,3.0,2.0,0.0,,,,,16.0,7.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,Unión Magdalena,home,,,,,,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,3,2040668,{},EUR,1073952000.0,,,19,True,1.0,1.0,,,0.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,Unión Magdalena,home,,,,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,,
Jesus Peñaloza,José Peñaloza,,jose-penaloza,J. Peñaloza,,25,5,2142544,{},EUR,1217548800.0,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,,
Jorge Soto,,,jorge-soto,J. Soto,G,12,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",187.0,12,False,33.0,19.0,18.0,5.0,0.0,1.0,,3.0,,90.0,42.0,7.0,14.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Esneyder Mena,,,esneyder-mena,E. Mena,M,26,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200.0,"{'value': 380000, 'currency': 'EUR'}",177.0,26,False,48.0,41.0,4.0,3.0,0.0,1.0,,,,90.0,61.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",1.0,,2.0,3.0,,,,1.0,1.0,1.0,2.0,,1.0,,,,,,1.0,,,América de Cali,away,,,,,,
Jean Carlos Pestaña,,,jean-carlos-pestana,J. C. Pestaña,D,24,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200.0,"{'value': 825000, 'currency': 'EUR'}",186.0,24,False,38.0,36.0,3.0,3.0,0.0,2.0,,,,81.0,43.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,4.0,1.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,,,América de Cali,away,,,,,,
Brayan Medina,,,medina-brayan,B. Medina,D,23,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",195.0,23,False,31.0,26.0,2.0,,0.0,2.0,,,,90.0,43.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,1.0,6.0,,,4.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,América de Cali,away,,,,,,
