name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,interceptionWon,wasFouled,fouls,keyPass,aerialWon,totalTackle,blockedScoringAttempt,outfielderBlock,wonContest,bigChanceMissed,shotOffTarget,goals,penaltyWon,bigChanceCreated,totalOffside,challengeLost,captain,team,teamType,penaltyConceded,savedShotsFromInsideTheBox
Luciano Pons,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800.0,"{'value': 315000, 'currency': 'EUR'}",,,,27,False,18.0,15.0,1.0,1.0,1.0,,,,,90.0,32.0,9.0,7.0,"{'original': 9, 'alternative': None}",,,3.0,4.0,4.0,1.0,1.0,2.0,,3.0,,3.0,,,,,1.0,,2.0,1.0,,1.0,1.0,,,Atlético Bucaramanga,home,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200.0,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,11.0,9.0,2.0,2.0,0.0,,,,,24.0,16.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",3.0,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,Atlético Bucaramanga,home,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600.0,"{'value': 465000, 'currency': 'EUR'}",Aldair Zárate,,,20,True,19.0,17.0,5.0,5.0,0.0,,,,,23.0,21.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,2.0,,Atlético Bucaramanga,home,,
Santiago Jiménez,santiago-jimenez,S. Jiménez,D,6,180.0,37,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400.0,"{'value': 440000, 'currency': 'EUR'}",,,,6,True,12.0,11.0,1.0,1.0,0.0,,,,,12.0,16.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200.0,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,,15,True,12.0,12.0,1.0,1.0,0.0,,,,,11.0,16.0,7.4,,"{'original': 7.4, 'alternative': None}",,,,1.0,4.0,,1.0,,,,1.0,1.0,,3.0,,,1.0,,,,,1.0,,,,Atlético Bucaramanga,home,,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200.0,"{'value': 49000, 'currency': 'EUR'}",,,,30,True,8.0,8.0,,,0.0,,,,,11.0,9.0,6.3,1.0,"{'original': 6.3, 'alternative': None}",,,,2.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,Atlético Bucaramanga,home,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400.0,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
Cristián Zapata,cristian-zapata,C. Zapata,D,25,187.0,593,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400.0,"{'value': 54000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
Juan Castillo,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",Juan Castillo,,,1,False,20.0,11.0,10.0,2.0,0.0,1.0,7.0,1.0,1.0,90.0,33.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,Fortaleza CEIF,away,1.0,4.0
Cristián Mosquera,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",Cristián Mosquera,,,27,False,39.0,30.0,6.0,2.0,0.0,3.0,,,,90.0,63.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,1.0,2.0,3.0,,2.0,,1.0,,,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,Fortaleza CEIF,away,,
Harold Balanta,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",Harold Balanta,,,18,False,32.0,29.0,6.0,4.0,0.0,5.0,,,,90.0,40.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,1.0,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,Fortaleza CEIF,away,,
Ronaldo Pájaro,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",Ronaldo Pájaro,,,13,False,45.0,40.0,6.0,3.0,0.0,2.0,,,,65.0,54.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,4.0,6.0,,,,,1.0,1.0,,1.0,4.0,,,,,,,,,,2.0,True,Fortaleza CEIF,away,,
