name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceCreated,totalTackle,fouls,keyPass,aerialLost,aerialWon,totalClearance,interceptionWon,shotOffTarget,outfielderBlock,onTargetScoringAttempt,wasFouled,blockedScoringAttempt,totalOffside,goals,captain,team,teamType,challengeLost,hitWoodwork,bigChanceMissed
Rafael Carrascal,,,rafael-carrascal,R. Carrascal,M,15,173.0,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000.0,"{'value': 325000, 'currency': 'EUR'}",,15,True,27.0,23.0,2.0,1.0,0.0,,,45.0,38.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,1.0,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,América de Cali,home,,,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",,11,True,15.0,14.0,1.0,,1.0,,,27.0,21.0,7.0,4.0,"{'original': 7, 'alternative': None}",1.0,,2.0,1.0,,3.0,1.0,,,,2.0,,,,,1.0,,,,,,,,América de Cali,home,,,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",,21,True,17.0,15.0,1.0,1.0,0.0,,,27.0,19.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,América de Cali,home,,,
Kevin Angulo,Kevin Angulo,,kevin-angulo,K. Angulo,F,35,187.0,55,2039311,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1215129600.0,,,35,True,2.0,1.0,,,0.0,,,20.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,América de Cali,home,,,
Yerson Candelo,,,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600.0,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",92,True,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Jorge Soto,,,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Daniel Bocanegra,,,daniel-bocanegra,D. Bocanegra,D,2,182.0,143,123272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,546134400.0,"{'value': 46000, 'currency': 'EUR'}",,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",,25,False,29.0,17.0,20.0,8.0,0.0,3.0,3.0,90.0,34.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Jhon Palacios,Jhon Palacios,,jhon-palacios,J. Palacios,D,3,188.0,17,1130027,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 360000, 'currency': 'EUR'}",,3,False,22.0,16.0,6.0,3.0,0.0,,,90.0,37.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,2.0,1.0,,,,,1.0,1.0,,1.0,,4.0,3.0,,2.0,,,,,,,Independiente Medellín,away,,,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,"{'value': 700000, 'currency': 'EUR'}",,24,False,29.0,21.0,9.0,6.0,0.0,,,75.0,37.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,,2.0,3.0,,,,,,,,2.0,2.0,3.0,,,3.0,,1.0,,,,,Independiente Medellín,away,,,
