name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalContest,wonContest,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,aerialLost,blockedScoringAttempt,shotOffTarget,onTargetScoringAttempt,challengeLost,bigChanceMissed,dispossessed,bigChanceCreated,totalOffside,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,interceptionWon,outfielderBlock
Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",Ruben Manjarres,,,21,True,37.0,27.0,5.0,4.0,0.0,,,45.0,46.0,7.7,"{'original': 7.7, 'alternative': None}",3.0,2.0,1.0,4.0,3.0,,,1.0,1.0,,13.0,1.0,3.0,,,1.0,,,1.0,,,1.0,,Alianza Valledupar FC,home,,,,
José Muñoz,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000.0,"{'value': 140000, 'currency': 'EUR'}",,,,10,True,17.0,11.0,3.0,2.0,0.0,,,27.0,28.0,6.9,"{'original': 6.9, 'alternative': None}",7.0,2.0,,,2.0,,,,2.0,,12.0,1.0,,1.0,,,,,,,,,,Alianza Valledupar FC,home,,,,
Cristian Andres Vergara Rivas,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200.0,"{'value': 160000, 'currency': 'EUR'}",Cristian Vergara,,,15,True,4.0,3.0,,,0.0,1.0,,22.0,9.0,6.6,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,1.0,,,,,,2.0,,,1.0,1.0,,,,1.0,,,,,Alianza Valledupar FC,home,,,,
Johan Parra,johan-parra,J. Parra,M,25,,5,1516746,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1095724800.0,,,,,25,True,7.0,4.0,,,0.0,,,14.0,10.0,6.8,"{'original': 6.8, 'alternative': None}",2.0,,,,1.0,,,,1.0,,5.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,
Sergio Aponzá,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,,,,11,True,5.0,3.0,,,0.0,,,14.0,7.0,6.4,"{'original': 6.4, 'alternative': None}",,,,1.0,,1.0,,,,,4.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,
Antonio Simancas,antonio-simancas,A. Simancas,G,13,,10,1984197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Antonio Simancas,,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,
Royscer Colpa,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200.0,"{'value': 225000, 'currency': 'EUR'}",,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,,12,False,26.0,7.0,24.0,5.0,0.0,,2.0,90.0,34.0,6.5,"{'original': 6.5, 'alternative': None}",,,,,1.0,,,,1.0,,19.0,,,,,,,,,,,,,Envigado FC,away,2.0,2.0,,
Neymar Uribe,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",Neymar Uribe,,,27,False,8.0,3.0,3.0,,0.0,5.0,,90.0,33.0,6.9,"{'original': 6.9, 'alternative': None}",,,2.0,4.0,7.0,2.0,1.0,3.0,1.0,2.0,10.0,,,,,,1.0,,,,,,,Envigado FC,away,,,1.0,
Jhon Gamboa,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",,,,28,False,14.0,7.0,5.0,,0.0,15.0,,90.0,32.0,6.9,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,2.0,,,1.0,,,7.0,,1.0,,,,,,,,,,,Envigado FC,away,,,,1.0
Carlos Ramirez,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,,,29,False,24.0,10.0,16.0,2.0,0.0,13.0,,90.0,42.0,6.8,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,2.0,,,,1.0,1.0,15.0,,1.0,,,,1.0,,,,,,True,Envigado FC,away,,,,3.0
Juan Holguin,juan-holguin,J. Holguin,D,3,,10,1939490,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1104796800.0,,,,,3,False,9.0,7.0,3.0,1.0,1.0,5.0,,90.0,35.0,7.1,"{'original': 7.1, 'alternative': None}",,,1.0,7.0,5.0,,,3.0,1.0,3.0,7.0,1.0,2.0,,,,2.0,,,,,,,Envigado FC,away,,,1.0,1.0
Johan Hinestroza,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",Johan Hinestroza,,,14,False,12.0,3.0,3.0,,0.0,1.0,,90.0,21.0,6.2,"{'original': 6.2, 'alternative': None}",1.0,,4.0,3.0,4.0,2.0,,,,,12.0,,1.0,,,,,,,,1.0,,,Envigado FC,away,,,,
Edison López,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,,,21,False,29.0,21.0,7.0,4.0,0.0,2.0,,72.0,39.0,6.9,"{'original': 6.9, 'alternative': None}",,,,,2.0,,,2.0,,,11.0,,,,1.0,,,,,,,,,Envigado FC,away,,,2.0,
Luis Díaz,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,Luis Díaz,,,34,False,11.0,5.0,,,0.0,2.0,,87.0,22.0,6.4,"{'original': 6.4, 'alternative': None}",,,2.0,4.0,5.0,2.0,,2.0,1.0,1.0,8.0,,1.0,,,,,,,,,,,Envigado FC,away,,,,
