name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,bigChanceCreated,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,wasFouled,fouls,keyPass,aerialWon,outfielderBlock,totalTackle,challengeLost,totalOffside,onTargetScoringAttempt,dispossessed,wonContest,goals,captain,team,teamType,fieldTranslations
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,,27,True,7.0,4.0,,,0.0,,,23.0,11.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,Deportivo Pasto,home,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,,8,True,10.0,10.0,,,0.0,,,14.0,12.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,1.0,,,,,,,,,,,,,,Deportivo Pasto,home,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,,2,True,5.0,3.0,2.0,,0.0,,,10.0,10.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,1.0,,,,,,5.0,,,1.0,,,,,,,,,,,,Deportivo Pasto,home,
Ray Vanegas,ray-vanegas,R. Vanegas,F,11,176.0,27,355864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,731894400,"{'value': 48000, 'currency': 'EUR'}",,,11,True,,,,,0.0,,,10.0,1.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,
Johan Campaña,johan-campana,J. Campaña,F,29,170.0,28,980934,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1031529600,"{'value': 94000, 'currency': 'EUR'}",,,29,True,,,,,0.0,,,10.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,Deportivo Pasto,home,
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,
Yair Arboleda,yair-arboleda,Y. Arboleda,F,31,178.0,21,818654,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828835200,"{'value': 160000, 'currency': 'EUR'}",,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800,"{'value': 400000, 'currency': 'EUR'}",,,1,False,25.0,20.0,8.0,5.0,0.0,2.0,2.0,90.0,34.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}"
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000,"{'value': 310000, 'currency': 'EUR'}",Yair Joao,Abonia Vásquez,13,False,22.0,20.0,1.0,,0.0,,,79.0,40.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",4.0,1.0,,3.0,4.0,1.0,,,,3.0,1.0,1.0,1.0,,,,2.0,2.0,,,,1.0,,,Deportivo La Equidad,away,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,,Daniel Polanco,,2,False,52.0,47.0,3.0,1.0,0.0,,,90.0,70.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",1.0,,,4.0,6.0,1.0,,,1.0,1.0,2.0,2.0,2.0,,2.0,,1.0,3.0,,,,1.0,,,Deportivo La Equidad,away,
