name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,totalContest,onTargetScoringAttempt,penaltyConceded,wasFouled,fouls,outfielderBlock,totalTackle,totalCross,challengeLost,wonContest,dispossessed,shotOffTarget,keyPass,blockedScoringAttempt,interceptionWon,bigChanceCreated,goals,bigChanceMissed,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,penaltyWon,totalOffside,accurateCross
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,True,18.0,15.0,3.0,1.0,0.0,,3.0,1.0,,,,,45.0,29.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,Deportivo La Equidad,home,,,,,
Carlos Paternina,paternina-carlos,C. Paternina,M,10,163.0,13,1175236,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987033600.0,,,,,18,True,12.0,11.0,,,0.0,,2.0,,,,,,45.0,16.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,Deportivo La Equidad,home,,,,,
Fabian Chaverra,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,,Fabian Chaverra,,28,True,4.0,3.0,1.0,1.0,0.0,,3.0,,,,,,45.0,15.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,4.0,2.0,,,1.0,3.0,,1.0,,,1.0,,,,,,,,,,Deportivo La Equidad,home,,,,,
Santiago Lopez,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,,Santiago López,,25,True,,,,,0.0,,,,,,,,15.0,1.0,6.4,,"{'original': 6.4, 'alternative': None}",,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,Deportivo La Equidad,home,,,,,
Deivid Castro,deivid-castro,D. Castro,,15,,3,2123055,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Deivid Castro,,15,True,5.0,5.0,,,0.0,,,,,,,,15.0,6.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",,Bleiner Agrón,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Nacho Carrasco,nacho-carrasco,N. Carrasco,,23,,2,2148150,{},EUR,,,,Nacho Carrasco,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400.0,"{'value': 215000, 'currency': 'EUR'}",,,,12,False,22.0,19.0,8.0,5.0,0.0,,,1.0,2.0,,1.0,1.0,90.0,32.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,Atlético Bucaramanga,away,1.0,1.0,,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600.0,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,47.0,44.0,9.0,7.0,0.0,,6.0,1.0,,,,,90.0,75.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,7.0,1.0,,,1.0,4.0,,5.0,,3.0,,,,1.0,,3.0,,,,,Atlético Bucaramanga,away,,,,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000.0,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,42.0,34.0,8.0,3.0,0.0,2.0,5.0,3.0,,,,,90.0,55.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",,4.0,,1.0,,1.0,2.0,,2.0,,,,2.0,,,,1.0,,1.0,,,Atlético Bucaramanga,away,,,,,
