name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,onTargetScoringAttempt,totalTackle,totalOffside,keyPass,aerialWon,interceptionWon,dispossessed,wonContest,shotOffTarget,outfielderBlock,fouls,challengeLost,blockedScoringAttempt,captain,team,teamType
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179.0,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,,,22,True,5.0,5.0,,,0.0,,1.0,,,,31.0,11.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,,,,,1.0,,,,,2.0,,,,1.0,,América de Cali,home
Luis Gómez,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000,"{'value': 490000, 'currency': 'EUR'}",,,,16,True,17.0,14.0,1.0,,0.0,3.0,,1.0,,,23.0,21.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,2.0,3.0,,,,,1.0,,,1.0,,,,,,,América de Cali,home
Santiago Silva,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home
Esneyder Mena,esneyder-mena,E. Mena,M,26,177.0,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200,"{'value': 380000, 'currency': 'EUR'}",,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home
José Cavadia,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800,"{'value': 310000, 'currency': 'EUR'}",,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home
Luis Alejandro Paz,luis-alejandro-paz,L. A. Paz,M,19,175.0,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000,"{'value': 47000, 'currency': 'EUR'}",,,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,33.0,15.0,24.0,8.0,0.0,,1.0,,5.0,6.0,90.0,46.0,8.0,19.0,"{'original': 8, 'alternative': None}",,,,,,,,,,,,,,,,,,,True,Millonarios,away
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,36.0,27.0,5.0,3.0,0.0,1.0,2.0,,,,90.0,50.0,7.0,12.0,"{'original': 7, 'alternative': None}",3.0,2.0,2.0,3.0,,,1.0,,1.0,,,,,,,1.0,,,,Millonarios,away
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,35.0,28.0,6.0,2.0,0.0,5.0,4.0,1.0,,,90.0,43.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,1.0,2.0,,,2.0,,,2.0,,,,,1.0,1.0,,,,Millonarios,away
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,29.0,23.0,6.0,4.0,0.0,3.0,5.0,1.0,,,90.0,38.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,,2.0,3.0,,,1.0,,,1.0,,,,,,1.0,,,,Millonarios,away
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,31.0,25.0,4.0,3.0,0.0,,2.0,,,,90.0,47.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,2.0,,,,,1.0,,,1.0,,,,1.0,,,,Millonarios,away
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,False,31.0,28.0,5.0,4.0,0.0,4.0,,1.0,,,90.0,43.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,5.0,2.0,1.0,3.0,,,,,,,,1.0,2.0,,,,Millonarios,away
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,45.0,41.0,4.0,3.0,0.0,2.0,1.0,,,,90.0,53.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,1.0,3.0,,2.0,2.0,,,,,,,,,1.0,1.0,,,Millonarios,away
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,34.0,27.0,3.0,2.0,0.0,3.0,,1.0,,,89.0,48.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",6.0,1.0,,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,Millonarios,away
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,19.0,18.0,2.0,2.0,0.0,1.0,,1.0,,,63.0,23.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,,2.0,1.0,,,,2.0,,,1.0,,,,,,,,Millonarios,away
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,False,31.0,25.0,1.0,1.0,0.0,2.0,,,,,76.0,38.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,4.0,3.0,,,,,,,1.0,2.0,,,1.0,,,,Millonarios,away
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,,Luis Marimón,,43,False,11.0,7.0,,,0.0,1.0,,,,,63.0,18.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,,1.0,1.0,,,,,,,,,1.0,,,,Millonarios,away
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,True,12.0,8.0,2.0,2.0,0.0,1.0,,,,,27.0,20.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",2.0,,,5.0,1.0,,1.0,,,,,2.0,,,,,2.0,,,Millonarios,away
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,True,2.0,2.0,,,0.0,,,,,,27.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,Millonarios,away
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,141,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000,"{'value': 420000, 'currency': 'EUR'}",,,,16,True,4.0,3.0,,,0.0,1.0,,,,,14.0,5.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,1.0,,,,,,,,,,Millonarios,away
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,True,,,,,0.0,1.0,,1.0,,,9.0,1.0,6.8,,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Millonarios,away
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away
