name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,totalTackle,wasFouled,fouls,challengeLost,bigChanceMissed,onTargetScoringAttempt,interceptionWon,aerialLost,bigChanceCreated,keyPass,outfielderBlock,wonContest,totalOffside,goals,captain,team,teamType,hitWoodwork
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175,223,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,False,21.0,16.0,4.0,3.0,0.0,1.0,,,,,,,86.0,33.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",4.0,,1.0,2.0,2.0,1.0,,1.0,1.0,,1.0,2.0,,,,,,,1.0,,,,,,Independiente Medellín,home,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181,91,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,13.0,11.0,1.0,1.0,0.0,1.0,,,,,,,23.0,16.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,Independiente Medellín,home,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,17,True,5.0,4.0,,,0.0,,,,,,,,14.0,9.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,Independiente Medellín,home,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,True,14.0,13.0,1.0,1.0,1.0,,,,,,,,14.0,19.0,7.5,3.0,"{'original': 7.5, 'alternative': None}",2.0,1.0,,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,2.0,,,,,,Independiente Medellín,home,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186,581,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,19,True,3.0,1.0,,,0.0,,,,,,,,11.0,5.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,Independiente Medellín,home,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 160000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Julian Angulo,Julian Angulo,,julian-angulo,J. Angulo,M,11,183,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400,"{'value': 265000, 'currency': 'EUR'}",,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Jorge Soto,,,jorge-soto,J. Soto,G,12,187,146,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,12,False,27.0,13.0,20.0,6.0,0.0,2.0,,3.0,4.0,,,,90.0,35.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Yerson Candelo,,,yerson-candelo,Y. Candelo,D,92,172,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",92,False,31.0,23.0,7.0,3.0,0.0,,,,,,,,90.0,56.0,7.5,12.0,"{'original': 7.5, 'alternative': None}",3.0,1.0,,1.0,8.0,1.0,2.0,,1.0,2.0,4.0,,,,,1.0,,,1.0,1.0,2.0,,,,América de Cali,away,
Daniel Bocanegra,,,daniel-bocanegra,D. Bocanegra,D,2,182,142,123272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,546134400,"{'value': 46000, 'currency': 'EUR'}",,2,False,31.0,28.0,3.0,2.0,0.0,8.0,,,,,,,90.0,43.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",1.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Jean Carlos Pestaña,,,jean-carlos-pestana,J. C. Pestaña,D,24,186,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,24,False,18.0,17.0,4.0,3.0,0.0,6.0,,,,,,,90.0,31.0,7.0,1.0,"{'original': 7, 'alternative': None}",,,1.0,1.0,3.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,América de Cali,away,
Marcos Mina,,,marcos-mina,M. Mina,D,14,163,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,14,False,24.0,18.0,4.0,2.0,0.0,5.0,,,,,,,90.0,44.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,,,3.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,2.0,,,1.0,,,,,América de Cali,away,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,186,122,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,21,False,17.0,15.0,4.0,2.0,0.0,2.0,,,,,,,90.0,29.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,7.0,3.0,,,1.0,,2.0,1.0,5.0,2.0,,,,,,,3.0,,,,,América de Cali,away,
Rafael Carrascal,,,rafael-carrascal,R. Carrascal,M,15,173,255,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,15,False,49.0,44.0,7.0,6.0,0.0,3.0,,,,,,,90.0,59.0,7.9,5.0,"{'original': 7.9, 'alternative': None}",,,,1.0,5.0,,,,,5.0,,1.0,,,1.0,1.0,,,,,,,1.0,,América de Cali,away,
Esneyder Mena,,,esneyder-mena,E. Mena,M,26,177,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200,"{'value': 380000, 'currency': 'EUR'}",,26,False,10.0,6.0,1.0,,0.0,,,,,,,,45.0,14.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,América de Cali,away,1.0
Juan Fernando Quintero,,,juan-quintero,J. F. Quintero,M,8,168,9715,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",8,False,31.0,21.0,6.0,3.0,0.0,,,,,,,,81.0,41.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",,,,2.0,4.0,,2.0,1.0,,1.0,1.0,,2.0,,3.0,,,,3.0,,2.0,,,,América de Cali,away,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,173,943,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,11,False,22.0,18.0,2.0,2.0,0.0,1.0,,,,,,,87.0,36.0,7.5,7.0,"{'original': 7.5, 'alternative': None}",1.0,,,2.0,6.0,,1.0,1.0,,1.0,5.0,1.0,,,1.0,1.0,,,1.0,,,,,True,América de Cali,away,
Rodrigo Holgado,,,rodrigo-holgado,R. Holgado,F,22,179,1195,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,22,False,14.0,14.0,1.0,1.0,0.0,1.0,,,,,,,72.0,32.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,2.0,7.0,5.0,,3.0,1.0,,1.0,1.0,3.0,,,,,2.0,,1.0,1.0,1.0,,,,América de Cali,away,
Franco Leys,,,franco-leys,F. Leys,M,32,180,54,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400,"{'value': 360000, 'currency': 'EUR'}",,32,True,10.0,9.0,,,0.0,,,,,,,,33.0,14.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,1.0,2.0,4.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,,América de Cali,away,
Luis Ramos,,,luis-ramos,L. Ramos,F,9,175,1221,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,9,True,9.0,8.0,,,1.0,,,,,,,,18.0,13.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,,4.0,,1.0,,,,,,,,,1.0,,3.0,1.0,1.0,,,1.0,,,América de Cali,away,
Cristian Tovar,,,cristian-tovar,C. Tovar,D,6,182,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",6,True,1.0,,1.0,,0.0,,,,,,,,9.0,1.0,6.2,1.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Jan Lucumí,Jan Franc Lucumi,,jan-franc-lucumi,J. Lucumí,F,17,178,329,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",,17,True,2.0,1.0,,,0.0,1.0,,,,,,,10.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,América de Cali,away,
Santiago Silva,,,silva-santiago,S. Silva,G,27,190,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Brayan Medina,,,medina-brayan,B. Medina,D,23,195,108,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Mateo Castillo Márquez,Mateo,Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400,"{'value': 410000, 'currency': 'EUR'}",,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
