name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,challengeLost,dispossessed,totalContest,totalTackle,fouls,keyPass,shotOffTarget,outfielderBlock,interceptionWon,blockedScoringAttempt,wasFouled,totalCross,onTargetScoringAttempt,accurateCross,wonContest,captain,team,teamType,bigChanceMissed
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,True,1.0,,,,0.0,,1.0,3.0,,,,,24.0,6.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,Millonarios,home,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,True,,,,,0.0,,,,,,,,15.0,3.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,1.0,,,,,,,,Millonarios,home,
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,141,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000,"{'value': 420000, 'currency': 'EUR'}",,,,16,True,3.0,2.0,,,0.0,,,1.0,,,,,15.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,1.0,,1.0,,,,,,,,,,Millonarios,home,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,True,,,,,0.0,,,,,,,,9.0,,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,Millonarios,home,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,
David Ospina,david-ospina,D. Ospina,G,1,183.0,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",,,1,False,45.0,39.0,9.0,3.0,0.0,,,1.0,,,1.0,1.0,90.0,49.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,True,Atlético Nacional,away,
Andrés Román,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",,,6,False,23.0,17.0,1.0,,0.0,1.0,7.0,,,,,,90.0,44.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,2.0,,1.0,2.0,4.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,Atlético Nacional,away,
Juan Arias,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,,,23,False,45.0,38.0,10.0,4.0,0.0,3.0,4.0,5.0,,,,,90.0,53.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",2.0,3.0,1.0,,,,,,,,,,1.0,,,,,,Atlético Nacional,away,
