name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,shotOffTarget,hitWoodwork,interceptionWon,totalTackle,keyPass,aerialWon,fouls,dispossessed,onTargetScoringAttempt,bigChanceCreated,blockedScoringAttempt,goals,captain,team,teamType,goodHighClaim,outfielderBlock,totalOffside
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,19,False,15.0,10.0,,,0.0,1.0,1.0,,,,90.0,32.0,8.0,9.0,"{'original': 8, 'alternative': None}",2.0,,,5.0,,,,,,,1.0,2.0,,5.0,1.0,5.0,,2.0,1.0,,Atlético Nacional,home,,,
Juan Zapata,,,juan-zapata,J. Zapata,M,80,178,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,80,True,40.0,29.0,9.0,6.0,0.0,,,,,,45.0,47.0,7.0,12.0,"{'original': 7, 'alternative': None}",,,,1.0,,,,2.0,,,,3.0,,1.0,,,,2.0,,,Atlético Nacional,home,,,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Joan Castro,,,joan-castro,J. Castro,D,20,176,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Juan Felipe Aguirre,,,juan-felipe-aguirre,J. F. Aguirre,D,3,186,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Juan Torres,Juan Torres,,juan-torres,J. Torres,M,31,170,133,1185984,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1087862400,"{'value': 210000, 'currency': 'EUR'}",,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Faber Andrés Gil,,,faber-andres-gil,F. A. Gil,M,7,178,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Santiago Mele,,,santiago-mele,S. Mele,G,25,182,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",77,False,32.0,13.0,24.0,8.0,0.0,2.0,1.0,2.0,7.0,7.0,90.0,46.0,7.5,19.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,1.0,,
Jhomier Guerrero,Jhomier Guerrero,,jhomier-guerrero,J. Guerrero,D,34,170,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,34,False,17.0,13.0,1.0,1.0,0.0,3.0,6.0,,,,90.0,41.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,,4.0,1.0,1.0,1.0,,,,2.0,1.0,,2.0,1.0,,,,,,Junior Barranquilla,away,,,
Christian Javier Báez,,,christian-javier-baez,C. J. Báez,D,66,180,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,66,False,16.0,12.0,7.0,3.0,0.0,2.0,11.0,1.0,,,90.0,33.0,7.6,4.0,"{'original': 7.6, 'alternative': None}",,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,1.0,,Junior Barranquilla,away,,2.0,
José Cuenú,José Cuenú,,jose-cuenu,J. Cuenú,D,4,192,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200,"{'value': 495000, 'currency': 'EUR'}",,4,False,13.0,8.0,5.0,2.0,0.0,2.0,9.0,,,,90.0,31.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,,2.0,,,,,,,1.0,,1.0,2.0,,,,,,,Junior Barranquilla,away,,4.0,
Edwin Herrera,,,edwin-herrera,E. Herrera,D,3,170,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,3,False,25.0,15.0,6.0,2.0,0.0,3.0,8.0,,,,90.0,51.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",2.0,,,3.0,2.0,,,,,2.0,2.0,,1.0,1.0,,,,,,,Junior Barranquilla,away,,,
Fabián Ángel,,,fabian-angel,F. Ángel,M,80,175,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,80,False,20.0,15.0,2.0,1.0,0.0,2.0,1.0,,,,90.0,27.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,2.0,,2.0,2.0,,,,,,,,Junior Barranquilla,away,,,
