name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,interceptionWon,aerialWon,duelWon,fouls,shotOffTarget,outfielderBlock,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalTackle,challengeLost,blockedScoringAttempt,wasFouled,keyPass,accurateCross,hitWoodwork,goals,captain,team,teamType,bigChanceCreated,totalOffside,bigChanceMissed
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,27.0,15.0,2.0,1.0,0.0,3.0,,,,,,,90.0,41.0,7.9,15.0,"{'original': 7.9, 'alternative': None}",,1.0,1.0,,4.0,5.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,1.0,,,1.0,True,Independiente Santa Fe,home,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,True,23.0,20.0,4.0,2.0,0.0,1.0,,,,,,,45.0,30.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,Independiente Santa Fe,home,,,
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,,Yaicar Perlaza,,27,True,12.0,10.0,1.0,1.0,0.0,,,,,,,,31.0,22.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,2.0,,,4.0,,,,1.0,2.0,1.0,,1.0,,,2.0,1.0,1.0,,,,Independiente Santa Fe,home,,,
Lucas Ríos,lucas-rios,L. Ríos,M,29,176.0,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200,"{'value': 620000, 'currency': 'EUR'}",,,,29,True,10.0,6.0,,,0.0,,,,,,,,25.0,19.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,3.0,,1.0,6.0,,,1.0,,1.0,,,3.0,,,2.0,,1.0,,,,Independiente Santa Fe,home,,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,4.0,4.0,1.0,1.0,0.0,1.0,,,,,,,9.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,1.0,,,,0.0,1.0,,,,,,,9.0,5.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",1.0,,,,,,,,,,,,,,,1.0,,,,,,,Independiente Santa Fe,home,,,
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800,,,Marlon Balanta,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,,,12,False,26.0,20.0,16.0,10.0,0.0,2.0,,,2.0,2.0,,,90.0,33.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,1.0,,,,,Deportivo Pasto,away,,,
Juan Franco,juan-franco,J. Franco,D,15,178.0,27,1102277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1009929600,"{'value': 165000, 'currency': 'EUR'}",,Juan Franco,,15,False,31.0,18.0,8.0,2.0,0.0,2.0,,,,,,,90.0,54.0,7.1,22.0,"{'original': 7.1, 'alternative': None}",5.0,,1.0,1.0,1.0,4.0,1.0,,1.0,,,,,1.0,,,2.0,1.0,2.0,,,,Deportivo Pasto,away,,,
Luis Caicedo,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,,,4,False,25.0,18.0,5.0,1.0,0.0,3.0,,,,,,,90.0,39.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",,2.0,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,Deportivo Pasto,away,,,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,,Andrés Alarcón,,24,False,25.0,19.0,8.0,2.0,0.0,6.0,,,,,,,90.0,40.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,2.0,3.0,2.0,1.0,1.0,,1.0,2.0,,,,,,1.0,,,,,,,,Deportivo Pasto,away,,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",,Joyce Ossa,,23,False,29.0,24.0,4.0,1.0,0.0,7.0,,,,,,,90.0,45.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,2.0,4.0,1.0,,3.0,2.0,,1.0,,,,,3.0,,,,,,,,,Deportivo Pasto,away,,,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",,Mauricio Castaño,,20,False,19.0,12.0,3.0,,0.0,1.0,,,,,,,65.0,35.0,6.3,14.0,"{'original': 6.3, 'alternative': None}",3.0,,3.0,,1.0,2.0,2.0,,,,1.0,,,,,,1.0,,,,,,Deportivo Pasto,away,,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,,,8,False,39.0,34.0,4.0,3.0,0.0,,,,,,,,77.0,49.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",2.0,,3.0,1.0,,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,2.0,1.0,,,,,Deportivo Pasto,away,,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",,Johan Caicedo,,6,False,39.0,36.0,5.0,5.0,0.0,3.0,,,,,,,90.0,52.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,2.0,2.0,,2.0,2.0,1.0,,,,,,1.0,,,1.0,2.0,,,,,Deportivo Pasto,away,,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,,13,False,30.0,27.0,2.0,,0.0,,,,,,,,65.0,43.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,2.0,,,2.0,,,,,2.0,1.0,,1.0,,1.0,,,1.0,,,,Deportivo Pasto,away,,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,,,9,False,16.0,12.0,1.0,,0.0,,,,,,,,89.0,28.0,7.6,8.0,"{'original': 7.6, 'alternative': None}",3.0,3.0,6.0,,1.0,1.0,1.0,1.0,,1.0,,,2.0,,1.0,1.0,,3.0,2.0,,,True,Deportivo Pasto,away,1.0,3.0,
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,,,27,False,11.0,9.0,1.0,1.0,0.0,1.0,,,,,,,65.0,20.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,1.0,,1.0,2.0,,1.0,,,2.0,1.0,,,,1.0,,,,,,,Deportivo Pasto,away,,,
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,,,10,True,11.0,8.0,1.0,,0.0,,,,,,,,25.0,24.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",7.0,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,Deportivo Pasto,away,,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,,70,True,8.0,5.0,2.0,1.0,0.0,,,,,,,,25.0,13.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,1.0,,1.0,3.0,,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,Deportivo Pasto,away,,,1.0
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600,"{'value': 325000, 'currency': 'EUR'}",,Diego Castillo,,19,True,5.0,3.0,1.0,1.0,0.0,,,,,,,,25.0,12.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",2.0,,1.0,,,,,,,,1.0,,2.0,,,1.0,,,,,,,Deportivo Pasto,away,,,
Kevin Rendón,kevin-rendon,K. Rendón,M,7,182.0,7,877623,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,726451200,"{'value': 49000, 'currency': 'EUR'}",,,,7,True,7.0,7.0,1.0,1.0,0.0,,,,,,,,13.0,9.0,7.6,,"{'original': 7.6, 'alternative': None}",1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,Deportivo Pasto,away,,,
Brayan Sánchez,brayan-sanchez,B. Sánchez,M,16,,7,1174916,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052611200,"{'value': 95000, 'currency': 'EUR'}",,Brayan Sánchez,,16,True,2.0,2.0,1.0,1.0,0.0,,,,,,,,1.0,3.0,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,Deportivo Pasto,away,,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,
