name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,bigChanceCreated,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,keyPass,aerialLost,challengeLost,totalContest,wonContest,outfielderBlock,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,goals,dispossessed,shotOffTarget,bigChanceMissed,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Emilio Aristizábal,Emilio Aristizábal,,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",19,False,10.0,9.0,1.0,,0.0,1.0,1.0,,,,81.0,22.0,8.2,5.0,"{'original': 8.2, 'alternative': None}",,2.0,,,1.0,,,,1.0,1.0,2.0,,,,,,3.0,1.0,2.0,,,1.0,,Fortaleza CEIF,home,,,
Manuel Lasso,Manuel Lasso,,manuel-lasso,M. Lasso,D,2,188.0,4,2038232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1131062400.0,,2,True,5.0,5.0,,,0.0,,,,,,22.0,6.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Santiago Córdoba,,,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",9,True,1.0,1.0,,,0.0,,1.0,,,,9.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,Fortaleza CEIF,home,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,True,6.0,6.0,2.0,2.0,0.0,,2.0,,,,8.0,10.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,Fortaleza CEIF,home,,,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,True,1.0,1.0,,,0.0,,,,,,11.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,True,7.0,7.0,1.0,1.0,0.0,1.0,1.0,,,,11.0,10.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,Fortaleza CEIF,home,,,
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Jhon Martínez,Jhon Martínez,,jhon-martinez,J. Martínez,F,7,186.0,29,1628440,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1129766400.0,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Cristopher Varela,,,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}",1,False,18.0,10.0,12.0,4.0,0.0,,,,1.0,2.0,90.0,21.0,5.8,8.0,"{'original': 5.8, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",1.0,1.0
Bayron Caicedo,Bayron Caicedo,,bayron-caicedo,B. Caicedo,,27,,3,1862738,{},EUR,,,27,False,12.0,7.0,1.0,,0.0,,1.0,,,,45.0,20.0,6.1,9.0,"{'original': 6.1, 'alternative': None}",1.0,2.0,,1.0,1.0,,,,,1.0,,1.0,2.0,1.0,,,,,,,1.0,,,Deportivo La Equidad,away,,,
