name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,challengeLost,interceptionWon,fouls,duelWon,totalContest,wonContest,totalTackle,totalCross,dispossessed,keyPass,bigChanceMissed,onTargetScoringAttempt,outfielderBlock,wasFouled,totalOffside,aerialLost,shotOffTarget,blockedScoringAttempt,goals,accurateCross,aerialWon,captain,team,teamType,penaltyConceded
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,,,22,True,22.0,17.0,4.0,4.0,0.0,,,,,32.0,23.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,1.0,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Antony Vásquez,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,,Antony Vásquez,,9,True,3.0,2.0,,,0.0,,,,,14.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,Rionegro Águilas Doradas,home,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,,,8,True,1.0,1.0,,,0.0,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Royner Benitez,benitez-royner,R. Benitez,M,90,173.0,75,1466673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119312000,"{'value': 53000, 'currency': 'EUR'}",,Royner Benitez,,90,True,,,,,0.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,Jhojan Escobar,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600,"{'value': 53000, 'currency': 'EUR'}",,,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Eduar Beltrán,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800,"{'value': 185000, 'currency': 'EUR'}",,Eduar Esteban,Beltrán Restrepo,1,False,17.0,14.0,7.0,4.0,0.0,,,1.0,3.0,90.0,23.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Óscar Vanegas,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200,"{'value': 290000, 'currency': 'EUR'}",,,,33,False,42.0,36.0,5.0,1.0,0.0,2.0,,,,90.0,55.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,,2.0,,3.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,Unión Magdalena,away,
Rafael Pérez,rafael-perez,R. Pérez,D,2,186.0,86,355846,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,631843200,"{'value': 375000, 'currency': 'EUR'}",,,,2,False,27.0,25.0,2.0,,0.0,3.0,,,,49.0,33.0,5.8,3.0,"{'original': 5.8, 'alternative': None}",2.0,,,1.0,3.0,1.0,,2.0,,,,,,,,,,,,,,1.0,True,Unión Magdalena,away,
Martín Payares,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400,"{'value': 410000, 'currency': 'EUR'}",,,,5,False,56.0,52.0,11.0,7.0,0.0,3.0,,,,90.0,63.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Dairon Mosquera,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600,"{'value': 245000, 'currency': 'EUR'}",,,,30,False,18.0,15.0,2.0,2.0,0.0,,,,,34.0,24.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,Unión Magdalena,away,
Jannenson Sarmiento,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,"{'value': 480000, 'currency': 'EUR'}",,,,10,False,38.0,33.0,3.0,3.0,0.0,2.0,,,,90.0,45.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,,,1.0,,,,2.0,,1.0,,,,1.0,,,,,,1.0,,,Unión Magdalena,away,
