name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,totalTackle,fouls,keyPass,outfielderBlock,interceptionWon,wasFouled,totalOffside,aerialWon,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,challengeLost,bigChanceMissed,captain,team,teamType,fieldTranslations
Jhoiner Salas,,,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,24,True,5.0,3.0,,,0.0,,,,,,,25.0,10.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,,1.0,,,,,,,,,2.0,,,,,,,,,Fortaleza CEIF,home,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,True,7.0,3.0,,,0.0,1.0,,,,,,24.0,14.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,,3.0,,2.0,2.0,,,,,,,1.0,,,1.0,,,1.0,,,,Fortaleza CEIF,home,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,True,5.0,2.0,2.0,,0.0,,,,,,,8.0,5.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,True,6.0,6.0,,,0.0,,,,,,,8.0,7.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",1.0,,,,,,,,,,,2.0,,,,,,,,,,,,Fortaleza CEIF,home,
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200.0,"{'value': 870000, 'currency': 'EUR'}",29,False,19.0,16.0,5.0,2.0,0.0,,,1.0,4.0,,,90.0,31.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800.0,"{'value': 875000, 'currency': 'EUR'}",2,False,108.0,99.0,15.0,11.0,0.0,3.0,,,,,,90.0,127.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",1.0,,1.0,2.0,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,Independiente Medellín,away,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 160000, 'currency': 'EUR'}",23,False,79.0,74.0,9.0,6.0,0.0,4.0,,,,,,90.0,89.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",,2.0,2.0,4.0,,,,,2.0,1.0,,,,1.0,,,3.0,,,,,,True,Independiente Medellín,away,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,"{'value': 700000, 'currency': 'EUR'}",24,False,80.0,69.0,8.0,4.0,0.0,3.0,,,,,,90.0,93.0,7.4,13.0,"{'original': 7.4, 'alternative': None}",1.0,,,2.0,,,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,Independiente Medellín,away,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",13,False,38.0,30.0,6.0,4.0,0.0,2.0,,,,,,90.0,64.0,7.0,23.0,"{'original': 7, 'alternative': None}",13.0,1.0,3.0,3.0,,1.0,,,,,,1.0,,,2.0,,1.0,3.0,,,1.0,,,Independiente Medellín,away,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",6,False,22.0,21.0,,,0.0,,,,,,,56.0,29.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,2.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,Independiente Medellín,away,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}",18,False,55.0,48.0,11.0,6.0,0.0,,,,,,,69.0,63.0,7.0,11.0,"{'original': 7, 'alternative': None}",2.0,,,3.0,,,,,,3.0,,,,,,,,,,1.0,,,,Independiente Medellín,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}"
Alexis Serna,,,alexis-serna,A. Serna,M,80,170.0,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800.0,"{'value': 230000, 'currency': 'EUR'}",80,False,46.0,41.0,5.0,4.0,0.0,,,,,,,83.0,49.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,,,2.0,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,Independiente Medellín,away,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",7,False,22.0,18.0,1.0,,0.0,,,,,,,57.0,31.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,3.0,2.0,,2.0,,,,2.0,,1.0,,,,1.0,,1.0,,,,,,Independiente Medellín,away,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800.0,"{'value': 830000, 'currency': 'EUR'}",8,False,25.0,18.0,1.0,,0.0,1.0,,,,,,90.0,38.0,7.0,13.0,"{'original': 7, 'alternative': None}",2.0,,2.0,5.0,1.0,,,,1.0,1.0,,,,,1.0,,3.0,,,,1.0,,,Independiente Medellín,away,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600.0,"{'value': 540000, 'currency': 'EUR'}",19,False,8.0,6.0,,,0.0,,,,,,,69.0,11.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,2.0,5.0,1.0,,,,,,1.0,2.0,,,,,,,,1.0,,1.0,,,Independiente Medellín,away,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200.0,"{'value': 765000, 'currency': 'EUR'}",9,True,6.0,4.0,,,0.0,,,,,,,38.0,8.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,,3.0,,,1.0,,,,,,,,,,Independiente Medellín,away,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}",15,True,19.0,15.0,3.0,2.0,0.0,,,,,,,33.0,20.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,1.0,3.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,Independiente Medellín,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}"
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",31,True,13.0,10.0,4.0,3.0,0.0,,,,,,,21.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600.0,"{'value': 1300000, 'currency': 'EUR'}",27,True,3.0,3.0,,,0.0,,,,,,,21.0,6.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,Independiente Medellín,away,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600.0,"{'value': 670000, 'currency': 'EUR'}",17,True,3.0,2.0,,,0.0,,,,,,,15.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",2.0,,,,,,,,,,,,,,,,,1.0,,,,,,Independiente Medellín,away,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,
Jhon Palacios,Jhon Palacios,,jhon-palacios,J. Palacios,D,3,188.0,17,1130027,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 360000, 'currency': 'EUR'}",3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,
