name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,aerialLost,errorLeadToAGoal,wasFouled,fouls,shotOffTarget,keyPass,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,outfielderBlock,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,hitWoodwork,goals,bigChanceCreated
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000,"{'value': 185000, 'currency': 'EUR'}",,Wilmar Arango,,20,True,38.0,34.0,4.0,3.0,0.0,45.0,65.0,7.4,17.0,"{'original': 7.4, 'alternative': None}",15.0,4.0,,3.0,2.0,,,3.0,,,,1.0,,1.0,,2.0,2.0,1.0,,,,1.0,,Boyacá Chicó FC,home,,,,,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400,"{'value': 145000, 'currency': 'EUR'}",,Andres Aedo,,6,True,18.0,16.0,,,0.0,45.0,21.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,3.0,2.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000,"{'value': 48000, 'currency': 'EUR'}",,,,11,True,12.0,10.0,,,0.0,45.0,17.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,2.0,2.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,27,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600,,,Sebastián Colón,,29,True,8.0,5.0,,,0.0,26.0,10.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,1.0,,,,,,,,,,2.0,,,,1.0,1.0,,,,Boyacá Chicó FC,home,,,,,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800,"{'value': 410000, 'currency': 'EUR'}",,,,14,True,19.0,15.0,3.0,2.0,0.0,9.0,28.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,2.0,4.0,,,2.0,,,2.0,1.0,,1.0,,,1.0,1.0,,2.0,,,,Boyacá Chicó FC,home,,,,,,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000,,,Arlen Banguero,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,610,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,37.0,15.0,30.0,8.0,0.0,90.0,48.0,8.3,22.0,"{'original': 8.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,1.0,4.0,8.0,,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,31.0,22.0,3.0,2.0,0.0,90.0,60.0,7.4,15.0,"{'original': 7.4, 'alternative': None}",,,2.0,4.0,10.0,2.0,,4.0,5.0,,5.0,,,1.0,,,,2.0,,,,,,Junior Barranquilla,away,,,,,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,34.0,22.0,16.0,4.0,0.0,90.0,51.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",,,1.0,1.0,4.0,1.0,,,10.0,1.0,,,,3.0,,,,,,1.0,,1.0,,Junior Barranquilla,away,,,,,,
